ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,GMRAIRPORT,10m,102.20,102.24,102.07,102.11,114588,1786699265212-0,md:candles:10m,1786699265610
1786699799999,GMRAIRPORT,10m,102.11,102.23,102.06,102.06,93649,1786699868904-0,md:candles:10m,1786699876284
1786700399999,GMRAIRPORT,10m,102.05,102.05,101.66,102.00,1025694,1786700465541-0,md:candles:10m,1786700471301
1786700999999,GMRAIRPORT,10m,101.90,102.08,101.82,101.95,400914,1786701069099-0,md:candles:10m,1786701070102
1786701599999,GMRAIRPORT,10m,101.95,101.95,101.51,101.51,8216857,1786702892438-0,md:candles:10m,1786702895644
1786702801000,GMRAIRPORT,1d,102.20,102.24,101.51,101.51,9851702,1786702806243-0,md:candles:1d,1786702807233
1786698959999,GMRAIRPORT,1m,102.20,102.20,102.16,102.20,1850,1786698965222-0,md:candles:1m,1786698974630
1786699019999,GMRAIRPORT,1m,102.15,102.20,102.15,102.19,11947,1786699027851-0,md:candles:1m,1786699028548
1786699079999,GMRAIRPORT,1m,102.24,102.24,102.15,102.16,27356,1786699087714-0,md:candles:1m,1786699094422
1786699139999,GMRAIRPORT,1m,102.20,102.20,102.14,102.15,6940,1786699147877-0,md:candles:1m,1786699158101
1786699199999,GMRAIRPORT,1m,102.12,102.19,102.07,102.11,66495,1786699206178-0,md:candles:1m,1786699208603
1786699259999,GMRAIRPORT,1m,102.11,102.15,102.11,102.15,10435,1786699265195-0,md:candles:1m,1786699273120
1786699319999,GMRAIRPORT,1m,102.14,102.16,102.10,102.16,13489,1786699330893-0,md:candles:1m,1786699339124
1786699379999,GMRAIRPORT,1m,102.16,102.17,102.16,102.16,3705,1786699387713-0,md:candles:1m,1786699391745
1786699439999,GMRAIRPORT,1m,102.16,102.19,102.16,102.16,2711,1786699446293-0,md:candles:1m,1786699457822
1786699499999,GMRAIRPORT,1m,102.17,102.20,102.15,102.19,7403,1786699508073-0,md:candles:1m,1786699511111
1786699559999,GMRAIRPORT,1m,102.22,102.23,102.19,102.21,2743,1786699568088-0,md:candles:1m,1786699576085
1786699619999,GMRAIRPORT,1m,102.23,102.23,102.09,102.12,26169,1786699627409-0,md:candles:1m,1786699639246
