ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,GODREJCP,10m,939.20,939.80,938.30,938.90,32603,1786699265341-0,md:candles:10m,1786699265610
1786699799999,GODREJCP,10m,938.90,940.00,938.60,939.00,97085,1786699868346-0,md:candles:10m,1786699876284
1786700399999,GODREJCP,10m,938.90,940.20,938.90,939.50,122388,1786700465219-0,md:candles:10m,1786700471301
1786700999999,GODREJCP,10m,940.00,940.00,937.00,937.00,82746,1786701068712-0,md:candles:10m,1786701070102
1786701599999,GODREJCP,10m,937.00,937.00,934.30,934.30,2054110,1786702877117-0,md:candles:10m,1786702885431
1786702807000,GODREJCP,1d,939.20,940.20,934.30,934.30,2388932,1786702812337-0,md:candles:1d,1786702818543
1786698959999,GODREJCP,1m,939.20,939.80,939.10,939.10,4483,1786698966105-0,md:candles:1m,1786698974630
1786699019999,GODREJCP,1m,939.10,939.50,938.50,939.00,5606,1786699025408-0,md:candles:1m,1786699028548
1786699079999,GODREJCP,1m,938.60,939.10,938.30,938.50,12887,1786699087427-0,md:candles:1m,1786699094422
1786699139999,GODREJCP,1m,938.50,939.50,938.50,939.30,5329,1786699145401-0,md:candles:1m,1786699146984
1786699199999,GODREJCP,1m,939.00,939.40,938.50,938.90,4298,1786699205163-0,md:candles:1m,1786699208603
1786699259999,GODREJCP,1m,938.90,939.50,938.80,939.30,7876,1786699265337-0,md:candles:1m,1786699273120
1786699319999,GODREJCP,1m,939.00,939.70,938.80,938.90,12689,1786699325769-0,md:candles:1m,1786699326703
1786699379999,GODREJCP,1m,938.80,939.60,938.80,938.80,6422,1786699385917-0,md:candles:1m,1786699391745
1786699439999,GODREJCP,1m,938.80,939.40,938.80,939.30,6319,1786699445778-0,md:candles:1m,1786699457822
1786699499999,GODREJCP,1m,939.00,939.40,938.60,939.10,11878,1786699506133-0,md:candles:1m,1786699511111
1786699559999,GODREJCP,1m,939.10,939.80,939.10,939.20,11027,1786699565552-0,md:candles:1m,1786699576085
1786699619999,GODREJCP,1m,939.20,939.90,939.20,939.90,9861,1786699625941-0,md:candles:1m,1786699627296
1786699679999,GODREJCP,1m,939.40,940.00,938.90,939.40,15503,1786699685928-0,md:candles:1m,1786699689702
1786699739999,GODREJCP,1m,939.00,939.40,938.70,939.20,7688,1786699745903-0,md:candles:1m,1786699754023
1786699799999,GODREJCP,1m,939.20,939.50,938.70,939.00,7822,1786699806059-0,md:candles:1m,1786699807941
1786699859999,GODREJCP,1m,938.90,940.00,938.90,939.90,15348,1786699868341-0,md:candles:1m,1786699871843
1786699919999,GODREJCP,1m,939.80,940.00,939.30,940.00,22258,1786699925617-0,md:candles:1m,1786699936026
1786699979999,GODREJCP,1m,939.70,940.00,939.20,939.50,11429,1786699986216-0,md:candles:1m,1786699989617
1786700039999,GODREJCP,1m,939.50,940.00,939.40,940.00,7121,1786700046592-0,md:candles:1m,1786700051805
1786700099999,GODREJCP,1m,939.80,940.00,939.60,940.00,8642,1786700106181-0,md:candles:1m,1786700118244
1786700159999,GODREJCP,1m,939.70,940.00,939.40,939.80,12866,1786700165313-0,md:candles:1m,1786700171522
1786700219999,GODREJCP,1m,939.50,940.20,939.50,939.70,17289,1786700227905-0,md:candles:1m,1786700233604
1786700279999,GODREJCP,1m,939.70,939.70,939.30,939.60,7967,1786700289897-0,md:candles:1m,1786700298079
