ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,GODREJPROP,10m,1995.00,1995.50,1993.00,1994.40,3674,1786699266591-0,md:candles:10m,1786699276624
1786699799999,GODREJPROP,10m,1994.30,1995.80,1993.00,1993.50,17864,1786699867991-0,md:candles:10m,1786699876284
1786700399999,GODREJPROP,10m,1993.10,1994.00,1991.10,1991.10,17685,1786700471488-0,md:candles:10m,1786700482979
1786700999999,GODREJPROP,10m,1991.50,1994.00,1988.70,1994.00,19683,1786701149303-0,md:candles:10m,1786701157309
1786701599999,GODREJPROP,10m,1994.00,1994.00,1990.00,1990.00,444333,1786703203784-0,md:candles:10m,1786703207790
1786702800000,GODREJPROP,1d,1995.00,1995.80,1988.70,1990.00,503239,1786702805643-0,md:candles:1d,1786702807233
1786698959999,GODREJPROP,1m,1995.00,1995.30,1994.20,1995.10,127,1786698967103-0,md:candles:1m,1786698974630
1786699019999,GODREJPROP,1m,1995.10,1995.10,1993.60,1994.00,625,1786699025207-0,md:candles:1m,1786699028548
1786699079999,GODREJPROP,1m,1994.00,1995.50,1993.00,1994.50,2209,1786699087247-0,md:candles:1m,1786699094422
1786699139999,GODREJPROP,1m,1994.50,1994.90,1994.20,1994.20,364,1786699145584-0,md:candles:1m,1786699146984
1786699199999,GODREJPROP,1m,1994.50,1994.90,1993.50,1994.40,349,1786699205645-0,md:candles:1m,1786699208603
1786699259999,GODREJPROP,1m,1994.30,1995.80,1993.60,1993.60,1588,1786699266586-0,md:candles:1m,1786699273120
1786699319999,GODREJPROP,1m,1994.00,1995.30,1993.20,1994.00,9061,1786699325166-0,md:candles:1m,1786699326703
1786699379999,GODREJPROP,1m,1994.00,1994.60,1994.00,1994.60,144,1786699387106-0,md:candles:1m,1786699391745
1786699439999,GODREJPROP,1m,1994.60,1994.90,1994.00,1994.60,389,1786699446755-0,md:candles:1m,1786699457822
1786699499999,GODREJPROP,1m,1994.70,1994.70,1994.20,1994.70,230,1786699506574-0,md:candles:1m,1786699511111
1786699559999,GODREJPROP,1m,1994.70,1995.00,1994.50,1994.80,731,1786699565383-0,md:candles:1m,1786699576085
1786699619999,GODREJPROP,1m,1994.50,1994.60,1993.30,1993.40,1611,1786699626715-0,md:candles:1m,1786699627296
1786699679999,GODREJPROP,1m,1994.00,1994.20,1993.40,1994.00,1119,1786699686974-0,md:candles:1m,1786699689702
1786699739999,GODREJPROP,1m,1993.80,1994.20,1993.00,1993.60,2528,1786699747024-0,md:candles:1m,1786699754023
1786699799999,GODREJPROP,1m,1993.50,1993.60,1993.00,1993.50,463,1786699808132-0,md:candles:1m,1786699821286
1786699859999,GODREJPROP,1m,1993.10,1993.90,1993.00,1993.80,1104,1786699867978-0,md:candles:1m,1786699871843
1786699919999,GODREJPROP,1m,1993.70,1993.70,1993.50,1993.50,1247,1786699927451-0,md:candles:1m,1786699936026
1786699979999,GODREJPROP,1m,1993.40,1993.80,1993.40,1993.80,1568,1786699985209-0,md:candles:1m,1786699989617
1786700039999,GODREJPROP,1m,1993.80,1994.00,1993.50,1993.90,905,1786700045880-0,md:candles:1m,1786700051805
1786700099999,GODREJPROP,1m,1993.90,1994.00,1993.50,1993.90,1192,1786700106540-0,md:candles:1m,1786700118244
1786700159999,GODREJPROP,1m,1993.90,1993.90,1992.00,1992.50,2181,1786700167236-0,md:candles:1m,1786700171522
1786700219999,GODREJPROP,1m,1992.30,1992.50,1992.10,1992.40,2611,1786700227545-0,md:candles:1m,1786700233604
1786700279999,GODREJPROP,1m,1992.30,1993.90,1992.30,1993.00,3828,1786700289492-0,md:candles:1m,1786700298079
1786700339999,GODREJPROP,1m,1992.30,1992.50,1992.30,1992.50,1554,1786700349353-0,md:candles:1m,1786700351053
1786700399999,GODREJPROP,1m,1992.50,1992.80,1991.10,1991.10,1495,1786700407422-0,md:candles:1m,1786700412580
1786700459999,GODREJPROP,1m,1991.50,1991.60,1991.50,1991.50,1639,1786700471453-0,md:candles:1m,1786700476026
1786700519999,GODREJPROP,1m,1991.00,1991.80,1990.90,1991.50,3132,1786700526383-0,md:candles:1m,1786700529452
1786700579999,GODREJPROP,1m,1991.80,1991.90,1990.40,1990.40,6483,1786700590816-0,md:candles:1m,1786700591306
1786700639999,GODREJPROP,1m,1990.10,1990.20,1988.70,1989.80,4759,1786700645533-0,md:candles:1m,1786700653590
1786700699999,GODREJPROP,1m,1989.90,1994.00,1989.40,1994.00,3587,1786700706948-0,md:candles:1m,1786700715149
1786700759999,GODREJPROP,1m,1994.00,1994.00,1994.00,1994.00,83,1786701005699-0,md:candles:1m,1786701010481
1786701059999,GODREJPROP,1m,1994.00,1994.00,1994.00,1994.00,820,1786701149298-0,md:candles:1m,1786701149293
1786701179999,GODREJPROP,1m,1994.00,1994.00,1994.00,1994.00,70,1786701227577-0,md:candles:1m,1786701238070
1786701239999,GODREJPROP,1m,1994.00,1994.00,1994.00,1994.00,15,1786701245653-0,md:candles:1m,1786701248276
1786701299999,GODREJPROP,1m,1994.00,1994.00,1994.00,1994.00,33,1786701367351-0,md:candles:1m,1786701367943
1786701419999,GODREJPROP,1m,1994.00,1994.00,1994.00,1994.00,10,1786701426239-0,md:candles:1m,1786701432770
1786701479999,GODREJPROP,1m,1994.00,1994.00,1994.00,1994.00,4,1786701512499-0,md:candles:1m,1786701517806
1786701539999,GODREJPROP,1m,1994.00,1994.00,1990.00,1990.00,443381,1786702805642-0,md:candles:1m,1786702808525
1786702859999,GODREJPROP,1m,1990.00,1990.00,1990.00,1990.00,37,1786703203781-0,md:candles:1m,1786703206602
1786703219999,GODREJPROP,1m,1990.00,1990.00,1990.00,1990.00,30,1786703247919-0,md:candles:1m,1786703250920
1786703279999,GODREJPROP,1m,1990.00,1990.00,1990.00,1990.00,26,1786703314404-0,md:candles:1m,1786703314394
1786703339999,GODREJPROP,1m,1990.00,1990.00,1990.00,1990.00,2,1786703361364-0,md:candles:1m,1786703368956
1786699799999,GODREJPROP,30m,1995.00,1995.80,1993.00,1993.50,21538,1786699867992-0,md:candles:30m,1786699872287
1786701599999,GODREJPROP,30m,1993.10,1994.00,1988.70,1990.00,481701,1786703203785-0,md:candles:30m,1786703213798
1786699199999,GODREJPROP,5m,1995.00,1995.50,1993.00,1994.40,3674,1786699266590-0,md:candles:5m,1786699276624
1786699499999,GODREJPROP,5m,1994.30,1995.80,1993.20,1994.70,11412,1786699565393-0,md:candles:5m,1786699570970
1786699799999,GODREJPROP,5m,1994.70,1995.00,1993.00,1993.50,6452,1786699867989-0,md:candles:5m,1786699868444
1786700099999,GODREJPROP,5m,1993.10,1994.00,1993.00,1993.90,6016,1786700167246-0,md:candles:5m,1786700170829
1786700399999,GODREJPROP,5m,1993.90,1993.90,1991.10,1991.10,11669,1786700471487-0,md:candles:5m,1786700482979
1786700699999,GODREJPROP,5m,1991.50,1994.00,1988.70,1994.00,19600,1786701005704-0,md:candles:5m,1786701013188
1786700999999,GODREJPROP,5m,1994.00,1994.00,1994.00,1994.00,83,1786701149301-0,md:candles:5m,1786701157309
1786701299999,GODREJPROP,5m,1994.00,1994.00,1994.00,1994.00,938,1786701426242-0,md:candles:5m,1786701434082
1786701599999,GODREJPROP,5m,1994.00,1994.00,1990.00,1990.00,443395,1786703203783-0,md:candles:5m,1786703207585
1786703099999,GODREJPROP,5m,1990.00,1990.00,1990.00,1990.00,37,1786703247923-0,md:candles:5m,1786703252000
