ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,GRASIM,10m,3248.10,3249.50,3246.20,3246.60,4089,1786699277713-0,md:candles:10m,1786699288226
1786699799999,GRASIM,10m,3246.90,3248.00,3245.00,3246.10,9390,1786699869732-0,md:candles:10m,1786699876284
1786700399999,GRASIM,10m,3246.60,3247.20,3237.30,3237.30,44895,1786700465519-0,md:candles:10m,1786700471301
1786700999999,GRASIM,10m,3237.70,3246.00,3232.10,3232.80,41434,1786701069988-0,md:candles:10m,1786701070102
1786701599999,GRASIM,10m,3232.80,3248.70,3232.80,3248.70,468955,1786703171354-0,md:candles:10m,1786703175348
1786702801000,GRASIM,1d,3248.10,3249.50,3232.10,3248.70,568763,1786702806962-0,md:candles:1d,1786702807233
1786698959999,GRASIM,1m,3248.10,3248.10,3246.50,3247.30,323,1786698966066-0,md:candles:1m,1786698974630
1786699019999,GRASIM,1m,3248.10,3248.70,3246.60,3246.60,635,1786699027941-0,md:candles:1m,1786699028548
1786699079999,GRASIM,1m,3246.90,3249.50,3246.40,3246.50,1059,1786699085705-0,md:candles:1m,1786699094422
1786699139999,GRASIM,1m,3246.80,3247.80,3246.60,3247.00,960,1786699146023-0,md:candles:1m,1786699146984
1786699199999,GRASIM,1m,3247.50,3248.30,3246.20,3246.60,1112,1786699206627-0,md:candles:1m,1786699208603
1786699259999,GRASIM,1m,3246.90,3248.00,3245.10,3245.40,947,1786699277707-0,md:candles:1m,1786699286206
1786699319999,GRASIM,1m,3245.90,3247.40,3245.60,3245.80,853,1786699325601-0,md:candles:1m,1786699326703
1786699379999,GRASIM,1m,3245.80,3247.60,3245.00,3245.10,1240,1786699385750-0,md:candles:1m,1786699391745
1786699439999,GRASIM,1m,3246.30,3246.60,3245.00,3245.60,756,1786699447183-0,md:candles:1m,1786699457822
1786699499999,GRASIM,1m,3246.00,3247.30,3245.00,3246.50,957,1786699505495-0,md:candles:1m,1786699511111
1786699559999,GRASIM,1m,3246.70,3247.90,3246.30,3247.30,739,1786699568972-0,md:candles:1m,1786699576085
1786699619999,GRASIM,1m,3247.30,3247.40,3246.20,3246.20,577,1786699628414-0,md:candles:1m,1786699639246
1786699679999,GRASIM,1m,3245.90,3247.90,3245.90,3246.30,1137,1786699688611-0,md:candles:1m,1786699689702
1786699739999,GRASIM,1m,3247.50,3247.50,3245.40,3245.60,857,1786699748914-0,md:candles:1m,1786699754023
1786699799999,GRASIM,1m,3246.10,3247.90,3245.70,3246.10,1327,1786699806847-0,md:candles:1m,1786699807941
1786699859999,GRASIM,1m,3246.60,3247.20,3245.20,3247.20,2849,1786699869718-0,md:candles:1m,1786699871843
1786699919999,GRASIM,1m,3246.90,3246.90,3245.00,3245.00,2119,1786699926142-0,md:candles:1m,1786699936026
1786699979999,GRASIM,1m,3245.20,3245.20,3243.40,3243.40,16185,1786699987328-0,md:candles:1m,1786699989617
1786700039999,GRASIM,1m,3242.70,3243.20,3241.40,3243.20,2986,1786700047903-0,md:candles:1m,1786700051805
1786700099999,GRASIM,1m,3243.20,3243.20,3241.00,3241.50,1588,1786700107426-0,md:candles:1m,1786700118244
1786700159999,GRASIM,1m,3241.00,3241.00,3239.10,3239.70,3474,1786700166609-0,md:candles:1m,1786700171522
1786700219999,GRASIM,1m,3240.80,3245.10,3237.60,3245.00,5000,1786700225324-0,md:candles:1m,1786700233604
1786700279999,GRASIM,1m,3246.40,3246.40,3245.00,3245.40,2264,1786700291173-0,md:candles:1m,1786700298079
1786700339999,GRASIM,1m,3245.40,3245.50,3245.00,3245.30,3363,1786700351078-0,md:candles:1m,1786700362283
1786700399999,GRASIM,1m,3245.30,3245.70,3237.30,3237.30,5067,1786700410391-0,md:candles:1m,1786700412580
1786700459999,GRASIM,1m,3237.70,3240.40,3237.70,3237.70,10474,1786700465471-0,md:candles:1m,1786700476026
1786700519999,GRASIM,1m,3238.90,3245.10,3237.70,3243.10,17365,1786700525827-0,md:candles:1m,1786700529452
1786700579999,GRASIM,1m,3242.90,3246.00,3236.30,3245.50,6421,1786700585154-0,md:candles:1m,1786700591306
1786700639999,GRASIM,1m,3245.50,3245.50,3238.60,3242.00,4772,1786700645774-0,md:candles:1m,1786700653590
1786700699999,GRASIM,1m,3242.30,3242.30,3232.10,3232.80,2355,1786700708477-0,md:candles:1m,1786700715149
1786700759999,GRASIM,1m,3232.80,3232.80,3232.80,3232.80,47,1786701007589-0,md:candles:1m,1786701010481
1786701059999,GRASIM,1m,3232.80,3232.80,3232.80,3232.80,6057,1786701069985-0,md:candles:1m,1786701071890
1786701119999,GRASIM,1m,3232.80,3232.80,3232.80,3232.80,113,1786701162927-0,md:candles:1m,1786701171344
1786701179999,GRASIM,1m,3232.80,3232.80,3232.80,3232.80,30,1786701204828-0,md:candles:1m,1786701215027
1786701239999,GRASIM,1m,3232.80,3232.80,3232.80,3232.80,1,1786701247078-0,md:candles:1m,1786701248276
1786701299999,GRASIM,1m,3232.80,3232.80,3232.80,3232.80,35,1786701375367-0,md:candles:1m,1786701379364
1786701419999,GRASIM,1m,3232.80,3232.80,3232.80,3232.80,0,1786701454417-0,md:candles:1m,1786701454406
1786701479999,GRASIM,1m,3232.80,3232.80,3232.80,3232.80,94,1786701499223-0,md:candles:1m,1786701507390
1786701539999,GRASIM,1m,3232.80,3248.70,3232.80,3248.70,462625,1786702806961-0,md:candles:1m,1786702808525
1786702859999,GRASIM,1m,3248.70,3248.70,3248.70,3248.70,95,1786703171351-0,md:candles:1m,1786703173539
1786699799999,GRASIM,30m,3248.10,3249.50,3245.00,3246.10,13479,1786699869734-0,md:candles:30m,1786699872287
1786701599999,GRASIM,30m,3246.60,3248.70,3232.10,3248.70,555284,1786703171354-0,md:candles:30m,1786703173356
1786699199999,GRASIM,5m,3248.10,3249.50,3246.20,3246.60,4089,1786699277711-0,md:candles:5m,1786699288210
1786699499999,GRASIM,5m,3246.90,3248.00,3245.00,3246.50,4753,1786699568975-0,md:candles:5m,1786699570970
1786699799999,GRASIM,5m,3246.70,3247.90,3245.40,3246.10,4637,1786699869730-0,md:candles:5m,1786699880291
1786700099999,GRASIM,5m,3246.60,3247.20,3241.00,3241.50,25727,1786700166613-0,md:candles:5m,1786700170829
1786700399999,GRASIM,5m,3241.00,3246.40,3237.30,3237.30,19168,1786700465517-0,md:candles:5m,1786700471362
1786700699999,GRASIM,5m,3237.70,3246.00,3232.10,3232.80,41387,1786701007593-0,md:candles:5m,1786701013188
1786700999999,GRASIM,5m,3232.80,3232.80,3232.80,3232.80,47,1786701069986-0,md:candles:5m,1786701080800
1786701299999,GRASIM,5m,3232.80,3232.80,3232.80,3232.80,6236,1786701454422-0,md:candles:5m,1786701456426
1786701599999,GRASIM,5m,3232.80,3248.70,3232.80,3248.70,462719,1786703171353-0,md:candles:5m,1786703174451
