ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,HAL,10m,5030.20,5033.00,5024.00,5029.50,23112,1786699265660-0,md:candles:10m,1786699276624
1786699799999,HAL,10m,5028.00,5029.90,5017.00,5017.00,42842,1786699866110-0,md:candles:10m,1786699876284
1786700399999,HAL,10m,5018.00,5027.30,5010.00,5026.80,78176,1786700465709-0,md:candles:10m,1786700471301
1786700999999,HAL,10m,5026.00,5026.80,5013.60,5015.80,40600,1786701068783-0,md:candles:10m,1786701070102
1786701599999,HAL,10m,5015.80,5029.90,5015.80,5029.90,1524007,1786702910762-0,md:candles:10m,1786702916373
1786702800000,HAL,1d,5030.20,5033.00,5010.00,5029.90,1708737,1786702806022-0,md:candles:1d,1786702807233
1786698959999,HAL,1m,5030.20,5033.00,5030.00,5030.10,1843,1786698965317-0,md:candles:1m,1786698974630
1786699019999,HAL,1m,5031.20,5031.20,5025.00,5025.30,8809,1786699025483-0,md:candles:1m,1786699028548
1786699079999,HAL,1m,5025.90,5030.00,5024.00,5029.20,4838,1786699085198-0,md:candles:1m,1786699094422
1786699139999,HAL,1m,5028.60,5031.00,5028.00,5030.00,3699,1786699145579-0,md:candles:1m,1786699146984
1786699199999,HAL,1m,5028.70,5030.20,5027.00,5029.50,3923,1786699205658-0,md:candles:1m,1786699208603
1786699259999,HAL,1m,5028.00,5029.90,5026.90,5027.00,3090,1786699265640-0,md:candles:1m,1786699273120
1786699319999,HAL,1m,5026.20,5027.20,5022.70,5025.00,4839,1786699325722-0,md:candles:1m,1786699326703
1786699379999,HAL,1m,5024.00,5027.00,5023.00,5027.00,4416,1786699385287-0,md:candles:1m,1786699391745
1786699439999,HAL,1m,5027.20,5028.00,5025.10,5027.20,6591,1786699445378-0,md:candles:1m,1786699445600
1786699499999,HAL,1m,5027.40,5028.00,5023.20,5024.50,6286,1786699505374-0,md:candles:1m,1786699511111
1786699559999,HAL,1m,5024.60,5027.20,5023.00,5024.90,3314,1786699565888-0,md:candles:1m,1786699576085
1786699619999,HAL,1m,5023.90,5027.50,5023.90,5024.00,1891,1786699625695-0,md:candles:1m,1786699627296
1786699679999,HAL,1m,5024.00,5024.90,5024.00,5024.00,2165,1786699685479-0,md:candles:1m,1786699689702
1786699739999,HAL,1m,5024.00,5024.20,5020.00,5020.00,6458,1786699747780-0,md:candles:1m,1786699754023
1786699799999,HAL,1m,5020.00,5020.80,5017.00,5017.00,3792,1786699805745-0,md:candles:1m,1786699807941
1786699859999,HAL,1m,5018.00,5018.00,5015.00,5015.80,4600,1786699866069-0,md:candles:1m,1786699871843
1786699919999,HAL,1m,5015.00,5015.80,5012.40,5015.10,7160,1786699926099-0,md:candles:1m,1786699936026
1786699979999,HAL,1m,5015.40,5015.50,5012.00,5012.30,2816,1786699986058-0,md:candles:1m,1786699989617
1786700039999,HAL,1m,5012.40,5015.90,5012.10,5012.10,4901,1786700045581-0,md:candles:1m,1786700051805
1786700099999,HAL,1m,5012.10,5016.60,5012.10,5015.10,4419,1786700106097-0,md:candles:1m,1786700118244
1786700159999,HAL,1m,5014.50,5017.40,5010.00,5016.40,15576,1786700165181-0,md:candles:1m,1786700171522
1786700219999,HAL,1m,5016.00,5016.30,5012.00,5012.80,13638,1786700226263-0,md:candles:1m,1786700233604
1786700279999,HAL,1m,5012.80,5017.70,5012.00,5014.90,6914,1786700285200-0,md:candles:1m,1786700286220
1786700339999,HAL,1m,5015.00,5022.80,5015.00,5022.80,6960,1786700345471-0,md:candles:1m,1786700351053
1786700399999,HAL,1m,5022.00,5027.30,5018.60,5026.80,11192,1786700405302-0,md:candles:1m,1786700412580
1786700459999,HAL,1m,5026.00,5026.80,5022.40,5023.80,6296,1786700465704-0,md:candles:1m,1786700476026
1786700519999,HAL,1m,5024.70,5024.70,5021.30,5023.50,3760,1786700526095-0,md:candles:1m,1786700529452
1786700579999,HAL,1m,5023.50,5024.00,5013.60,5018.50,17876,1786700585386-0,md:candles:1m,1786700591306
1786700639999,HAL,1m,5018.10,5020.00,5017.40,5019.60,5310,1786700645158-0,md:candles:1m,1786700653590
1786700699999,HAL,1m,5018.10,5019.70,5014.40,5015.80,7346,1786700705341-0,md:candles:1m,1786700715149
1786700759999,HAL,1m,5015.80,5015.80,5015.80,5015.80,12,1786701006276-0,md:candles:1m,1786701010481
1786701059999,HAL,1m,5015.80,5015.80,5015.80,5015.80,4572,1786701068780-0,md:candles:1m,1786701071890
1786701119999,HAL,1m,5015.80,5015.80,5015.80,5015.80,205,1786701125676-0,md:candles:1m,1786701126761
1786701179999,HAL,1m,5015.80,5015.80,5015.80,5015.80,79,1786701185910-0,md:candles:1m,1786701191510
1786701239999,HAL,1m,5015.80,5015.80,5015.80,5015.80,152,1786701245980-0,md:candles:1m,1786701248276
1786701299999,HAL,1m,5015.80,5015.80,5015.80,5015.80,58,1786701307986-0,md:candles:1m,1786701313567
1786701359999,HAL,1m,5015.80,5015.80,5015.80,5015.80,151,1786701367841-0,md:candles:1m,1786701367943
1786701419999,HAL,1m,5015.80,5015.80,5015.80,5015.80,39,1786701433575-0,md:candles:1m,1786701443578
1786701479999,HAL,1m,5015.80,5015.80,5015.80,5015.80,56,1786701489785-0,md:candles:1m,1786701496799
1786701539999,HAL,1m,5015.80,5029.90,5015.80,5029.90,1518695,1786702806021-0,md:candles:1m,1786702808525
1786702859999,HAL,1m,5029.90,5029.90,5029.90,5029.90,209,1786702910758-0,md:candles:1m,1786702916365
1786702919999,HAL,1m,5029.90,5029.90,5029.90,5029.90,10,1786702992941-0,md:candles:1m,1786703000545
