ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,HAVELLS,10m,1298.30,1298.60,1297.10,1298.00,27345,1786699265484-0,md:candles:10m,1786699265610
1786699799999,HAVELLS,10m,1297.80,1297.80,1295.50,1296.50,16909,1786699869174-0,md:candles:10m,1786699876284
1786700399999,HAVELLS,10m,1296.50,1296.80,1294.70,1294.70,19790,1786700465461-0,md:candles:10m,1786700471301
1786700999999,HAVELLS,10m,1297.40,1299.00,1295.60,1298.00,89030,1786701069487-0,md:candles:10m,1786701070102
1786701599999,HAVELLS,10m,1298.00,1298.00,1298.00,1298.00,831969,1786702875313-0,md:candles:10m,1786702885431
1786702801000,HAVELLS,1d,1298.30,1299.00,1294.70,1298.00,985043,1786702806548-0,md:candles:1d,1786702807233
1786698959999,HAVELLS,1m,1298.30,1298.50,1297.60,1298.50,337,1786698965642-0,md:candles:1m,1786698974630
1786699019999,HAVELLS,1m,1297.80,1298.50,1297.70,1298.00,650,1786699029029-0,md:candles:1m,1786699041361
1786699079999,HAVELLS,1m,1298.00,1298.50,1297.10,1298.10,23157,1786699088028-0,md:candles:1m,1786699094422
1786699139999,HAVELLS,1m,1298.10,1298.60,1298.10,1298.10,2039,1786699145405-0,md:candles:1m,1786699146984
1786699199999,HAVELLS,1m,1298.10,1298.50,1298.00,1298.00,1162,1786699207646-0,md:candles:1m,1786699208603
1786699259999,HAVELLS,1m,1297.80,1297.80,1297.50,1297.50,487,1786699265479-0,md:candles:1m,1786699273120
1786699319999,HAVELLS,1m,1297.50,1297.50,1296.40,1296.40,2652,1786699326789-0,md:candles:1m,1786699339124
1786699379999,HAVELLS,1m,1296.30,1296.70,1295.50,1295.60,7359,1786699388159-0,md:candles:1m,1786699391745
1786699439999,HAVELLS,1m,1295.60,1296.90,1295.60,1296.90,1019,1786699446669-0,md:candles:1m,1786699457822
1786699499999,HAVELLS,1m,1296.40,1296.70,1295.90,1295.90,272,1786699512632-0,md:candles:1m,1786699523104
1786699559999,HAVELLS,1m,1295.90,1296.70,1295.70,1296.70,1335,1786699568114-0,md:candles:1m,1786699576085
1786699619999,HAVELLS,1m,1296.00,1296.40,1295.70,1296.30,808,1786699628058-0,md:candles:1m,1786699639246
1786699679999,HAVELLS,1m,1296.20,1296.20,1295.50,1295.50,402,1786699685958-0,md:candles:1m,1786699689702
1786699739999,HAVELLS,1m,1295.50,1296.30,1295.50,1296.20,1411,1786699745980-0,md:candles:1m,1786699754023
1786699799999,HAVELLS,1m,1296.10,1297.00,1295.90,1296.50,1164,1786699806256-0,md:candles:1m,1786699807941
1786699859999,HAVELLS,1m,1296.50,1296.60,1296.00,1296.20,3064,1786699869158-0,md:candles:1m,1786699871843
1786699919999,HAVELLS,1m,1295.80,1296.10,1295.60,1295.60,1642,1786699928462-0,md:candles:1m,1786699936026
1786699979999,HAVELLS,1m,1296.00,1296.50,1295.70,1296.40,1340,1786699986821-0,md:candles:1m,1786699989617
1786700039999,HAVELLS,1m,1296.40,1296.80,1296.10,1296.30,540,1786700047295-0,md:candles:1m,1786700051805
1786700099999,HAVELLS,1m,1296.50,1296.80,1296.40,1296.40,824,1786700107386-0,md:candles:1m,1786700118244
1786700159999,HAVELLS,1m,1296.80,1296.80,1296.30,1296.40,3786,1786700166015-0,md:candles:1m,1786700171522
1786700219999,HAVELLS,1m,1296.40,1296.40,1295.50,1295.60,3591,1786700225281-0,md:candles:1m,1786700233604
1786700279999,HAVELLS,1m,1295.50,1295.50,1295.30,1295.30,937,1786700290570-0,md:candles:1m,1786700298079
1786700339999,HAVELLS,1m,1295.40,1295.80,1295.40,1295.50,1071,1786700350691-0,md:candles:1m,1786700351053
1786700399999,HAVELLS,1m,1296.00,1296.00,1294.70,1294.70,2995,1786700409402-0,md:candles:1m,1786700412580
1786700459999,HAVELLS,1m,1297.40,1298.00,1296.70,1297.50,67888,1786700465429-0,md:candles:1m,1786700476026
1786700519999,HAVELLS,1m,1297.10,1297.50,1296.40,1296.70,4313,1786700527327-0,md:candles:1m,1786700529452
1786700579999,HAVELLS,1m,1297.10,1298.50,1295.60,1297.40,10477,1786700590400-0,md:candles:1m,1786700591306
1786700639999,HAVELLS,1m,1297.10,1297.10,1296.10,1296.10,3337,1786700645165-0,md:candles:1m,1786700653590
1786700699999,HAVELLS,1m,1296.90,1299.00,1295.60,1296.00,2935,1786700707941-0,md:candles:1m,1786700715149
1786700759999,HAVELLS,1m,1298.00,1298.00,1298.00,1298.00,80,1786701006979-0,md:candles:1m,1786701010481
1786701059999,HAVELLS,1m,1298.00,1298.00,1298.00,1298.00,5324,1786701069483-0,md:candles:1m,1786701071890
1786701119999,HAVELLS,1m,1298.00,1298.00,1298.00,1298.00,528,1786701126064-0,md:candles:1m,1786701126761
1786701179999,HAVELLS,1m,1298.00,1298.00,1298.00,1298.00,244,1786701186635-0,md:candles:1m,1786701191510
1786701239999,HAVELLS,1m,1298.00,1298.00,1298.00,1298.00,198,1786701246590-0,md:candles:1m,1786701248276
1786701299999,HAVELLS,1m,1298.00,1298.00,1298.00,1298.00,207,1786701330589-0,md:candles:1m,1786701336296
1786701359999,HAVELLS,1m,1298.00,1298.00,1298.00,1298.00,520,1786701374857-0,md:candles:1m,1786701379364
1786701419999,HAVELLS,1m,1298.00,1298.00,1298.00,1298.00,208,1786701440776-0,md:candles:1m,1786701443578
1786701479999,HAVELLS,1m,1298.00,1298.00,1298.00,1298.00,369,1786701490463-0,md:candles:1m,1786701496799
1786701539999,HAVELLS,1m,1298.00,1298.00,1298.00,1298.00,824371,1786702806545-0,md:candles:1m,1786702808525
1786702859999,HAVELLS,1m,1298.00,1298.00,1298.00,1298.00,1,1786702875310-0,md:candles:1m,1786702884923
1786702919999,HAVELLS,1m,1298.00,1298.00,1298.00,1298.00,1,1786702951407-0,md:candles:1m,1786702957910
1786702979999,HAVELLS,1m,1298.00,1298.00,1298.00,1298.00,11,1786703380278-0,md:candles:1m,1786703390903
1786699799999,HAVELLS,30m,1298.30,1298.60,1295.50,1296.50,44254,1786699869176-0,md:candles:30m,1786699872287
1786701599999,HAVELLS,30m,1296.50,1299.00,1294.70,1298.00,940789,1786702875313-0,md:candles:30m,1786702882739
1786699199999,HAVELLS,5m,1298.30,1298.60,1297.10,1298.00,27345,1786699265483-0,md:candles:5m,1786699265610
1786699499999,HAVELLS,5m,1297.80,1297.80,1295.50,1295.90,11789,1786699568126-0,md:candles:5m,1786699570970
1786699799999,HAVELLS,5m,1295.90,1297.00,1295.50,1296.50,5120,1786699869171-0,md:candles:5m,1786699880291
1786700099999,HAVELLS,5m,1296.50,1296.80,1295.60,1296.40,7410,1786700166017-0,md:candles:5m,1786700170829
1786700399999,HAVELLS,5m,1296.80,1296.80,1294.70,1294.70,12380,1786700465460-0,md:candles:5m,1786700471362
1786700699999,HAVELLS,5m,1297.40,1299.00,1295.60,1296.00,88950,1786701006981-0,md:candles:5m,1786701013188
1786700999999,HAVELLS,5m,1298.00,1298.00,1298.00,1298.00,80,1786701069485-0,md:candles:5m,1786701080800
1786701299999,HAVELLS,5m,1298.00,1298.00,1298.00,1298.00,6501,1786701374859-0,md:candles:5m,1786701379364
1786701599999,HAVELLS,5m,1298.00,1298.00,1298.00,1298.00,825468,1786702875312-0,md:candles:5m,1786702884923
