ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,HCLTECH,10m,1362.20,1362.50,1361.90,1362.40,16514,1786699265370-0,md:candles:10m,1786699265610
1786699799999,HCLTECH,10m,1362.20,1363.90,1361.80,1362.40,84535,1786699868943-0,md:candles:10m,1786699876284
1786700399999,HCLTECH,10m,1361.90,1362.70,1360.60,1361.00,56229,1786700465717-0,md:candles:10m,1786700471301
1786700999999,HCLTECH,10m,1361.10,1363.40,1360.80,1360.80,40924,1786701069229-0,md:candles:10m,1786701070102
1786701599999,HCLTECH,10m,1360.80,1360.80,1360.00,1360.00,1032137,1786702868103-0,md:candles:10m,1786702875014
1786702855000,HCLTECH,1d,1362.20,1363.90,1360.00,1360.00,1230339,1786702860503-0,md:candles:1d,1786702862495
1786698959999,HCLTECH,1m,1362.20,1362.50,1361.90,1362.40,5497,1786698965343-0,md:candles:1m,1786698974630
1786699019999,HCLTECH,1m,1362.20,1362.40,1361.90,1362.10,3277,1786699027868-0,md:candles:1m,1786699028548
1786699079999,HCLTECH,1m,1362.00,1362.40,1361.90,1361.90,1946,1786699085661-0,md:candles:1m,1786699094422
1786699139999,HCLTECH,1m,1362.00,1362.40,1361.90,1361.90,4475,1786699145182-0,md:candles:1m,1786699146984
1786699199999,HCLTECH,1m,1362.40,1362.40,1361.90,1362.40,1319,1786699206287-0,md:candles:1m,1786699208603
1786699259999,HCLTECH,1m,1362.20,1362.30,1361.80,1362.30,10137,1786699265357-0,md:candles:1m,1786699273120
1786699319999,HCLTECH,1m,1361.80,1362.40,1361.80,1362.00,16152,1786699326763-0,md:candles:1m,1786699339124
1786699379999,HCLTECH,1m,1362.30,1362.60,1361.90,1362.00,8348,1786699385753-0,md:candles:1m,1786699391745
1786699439999,HCLTECH,1m,1362.40,1363.90,1361.90,1363.90,18337,1786699445610-0,md:candles:1m,1786699445600
1786699499999,HCLTECH,1m,1363.80,1363.90,1363.10,1363.70,4054,1786699506132-0,md:candles:1m,1786699511111
1786699559999,HCLTECH,1m,1363.70,1363.90,1362.60,1363.70,11954,1786699568100-0,md:candles:1m,1786699576085
1786699619999,HCLTECH,1m,1363.60,1363.60,1362.90,1363.10,3529,1786699627654-0,md:candles:1m,1786699639246
1786699679999,HCLTECH,1m,1362.90,1363.20,1362.90,1363.00,2533,1786699687968-0,md:candles:1m,1786699689702
1786699739999,HCLTECH,1m,1363.30,1363.30,1362.10,1362.90,7093,1786699748044-0,md:candles:1m,1786699754023
1786699799999,HCLTECH,1m,1362.60,1362.80,1362.40,1362.40,2398,1786699805967-0,md:candles:1m,1786699807941
1786699859999,HCLTECH,1m,1361.90,1362.60,1361.50,1361.60,15094,1786699868933-0,md:candles:1m,1786699871843
1786699919999,HCLTECH,1m,1361.90,1362.30,1361.70,1362.00,4884,1786699928141-0,md:candles:1m,1786699936026
1786699979999,HCLTECH,1m,1361.60,1362.70,1361.60,1362.20,8559,1786699986646-0,md:candles:1m,1786699989617
1786700039999,HCLTECH,1m,1362.60,1362.60,1362.00,1362.20,5180,1786700047011-0,md:candles:1m,1786700051805
1786700099999,HCLTECH,1m,1362.20,1362.20,1361.10,1361.10,3721,1786700106206-0,md:candles:1m,1786700118244
1786700159999,HCLTECH,1m,1361.40,1361.40,1361.10,1361.20,3606,1786700165811-0,md:candles:1m,1786700171522
1786700219999,HCLTECH,1m,1361.30,1361.30,1361.10,1361.30,5239,1786700228630-0,md:candles:1m,1786700233604
1786700279999,HCLTECH,1m,1361.20,1361.30,1361.00,1361.00,3033,1786700290432-0,md:candles:1m,1786700298079
1786700339999,HCLTECH,1m,1361.20,1361.20,1361.00,1361.10,3343,1786700350528-0,md:candles:1m,1786700351053
1786700399999,HCLTECH,1m,1360.90,1361.20,1360.60,1361.00,3570,1786700409388-0,md:candles:1m,1786700412580
1786700459999,HCLTECH,1m,1361.10,1362.30,1361.10,1362.30,14972,1786700465710-0,md:candles:1m,1786700476026
1786700519999,HCLTECH,1m,1362.30,1362.50,1362.00,1362.10,6824,1786700526893-0,md:candles:1m,1786700529452
1786700579999,HCLTECH,1m,1362.10,1363.40,1361.90,1363.00,10390,1786700590383-0,md:candles:1m,1786700591306
1786700639999,HCLTECH,1m,1362.90,1363.00,1362.60,1362.60,3210,1786700651472-0,md:candles:1m,1786700653590
1786700699999,HCLTECH,1m,1362.60,1362.60,1361.00,1361.30,5388,1786700707748-0,md:candles:1m,1786700715149
1786700759999,HCLTECH,1m,1360.80,1360.80,1360.80,1360.80,140,1786701006780-0,md:candles:1m,1786701010481
1786701059999,HCLTECH,1m,1360.80,1360.80,1360.80,1360.80,32231,1786701069219-0,md:candles:1m,1786701071890
1786701119999,HCLTECH,1m,1360.80,1360.80,1360.80,1360.80,8569,1786701125862-0,md:candles:1m,1786701126761
1786701179999,HCLTECH,1m,1360.80,1360.80,1360.80,1360.80,5618,1786701186213-0,md:candles:1m,1786701191510
1786701239999,HCLTECH,1m,1360.80,1360.80,1360.80,1360.80,804,1786701246285-0,md:candles:1m,1786701248276
1786701299999,HCLTECH,1m,1360.80,1360.80,1360.80,1360.80,775,1786701323196-0,md:candles:1m,1786701324284
1786701359999,HCLTECH,1m,1360.80,1360.80,1360.80,1360.80,5217,1786701381078-0,md:candles:1m,1786701390103
1786701419999,HCLTECH,1m,1360.80,1360.80,1360.80,1360.80,9221,1786701440484-0,md:candles:1m,1786701443578
1786701479999,HCLTECH,1m,1360.80,1360.80,1360.80,1360.80,4583,1786701490205-0,md:candles:1m,1786701496799
1786701539999,HCLTECH,1m,1360.80,1360.80,1360.00,1360.00,965119,1786702860500-0,md:candles:1m,1786702863402
1786702859999,HCLTECH,1m,1360.00,1360.00,1360.00,1360.00,1,1786702868100-0,md:candles:1m,1786702874006
1786702919999,HCLTECH,1m,1360.00,1360.00,1360.00,1360.00,1,1786702939390-0,md:candles:1m,1786702947398
1786702979999,HCLTECH,1m,1360.00,1360.00,1360.00,1360.00,16,1786702990748-0,md:candles:1m,1786703000545
1786699799999,HCLTECH,30m,1362.20,1363.90,1361.80,1362.40,101049,1786699868944-0,md:candles:30m,1786699872287
1786701599999,HCLTECH,30m,1361.90,1363.40,1360.00,1360.00,1129290,1786702868104-0,md:candles:30m,1786702871507
1786699199999,HCLTECH,5m,1362.20,1362.50,1361.90,1362.40,16514,1786699265369-0,md:candles:5m,1786699265610
1786699499999,HCLTECH,5m,1362.20,1363.90,1361.80,1363.70,57028,1786699568113-0,md:candles:5m,1786699570970
1786699799999,HCLTECH,5m,1363.70,1363.90,1362.10,1362.40,27507,1786699868941-0,md:candles:5m,1786699880291
1786700099999,HCLTECH,5m,1361.90,1362.70,1361.10,1361.10,37438,1786700165818-0,md:candles:5m,1786700170829
1786700399999,HCLTECH,5m,1361.40,1361.40,1360.60,1361.00,18791,1786700465715-0,md:candles:5m,1786700471362
1786700699999,HCLTECH,5m,1361.10,1363.40,1361.00,1361.30,40784,1786701006782-0,md:candles:5m,1786701013188
1786700999999,HCLTECH,5m,1360.80,1360.80,1360.80,1360.80,140,1786701069228-0,md:candles:5m,1786701080800
1786701299999,HCLTECH,5m,1360.80,1360.80,1360.80,1360.80,47997,1786701381080-0,md:candles:5m,1786701390103
