ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,HDFCAMC,10m,2478.10,2479.50,2476.40,2478.70,57438,1786699265691-0,md:candles:10m,1786699276624
1786699799999,HDFCAMC,10m,2477.90,2486.80,2477.20,2480.00,207158,1786699866042-0,md:candles:10m,1786699876284
1786700399999,HDFCAMC,10m,2482.00,2482.40,2478.80,2479.40,51901,1786700465412-0,md:candles:10m,1786700471301
1786700999999,HDFCAMC,10m,2480.50,2483.40,2478.00,2481.00,99130,1786701068624-0,md:candles:10m,1786701070102
1786701599999,HDFCAMC,10m,2481.00,2485.00,2481.00,2485.00,1559332,1786702888029-0,md:candles:10m,1786702895644
1786702800000,HDFCAMC,1d,2478.10,2486.80,2476.40,2485.00,1974959,1786702805839-0,md:candles:1d,1786702807233
1786698959999,HDFCAMC,1m,2478.10,2479.50,2478.10,2479.00,723,1786698965609-0,md:candles:1m,1786698974630
1786699019999,HDFCAMC,1m,2478.20,2478.80,2477.10,2477.10,1285,1786699028245-0,md:candles:1m,1786699028548
1786699079999,HDFCAMC,1m,2477.10,2477.80,2476.50,2476.50,437,1786699087365-0,md:candles:1m,1786699094422
1786699139999,HDFCAMC,1m,2476.90,2477.60,2476.50,2476.60,3566,1786699152319-0,md:candles:1m,1786699158101
1786699199999,HDFCAMC,1m,2476.60,2478.70,2476.40,2478.70,51427,1786699206014-0,md:candles:1m,1786699208603
1786699259999,HDFCAMC,1m,2477.90,2479.90,2477.20,2479.00,19063,1786699265663-0,md:candles:1m,1786699273120
1786699319999,HDFCAMC,1m,2478.70,2479.40,2478.70,2479.40,660,1786699325291-0,md:candles:1m,1786699326703
1786699379999,HDFCAMC,1m,2479.30,2484.30,2479.30,2482.00,85348,1786699387565-0,md:candles:1m,1786699391745
1786699439999,HDFCAMC,1m,2480.60,2486.00,2480.60,2485.90,24874,1786699445835-0,md:candles:1m,1786699457822
1786699499999,HDFCAMC,1m,2485.90,2485.90,2479.70,2481.90,6579,1786699506032-0,md:candles:1m,1786699511111
1786699559999,HDFCAMC,1m,2481.80,2485.00,2480.10,2484.90,20863,1786699565381-0,md:candles:1m,1786699576085
1786699619999,HDFCAMC,1m,2484.60,2486.20,2483.30,2485.80,6868,1786699625511-0,md:candles:1m,1786699627296
1786699679999,HDFCAMC,1m,2485.60,2486.80,2484.10,2485.00,15091,1786699685395-0,md:candles:1m,1786699689702
1786699739999,HDFCAMC,1m,2485.00,2486.20,2480.90,2480.90,24788,1786699745428-0,md:candles:1m,1786699754023
1786699799999,HDFCAMC,1m,2480.90,2481.70,2480.00,2480.00,3024,1786699806025-0,md:candles:1m,1786699807941
1786699859999,HDFCAMC,1m,2482.00,2482.40,2480.00,2481.50,7144,1786699866027-0,md:candles:1m,1786699871843
1786699919999,HDFCAMC,1m,2481.50,2481.80,2481.00,2481.60,1808,1786699927572-0,md:candles:1m,1786699936026
1786699979999,HDFCAMC,1m,2481.00,2481.20,2480.00,2480.00,2210,1786699986164-0,md:candles:1m,1786699989617
1786700039999,HDFCAMC,1m,2480.50,2482.20,2480.50,2481.10,5610,1786700046397-0,md:candles:1m,1786700051805
1786700099999,HDFCAMC,1m,2481.10,2481.80,2480.00,2481.40,4400,1786700106156-0,md:candles:1m,1786700118244
1786700159999,HDFCAMC,1m,2481.00,2481.00,2479.00,2480.90,12138,1786700168204-0,md:candles:1m,1786700171522
1786700219999,HDFCAMC,1m,2480.80,2480.80,2479.90,2480.00,3705,1786700227783-0,md:candles:1m,1786700233604
1786700279999,HDFCAMC,1m,2480.20,2480.70,2480.00,2480.00,3962,1786700289804-0,md:candles:1m,1786700298079
1786700339999,HDFCAMC,1m,2480.60,2480.60,2479.30,2479.80,3799,1786700350379-0,md:candles:1m,1786700351053
1786700399999,HDFCAMC,1m,2479.20,2481.00,2478.80,2479.40,7125,1786700408602-0,md:candles:1m,1786700412580
1786700459999,HDFCAMC,1m,2480.50,2482.20,2478.90,2482.20,60925,1786700465398-0,md:candles:1m,1786700476026
1786700519999,HDFCAMC,1m,2481.40,2483.40,2480.50,2480.50,9087,1786700525297-0,md:candles:1m,1786700529452
1786700579999,HDFCAMC,1m,2480.50,2481.20,2478.50,2478.50,13221,1786700585492-0,md:candles:1m,1786700591306
1786700639999,HDFCAMC,1m,2478.50,2480.60,2478.00,2480.40,11800,1786700645374-0,md:candles:1m,1786700653590
1786700699999,HDFCAMC,1m,2480.00,2482.00,2479.00,2481.00,4075,1786700705482-0,md:candles:1m,1786700715149
1786700759999,HDFCAMC,1m,2481.00,2481.00,2481.00,2481.00,22,1786701006000-0,md:candles:1m,1786701010481
1786701059999,HDFCAMC,1m,2481.00,2481.00,2481.00,2481.00,43,1786701068617-0,md:candles:1m,1786701071890
1786701119999,HDFCAMC,1m,2481.00,2481.00,2481.00,2481.00,79,1786701149506-0,md:candles:1m,1786701161014
1786701179999,HDFCAMC,1m,2481.00,2481.00,2481.00,2481.00,92,1786701185859-0,md:candles:1m,1786701191510
1786701239999,HDFCAMC,1m,2481.00,2481.00,2481.00,2481.00,1,1786701277834-0,md:candles:1m,1786701281929
1786701299999,HDFCAMC,1m,2481.00,2481.00,2481.00,2481.00,214,1786701314482-0,md:candles:1m,1786701324284
1786701359999,HDFCAMC,1m,2481.00,2481.00,2481.00,2481.00,80,1786701406328-0,md:candles:1m,1786701412435
1786701419999,HDFCAMC,1m,2481.00,2481.00,2481.00,2481.00,1,1786701426482-0,md:candles:1m,1786701432770
1786701479999,HDFCAMC,1m,2481.00,2481.00,2481.00,2481.00,1261,1786701489559-0,md:candles:1m,1786701496799
1786701539999,HDFCAMC,1m,2481.00,2485.00,2481.00,2485.00,1557561,1786702805838-0,md:candles:1m,1786702808525
1786702859999,HDFCAMC,1m,2485.00,2485.00,2485.00,2485.00,51,1786702888026-0,md:candles:1m,1786702895641
1786702919999,HDFCAMC,1m,2485.00,2485.00,2485.00,2485.00,301,1786702947397-0,md:candles:1m,1786702947398
1786702979999,HDFCAMC,1m,2485.00,2485.00,2485.00,2485.00,1,1786703104274-0,md:candles:1m,1786703108172
1786703099999,HDFCAMC,1m,2485.00,2485.00,2485.00,2485.00,6,1786703220096-0,md:candles:1m,1786703228996
1786699799999,HDFCAMC,30m,2478.10,2486.80,2476.40,2480.00,264596,1786699866043-0,md:candles:30m,1786699872287
1786701599999,HDFCAMC,30m,2482.00,2485.00,2478.00,2485.00,1710363,1786702888030-0,md:candles:30m,1786702894033
1786699199999,HDFCAMC,5m,2478.10,2479.50,2476.40,2478.70,57438,1786699265690-0,md:candles:5m,1786699276624
1786699499999,HDFCAMC,5m,2477.90,2486.00,2477.20,2481.90,136524,1786699565391-0,md:candles:5m,1786699570970
1786699799999,HDFCAMC,5m,2481.80,2486.80,2480.00,2480.00,70634,1786699866040-0,md:candles:5m,1786699868444
1786700099999,HDFCAMC,5m,2482.00,2482.40,2480.00,2481.40,21172,1786700168210-0,md:candles:5m,1786700170829
1786700399999,HDFCAMC,5m,2481.00,2481.00,2478.80,2479.40,30729,1786700465411-0,md:candles:5m,1786700471362
1786700699999,HDFCAMC,5m,2480.50,2483.40,2478.00,2481.00,99108,1786701006007-0,md:candles:5m,1786701013188
1786700999999,HDFCAMC,5m,2481.00,2481.00,2481.00,2481.00,22,1786701068622-0,md:candles:5m,1786701080800
1786701299999,HDFCAMC,5m,2481.00,2481.00,2481.00,2481.00,429,1786701406330-0,md:candles:5m,1786701412438
1786701599999,HDFCAMC,5m,2481.00,2485.00,2481.00,2485.00,1558903,1786702888028-0,md:candles:5m,1786702895643
