ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,HDFCBANK,10m,726.80,726.95,726.60,726.75,226546,1786699265393-0,md:candles:10m,1786699265610
1786699799999,HDFCBANK,10m,726.70,727.15,726.50,726.55,580771,1786699865562-0,md:candles:10m,1786699876284
1786700399999,HDFCBANK,10m,726.50,726.65,726.25,726.50,900505,1786700471494-0,md:candles:10m,1786700482979
1786700999999,HDFCBANK,10m,726.45,727.00,726.00,727.00,571178,1786701068302-0,md:candles:10m,1786701070102
1786701599999,HDFCBANK,10m,727.00,727.00,727.00,727.00,19807955,1786702866701-0,md:candles:10m,1786702875014
1786702800000,HDFCBANK,1d,726.80,727.15,726.00,727.00,22086955,1786702805646-0,md:candles:1d,1786702807233
1786698959999,HDFCBANK,1m,726.80,726.95,726.80,726.90,24581,1786698965588-0,md:candles:1m,1786698974630
1786699019999,HDFCBANK,1m,726.95,726.95,726.75,726.90,66323,1786699025906-0,md:candles:1m,1786699028548
1786699079999,HDFCBANK,1m,726.90,726.90,726.70,726.75,50169,1786699085727-0,md:candles:1m,1786699094422
1786699139999,HDFCBANK,1m,726.75,726.80,726.60,726.70,40160,1786699146689-0,md:candles:1m,1786699146984
1786699199999,HDFCBANK,1m,726.65,726.75,726.60,726.75,45313,1786699205488-0,md:candles:1m,1786699208603
1786699259999,HDFCBANK,1m,726.70,726.95,726.70,726.90,73516,1786699265387-0,md:candles:1m,1786699273120
1786699319999,HDFCBANK,1m,726.85,727.00,726.80,727.00,61694,1786699325975-0,md:candles:1m,1786699326703
1786699379999,HDFCBANK,1m,727.00,727.00,726.90,727.00,49619,1786699385606-0,md:candles:1m,1786699391745
1786699439999,HDFCBANK,1m,727.00,727.00,726.85,726.90,53152,1786699445618-0,md:candles:1m,1786699457822
1786699499999,HDFCBANK,1m,726.95,727.00,726.80,727.00,46832,1786699505582-0,md:candles:1m,1786699511111
1786699559999,HDFCBANK,1m,727.00,727.15,726.90,726.90,67135,1786699566951-0,md:candles:1m,1786699576085
