ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,HDFCLIFE,10m,539.20,539.30,538.75,538.90,13125,1786699266790-0,md:candles:10m,1786699276624
1786699799999,HDFCLIFE,10m,538.55,539.00,538.50,538.80,23254,1786699868170-0,md:candles:10m,1786699876284
1786700399999,HDFCLIFE,10m,538.65,539.00,537.55,537.85,44276,1786700471817-0,md:candles:10m,1786700482979
1786700999999,HDFCLIFE,10m,537.90,538.20,537.00,537.00,49673,1786701131272-0,md:candles:10m,1786701137276
1786701599999,HDFCLIFE,10m,537.00,537.00,535.85,535.85,781342,1786702875517-0,md:candles:10m,1786702885431
1786702800000,HDFCLIFE,1d,539.20,539.30,535.85,535.85,911670,1786702805828-0,md:candles:1d,1786702807233
1786698959999,HDFCLIFE,1m,539.20,539.30,539.05,539.25,318,1786698965603-0,md:candles:1m,1786698974630
1786699019999,HDFCLIFE,1m,539.30,539.30,538.85,538.90,3619,1786699028181-0,md:candles:1m,1786699028548
1786699079999,HDFCLIFE,1m,538.80,538.90,538.75,538.85,730,1786699087348-0,md:candles:1m,1786699094422
1786699139999,HDFCLIFE,1m,538.90,538.90,538.80,538.90,7877,1786699152196-0,md:candles:1m,1786699158101
1786699199999,HDFCLIFE,1m,538.90,539.05,538.90,538.90,581,1786699205720-0,md:candles:1m,1786699208603
1786699259999,HDFCLIFE,1m,538.55,539.00,538.55,538.85,3462,1786699266746-0,md:candles:1m,1786699273120
1786699319999,HDFCLIFE,1m,538.90,538.90,538.80,538.90,895,1786699329957-0,md:candles:1m,1786699339124
1786699379999,HDFCLIFE,1m,538.80,538.90,538.80,538.90,327,1786699387527-0,md:candles:1m,1786699391745
1786699439999,HDFCLIFE,1m,538.85,538.85,538.80,538.85,1481,1786699445845-0,md:candles:1m,1786699457822
1786699499999,HDFCLIFE,1m,538.85,538.85,538.60,538.70,1353,1786699506910-0,md:candles:1m,1786699511111
1786699559999,HDFCLIFE,1m,538.85,538.85,538.80,538.85,1287,1786699566972-0,md:candles:1m,1786699576085
1786699619999,HDFCLIFE,1m,538.75,538.75,538.50,538.75,1601,1786699626958-0,md:candles:1m,1786699627296
1786699679999,HDFCLIFE,1m,538.70,538.75,538.55,538.75,4575,1786699686992-0,md:candles:1m,1786699689702
1786699739999,HDFCLIFE,1m,538.85,538.95,538.60,538.95,5536,1786699747045-0,md:candles:1m,1786699754023
1786699799999,HDFCLIFE,1m,538.60,538.95,538.60,538.80,2737,1786699805266-0,md:candles:1m,1786699807941
1786699859999,HDFCLIFE,1m,538.65,538.90,538.65,538.90,4984,1786699868158-0,md:candles:1m,1786699871843
1786699919999,HDFCLIFE,1m,538.90,538.95,538.90,538.90,1529,1786699927550-0,md:candles:1m,1786699936026
1786699979999,HDFCLIFE,1m,538.90,539.00,538.90,539.00,2361,1786699986085-0,md:candles:1m,1786699989617
1786700039999,HDFCLIFE,1m,539.00,539.00,538.95,538.95,2466,1786700046304-0,md:candles:1m,1786700051805
1786700099999,HDFCLIFE,1m,538.95,538.95,538.70,538.80,4671,1786700109108-0,md:candles:1m,1786700118244
1786700159999,HDFCLIFE,1m,538.70,538.70,538.20,538.20,5755,1786700168188-0,md:candles:1m,1786700171522
1786700219999,HDFCLIFE,1m,538.45,538.45,538.35,538.35,5620,1786700227610-0,md:candles:1m,1786700233604
1786700279999,HDFCLIFE,1m,538.25,538.30,538.00,538.00,5052,1786700289678-0,md:candles:1m,1786700298079
1786700339999,HDFCLIFE,1m,538.05,538.10,537.70,537.90,5514,1786700349635-0,md:candles:1m,1786700351053
1786700399999,HDFCLIFE,1m,537.85,537.85,537.55,537.85,6324,1786700410415-0,md:candles:1m,1786700412580
1786700459999,HDFCLIFE,1m,537.90,538.05,537.85,538.05,8874,1786700471813-0,md:candles:1m,1786700476026
1786700519999,HDFCLIFE,1m,538.05,538.05,537.90,537.95,4821,1786700526181-0,md:candles:1m,1786700529452
