ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,HEROMOTOCO,10m,5799.00,5799.50,5793.00,5795.00,2361,1786699266787-0,md:candles:10m,1786699276624
1786699799999,HEROMOTOCO,10m,5795.00,5798.00,5791.00,5795.00,6490,1786699868154-0,md:candles:10m,1786699876284
1786700399999,HEROMOTOCO,10m,5795.00,5797.50,5782.50,5786.00,15776,1786700471528-0,md:candles:10m,1786700482979
1786700999999,HEROMOTOCO,10m,5785.50,5795.00,5772.50,5775.00,19225,1786701068486-0,md:candles:10m,1786701070102
1786701599999,HEROMOTOCO,10m,5775.00,5790.00,5775.00,5790.00,502228,1786702981329-0,md:candles:10m,1786702981332
1786702806000,HEROMOTOCO,1d,5799.00,5799.50,5772.50,5790.00,546080,1786702812038-0,md:candles:1d,1786702818543
1786698959999,HEROMOTOCO,1m,5799.00,5799.50,5797.00,5797.50,119,1786698970429-0,md:candles:1m,1786698974630
1786699019999,HEROMOTOCO,1m,5797.50,5799.00,5797.50,5799.00,278,1786699026622-0,md:candles:1m,1786699028548
1786699079999,HEROMOTOCO,1m,5797.50,5797.50,5796.50,5797.50,479,1786699087345-0,md:candles:1m,1786699094422
1786699139999,HEROMOTOCO,1m,5797.50,5799.00,5793.00,5794.00,863,1786699146708-0,md:candles:1m,1786699146984
1786699199999,HEROMOTOCO,1m,5796.00,5797.50,5793.50,5795.00,622,1786699205710-0,md:candles:1m,1786699208603
1786699259999,HEROMOTOCO,1m,5795.00,5798.00,5794.50,5794.50,1100,1786699266744-0,md:candles:1m,1786699273120
1786699319999,HEROMOTOCO,1m,5793.00,5796.50,5793.00,5796.50,705,1786699325276-0,md:candles:1m,1786699326703
1786699379999,HEROMOTOCO,1m,5795.50,5797.00,5791.00,5792.50,837,1786699387524-0,md:candles:1m,1786699391745
1786699439999,HEROMOTOCO,1m,5794.00,5794.50,5793.00,5793.50,331,1786699445842-0,md:candles:1m,1786699457822
1786699499999,HEROMOTOCO,1m,5793.50,5797.00,5793.00,5794.00,910,1786699511630-0,md:candles:1m,1786699523104
1786699559999,HEROMOTOCO,1m,5795.00,5797.00,5794.50,5794.50,286,1786699567024-0,md:candles:1m,1786699576085
1786699619999,HEROMOTOCO,1m,5794.50,5795.00,5794.00,5794.00,599,1786699626947-0,md:candles:1m,1786699627296
1786699679999,HEROMOTOCO,1m,5794.00,5796.00,5794.00,5796.00,482,1786699686989-0,md:candles:1m,1786699689702
1786699739999,HEROMOTOCO,1m,5795.00,5797.00,5795.00,5795.00,622,1786699747485-0,md:candles:1m,1786699754023
1786699799999,HEROMOTOCO,1m,5795.00,5795.50,5795.00,5795.00,618,1786699805263-0,md:candles:1m,1786699807941
1786699859999,HEROMOTOCO,1m,5795.00,5797.00,5793.50,5796.50,1882,1786699868150-0,md:candles:1m,1786699871843
1786699919999,HEROMOTOCO,1m,5797.00,5797.00,5796.50,5797.00,523,1786699927539-0,md:candles:1m,1786699936026
1786699979999,HEROMOTOCO,1m,5797.00,5797.50,5797.00,5797.50,650,1786699985433-0,md:candles:1m,1786699989617
1786700039999,HEROMOTOCO,1m,5797.50,5797.50,5797.00,5797.00,1076,1786700046293-0,md:candles:1m,1786700051805
1786700099999,HEROMOTOCO,1m,5797.00,5797.00,5791.00,5792.00,2012,1786700109102-0,md:candles:1m,1786700118244
1786700159999,HEROMOTOCO,1m,5792.50,5794.00,5791.50,5794.00,1813,1786700172223-0,md:candles:1m,1786700182927
1786700219999,HEROMOTOCO,1m,5794.00,5794.00,5786.50,5786.50,2062,1786700227605-0,md:candles:1m,1786700233604
1786700279999,HEROMOTOCO,1m,5788.50,5788.50,5785.00,5785.50,1877,1786700289670-0,md:candles:1m,1786700298079
1786700339999,HEROMOTOCO,1m,5786.50,5786.50,5783.50,5783.50,1597,1786700349553-0,md:candles:1m,1786700351053
1786700399999,HEROMOTOCO,1m,5785.00,5786.00,5782.50,5786.00,2284,1786700408589-0,md:candles:1m,1786700412580
1786700459999,HEROMOTOCO,1m,5785.50,5792.00,5785.00,5792.00,2030,1786700471473-0,md:candles:1m,1786700476026
1786700519999,HEROMOTOCO,1m,5794.00,5795.00,5793.00,5794.00,1675,1786700526138-0,md:candles:1m,1786700529452
1786700579999,HEROMOTOCO,1m,5793.50,5793.50,5784.50,5786.00,10605,1786700589571-0,md:candles:1m,1786700591306
1786700639999,HEROMOTOCO,1m,5785.00,5785.00,5776.00,5779.00,2611,1786700646457-0,md:candles:1m,1786700653590
1786700699999,HEROMOTOCO,1m,5777.50,5779.00,5772.50,5775.00,2302,1786700705631-0,md:candles:1m,1786700715149
1786700759999,HEROMOTOCO,1m,5775.00,5775.00,5775.00,5775.00,2,1786701005882-0,md:candles:1m,1786701010481
1786701059999,HEROMOTOCO,1m,5775.00,5775.00,5775.00,5775.00,358,1786701068481-0,md:candles:1m,1786701071890
