ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,HFCL,10m,224.80,224.94,224.07,224.11,127579,1786699266785-0,md:candles:10m,1786699276624
1786699799999,HFCL,10m,224.18,224.70,223.31,223.58,278081,1786699865554-0,md:candles:10m,1786699876284
1786700399999,HFCL,10m,223.59,224.10,223.35,223.76,517347,1786700465446-0,md:candles:10m,1786700471301
1786700999999,HFCL,10m,223.76,223.86,222.85,222.85,412403,1786701067606-0,md:candles:10m,1786701070102
1786701599999,HFCL,10m,222.89,223.45,222.18,222.76,1262575,1786702805749-0,md:candles:10m,1786702813638
1786702199999,HFCL,10m,223.11,223.11,223.11,223.11,0,1786702925196-0,md:candles:10m,1786702927372
1786701669000,HFCL,1d,224.80,224.94,222.18,222.76,2597985,1786701674835-0,md:candles:1d,1786701677122
1786698959999,HFCL,1m,224.80,224.94,224.72,224.90,52168,1786698965439-0,md:candles:1m,1786698974630
1786699019999,HFCL,1m,224.90,224.90,224.20,224.30,33747,1786699025648-0,md:candles:1m,1786699028548
1786699079999,HFCL,1m,224.30,224.30,224.11,224.13,14845,1786699085642-0,md:candles:1m,1786699094422
1786699139999,HFCL,1m,224.20,224.26,224.07,224.07,19932,1786699146707-0,md:candles:1m,1786699146984
1786699199999,HFCL,1m,224.10,224.20,224.10,224.11,6887,1786699205708-0,md:candles:1m,1786699208603
1786699259999,HFCL,1m,224.18,224.18,224.10,224.17,10897,1786699266742-0,md:candles:1m,1786699273120
1786699319999,HFCL,1m,224.15,224.20,224.10,224.20,15195,1786699329952-0,md:candles:1m,1786699339124
1786699379999,HFCL,1m,224.15,224.20,223.50,224.10,35966,1786699387523-0,md:candles:1m,1786699391745
1786699439999,HFCL,1m,224.10,224.70,224.10,224.66,41097,1786699446137-0,md:candles:1m,1786699457822
1786699499999,HFCL,1m,224.60,224.62,224.11,224.25,39197,1786699505164-0,md:candles:1m,1786699511111
1786699559999,HFCL,1m,224.23,224.23,223.98,224.00,31213,1786699566969-0,md:candles:1m,1786699576085
1786699619999,HFCL,1m,223.99,223.99,223.80,223.95,20780,1786699626942-0,md:candles:1m,1786699627296
1786699679999,HFCL,1m,223.68,223.75,223.53,223.53,19552,1786699686987-0,md:candles:1m,1786699689702
1786699739999,HFCL,1m,223.64,223.64,223.50,223.51,14440,1786699747042-0,md:candles:1m,1786699754023
1786699799999,HFCL,1m,223.59,223.59,223.31,223.58,49744,1786699805261-0,md:candles:1m,1786699807941
