ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,HINDALCO,10m,1035.20,1035.50,1034.10,1034.20,49326,1786699266800-0,md:candles:10m,1786699276624
1786699799999,HINDALCO,10m,1033.65,1035.20,1033.00,1035.00,159505,1786699868238-0,md:candles:10m,1786699876284
1786700399999,HINDALCO,10m,1035.05,1035.95,1034.75,1035.20,190688,1786700471927-0,md:candles:10m,1786700482979
1786700999999,HINDALCO,10m,1035.05,1036.10,1034.95,1036.00,139191,1786701068615-0,md:candles:10m,1786701070102
1786701599999,HINDALCO,10m,1036.00,1036.00,1029.50,1029.50,3361897,1786702903663-0,md:candles:10m,1786702906259
1786702800000,HINDALCO,1d,1035.20,1036.10,1029.50,1029.50,3900607,1786702805836-0,md:candles:1d,1786702807233
1786698959999,HINDALCO,1m,1035.20,1035.50,1035.10,1035.15,1526,1786698970563-0,md:candles:1m,1786698974630
1786699019999,HINDALCO,1m,1035.15,1035.15,1034.50,1034.55,8629,1786699025914-0,md:candles:1m,1786699028548
1786699079999,HINDALCO,1m,1034.55,1034.70,1034.10,1034.55,8975,1786699087363-0,md:candles:1m,1786699094422
1786699139999,HINDALCO,1m,1034.40,1034.50,1034.35,1034.40,17964,1786699152318-0,md:candles:1m,1786699158101
1786699199999,HINDALCO,1m,1034.40,1034.40,1034.20,1034.20,12232,1786699206009-0,md:candles:1m,1786699208603
1786699259999,HINDALCO,1m,1033.65,1034.15,1033.50,1033.70,22862,1786699266760-0,md:candles:1m,1786699273120
1786699319999,HINDALCO,1m,1033.50,1034.50,1033.35,1034.25,27666,1786699325839-0,md:candles:1m,1786699326703
1786699379999,HINDALCO,1m,1034.30,1034.35,1033.80,1034.05,8620,1786699387564-0,md:candles:1m,1786699391745
1786699439999,HINDALCO,1m,1034.15,1034.15,1033.35,1033.40,7645,1786699445790-0,md:candles:1m,1786699457822
1786699499999,HINDALCO,1m,1033.45,1034.00,1033.00,1033.65,11969,1786699506138-0,md:candles:1m,1786699511111
1786699559999,HINDALCO,1m,1033.65,1034.65,1033.20,1034.50,30836,1786699565559-0,md:candles:1m,1786699576085
1786699619999,HINDALCO,1m,1034.20,1035.05,1034.20,1035.00,20958,1786699625936-0,md:candles:1m,1786699627296
1786699679999,HINDALCO,1m,1035.10,1035.10,1035.00,1035.00,4040,1786699685585-0,md:candles:1m,1786699689702
1786699739999,HINDALCO,1m,1035.10,1035.20,1035.05,1035.05,11158,1786699747051-0,md:candles:1m,1786699754023
1786699799999,HINDALCO,1m,1035.00,1035.05,1035.00,1035.00,13751,1786699805358-0,md:candles:1m,1786699807941
1786699859999,HINDALCO,1m,1035.05,1035.10,1035.00,1035.05,15085,1786699868234-0,md:candles:1m,1786699871843
1786699919999,HINDALCO,1m,1035.05,1035.35,1035.00,1035.35,13050,1786699927571-0,md:candles:1m,1786699936026
1786699979999,HINDALCO,1m,1035.05,1035.50,1035.05,1035.45,9685,1786699986161-0,md:candles:1m,1786699989617
1786700039999,HINDALCO,1m,1035.50,1035.95,1035.40,1035.55,19830,1786700046395-0,md:candles:1m,1786700051805
1786700099999,HINDALCO,1m,1035.60,1035.65,1035.00,1035.05,35461,1786700109239-0,md:candles:1m,1786700118244
1786700159999,HINDALCO,1m,1035.10,1035.30,1034.75,1035.00,10702,1786700165790-0,md:candles:1m,1786700171522
1786700219999,HINDALCO,1m,1035.00,1035.25,1035.00,1035.10,36439,1786700227779-0,md:candles:1m,1786700233604
1786700279999,HINDALCO,1m,1035.00,1035.05,1035.00,1035.05,9427,1786700289802-0,md:candles:1m,1786700298079
1786700339999,HINDALCO,1m,1035.00,1035.05,1035.00,1035.05,9171,1786700349659-0,md:candles:1m,1786700351053
1786700399999,HINDALCO,1m,1035.00,1035.65,1035.00,1035.20,31838,1786700408600-0,md:candles:1m,1786700412580
1786700459999,HINDALCO,1m,1035.05,1035.10,1034.95,1035.05,37514,1786700471921-0,md:candles:1m,1786700476026
1786700519999,HINDALCO,1m,1035.05,1035.05,1035.00,1035.00,16485,1786700526314-0,md:candles:1m,1786700529452
1786700579999,HINDALCO,1m,1035.05,1035.65,1035.00,1035.65,36781,1786700589600-0,md:candles:1m,1786700591306
1786700639999,HINDALCO,1m,1035.05,1036.10,1035.00,1036.00,28648,1786700650884-0,md:candles:1m,1786700653590
1786700699999,HINDALCO,1m,1036.00,1036.05,1036.00,1036.05,19526,1786700707159-0,md:candles:1m,1786700715149
1786700759999,HINDALCO,1m,1036.00,1036.00,1036.00,1036.00,237,1786701005996-0,md:candles:1m,1786701010481
1786701059999,HINDALCO,1m,1036.00,1036.00,1036.00,1036.00,48071,1786701068612-0,md:candles:1m,1786701071890
1786701119999,HINDALCO,1m,1036.00,1036.00,1036.00,1036.00,637,1786701137501-0,md:candles:1m,1786701149293
1786701179999,HINDALCO,1m,1036.00,1036.00,1036.00,1036.00,1716,1786701185848-0,md:candles:1m,1786701191510
1786701239999,HINDALCO,1m,1036.00,1036.00,1036.00,1036.00,256,1786701245785-0,md:candles:1m,1786701248276
1786701299999,HINDALCO,1m,1036.00,1036.00,1036.00,1036.00,1007,1786701314481-0,md:candles:1m,1786701324284
1786701359999,HINDALCO,1m,1036.00,1036.00,1036.00,1036.00,40,1786701374054-0,md:candles:1m,1786701379364
1786701419999,HINDALCO,1m,1036.00,1036.00,1036.00,1036.00,0,1786701446482-0,md:candles:1m,1786701454406
1786701479999,HINDALCO,1m,1036.00,1036.00,1036.00,1036.00,25,1786701497578-0,md:candles:1m,1786701507390
1786701539999,HINDALCO,1m,1036.00,1036.00,1029.50,1029.50,3310145,1786702805835-0,md:candles:1m,1786702808525
1786702859999,HINDALCO,1m,1029.50,1029.50,1029.50,1029.50,102,1786702903656-0,md:candles:1m,1786702906259
1786702919999,HINDALCO,1m,1029.50,1029.50,1029.50,1029.50,2,1786702969617-0,md:candles:1m,1786702979538
1786702979999,HINDALCO,1m,1029.50,1029.50,1029.50,1029.50,25,1786703020673-0,md:candles:1m,1786703021767
1786703039999,HINDALCO,1m,1029.50,1029.50,1029.50,1029.50,1,1786703110582-0,md:candles:1m,1786703118294
1786699799999,HINDALCO,30m,1035.20,1035.50,1033.00,1035.00,208831,1786699868240-0,md:candles:30m,1786699872287
1786701599999,HINDALCO,30m,1035.05,1036.10,1029.50,1029.50,3691776,1786702903664-0,md:candles:30m,1786702905661
1786699199999,HINDALCO,5m,1035.20,1035.50,1034.10,1034.20,49326,1786699266799-0,md:candles:5m,1786699276624
1786699499999,HINDALCO,5m,1033.65,1034.50,1033.00,1033.65,78762,1786699565563-0,md:candles:5m,1786699570970
1786699799999,HINDALCO,5m,1033.65,1035.20,1033.20,1035.00,80743,1786699868236-0,md:candles:5m,1786699868444
1786700099999,HINDALCO,5m,1035.05,1035.95,1035.00,1035.05,93111,1786700165792-0,md:candles:5m,1786700170829
1786700399999,HINDALCO,5m,1035.10,1035.65,1034.75,1035.20,97577,1786700471925-0,md:candles:5m,1786700482979
1786700699999,HINDALCO,5m,1035.05,1036.10,1034.95,1036.05,138954,1786701006006-0,md:candles:5m,1786701013188
1786700999999,HINDALCO,5m,1036.00,1036.00,1036.00,1036.00,237,1786701068614-0,md:candles:5m,1786701080800
1786701299999,HINDALCO,5m,1036.00,1036.00,1036.00,1036.00,51687,1786701374056-0,md:candles:5m,1786701379364
1786701599999,HINDALCO,5m,1036.00,1036.00,1029.50,1029.50,3310210,1786702903661-0,md:candles:5m,1786702906259
