ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,HINDPETRO,10m,371.90,371.90,371.60,371.65,57261,1786699271115-0,md:candles:10m,1786699276624
1786699799999,HINDPETRO,10m,371.70,371.90,371.55,371.70,290441,1786699868645-0,md:candles:10m,1786699876284
1786700399999,HINDPETRO,10m,371.70,371.80,371.00,371.65,521735,1786700465549-0,md:candles:10m,1786700471301
1786700999999,HINDPETRO,10m,371.60,372.50,371.55,372.45,480906,1786701068984-0,md:candles:10m,1786701070102
1786701599999,HINDPETRO,10m,372.45,373.50,372.45,373.50,7955667,1786702883830-0,md:candles:10m,1786702885431
1786702800000,HINDPETRO,1d,371.90,373.50,371.00,373.50,9306010,1786702806125-0,md:candles:1d,1786702807233
1786698959999,HINDPETRO,1m,371.90,371.90,371.90,371.90,2187,1786698970906-0,md:candles:1m,1786698974630
1786699019999,HINDPETRO,1m,371.90,371.90,371.80,371.80,9076,1786699028712-0,md:candles:1m,1786699041361
1786699079999,HINDPETRO,1m,371.80,371.80,371.60,371.70,27192,1786699087634-0,md:candles:1m,1786699094422
1786699139999,HINDPETRO,1m,371.70,371.70,371.60,371.70,8630,1786699152665-0,md:candles:1m,1786699158101
1786699199999,HINDPETRO,1m,371.70,371.70,371.60,371.65,10176,1786699206092-0,md:candles:1m,1786699208603
1786699259999,HINDPETRO,1m,371.70,371.70,371.55,371.60,27470,1786699271111-0,md:candles:1m,1786699273120
1786699319999,HINDPETRO,1m,371.80,371.85,371.75,371.75,28669,1786699326751-0,md:candles:1m,1786699339124
1786699379999,HINDPETRO,1m,371.85,371.85,371.80,371.85,5833,1786699387683-0,md:candles:1m,1786699391745
1786699439999,HINDPETRO,1m,371.85,371.85,371.65,371.80,65497,1786699446176-0,md:candles:1m,1786699457822
1786699499999,HINDPETRO,1m,371.70,371.90,371.70,371.90,21873,1786699508055-0,md:candles:1m,1786699511111
1786699559999,HINDPETRO,1m,371.85,371.90,371.80,371.90,6885,1786699568076-0,md:candles:1m,1786699576085
1786699619999,HINDPETRO,1m,371.85,371.85,371.70,371.85,7208,1786699627398-0,md:candles:1m,1786699639246
1786699679999,HINDPETRO,1m,371.85,371.90,371.60,371.85,57604,1786699687938-0,md:candles:1m,1786699689702
1786699739999,HINDPETRO,1m,371.90,371.90,371.55,371.70,52051,1786699747911-0,md:candles:1m,1786699754023
1786699799999,HINDPETRO,1m,371.75,371.75,371.60,371.70,17351,1786699805485-0,md:candles:1m,1786699807941
1786699859999,HINDPETRO,1m,371.70,371.80,371.55,371.80,38978,1786699868641-0,md:candles:1m,1786699871843
1786699919999,HINDPETRO,1m,371.55,371.80,371.55,371.75,40765,1786699925615-0,md:candles:1m,1786699936026
1786699979999,HINDPETRO,1m,371.70,371.75,371.50,371.60,25959,1786699986126-0,md:candles:1m,1786699989617
1786700039999,HINDPETRO,1m,371.65,371.75,371.50,371.60,35391,1786700046797-0,md:candles:1m,1786700051805
1786700099999,HINDPETRO,1m,371.70,371.75,371.40,371.60,37378,1786700105752-0,md:candles:1m,1786700105816
1786700159999,HINDPETRO,1m,371.55,371.60,371.50,371.55,49836,1786700165535-0,md:candles:1m,1786700171522
1786700219999,HINDPETRO,1m,371.55,371.55,371.15,371.20,94930,1786700228545-0,md:candles:1m,1786700233604
1786700279999,HINDPETRO,1m,371.05,371.70,371.00,371.60,144910,1786700285167-0,md:candles:1m,1786700286220
1786700339999,HINDPETRO,1m,371.60,371.65,371.30,371.55,35079,1786700345540-0,md:candles:1m,1786700351053
1786700399999,HINDPETRO,1m,371.50,371.65,371.35,371.65,18509,1786700409357-0,md:candles:1m,1786700412580
1786700459999,HINDPETRO,1m,371.60,371.75,371.55,371.75,38676,1786700465539-0,md:candles:1m,1786700476026
1786700519999,HINDPETRO,1m,371.60,372.10,371.55,372.10,137682,1786700526677-0,md:candles:1m,1786700529452
1786700579999,HINDPETRO,1m,372.10,372.20,371.80,372.00,162002,1786700591497-0,md:candles:1m,1786700602905
1786700639999,HINDPETRO,1m,372.15,372.45,371.95,372.10,59664,1786700646500-0,md:candles:1m,1786700653590
1786700699999,HINDPETRO,1m,372.30,372.50,372.00,372.50,82750,1786700707541-0,md:candles:1m,1786700715149
1786700759999,HINDPETRO,1m,372.45,372.45,372.45,372.45,132,1786701006691-0,md:candles:1m,1786701010481
1786701059999,HINDPETRO,1m,372.45,372.45,372.45,372.45,20751,1786701068981-0,md:candles:1m,1786701071890
1786701119999,HINDPETRO,1m,372.45,372.45,372.45,372.45,689,1786701125725-0,md:candles:1m,1786701126761
1786701179999,HINDPETRO,1m,372.45,372.45,372.45,372.45,3447,1786701185996-0,md:candles:1m,1786701191510
1786701239999,HINDPETRO,1m,372.45,372.45,372.45,372.45,3492,1786701246082-0,md:candles:1m,1786701248276
1786701299999,HINDPETRO,1m,372.45,372.45,372.45,372.45,3772,1786701308170-0,md:candles:1m,1786701313567
1786701359999,HINDPETRO,1m,372.45,372.45,372.45,372.45,34553,1786701367944-0,md:candles:1m,1786701367943
1786701419999,HINDPETRO,1m,372.45,372.45,372.45,372.45,64575,1786701426959-0,md:candles:1m,1786701432770
1786701479999,HINDPETRO,1m,372.45,372.45,372.45,372.45,14504,1786701489962-0,md:candles:1m,1786701496799
1786701539999,HINDPETRO,1m,372.45,373.50,372.45,373.50,7809884,1786702806122-0,md:candles:1m,1786702808525
1786702859999,HINDPETRO,1m,373.50,373.50,373.50,373.50,6963,1786702883825-0,md:candles:1m,1786702884923
1786702919999,HINDPETRO,1m,373.50,373.50,373.50,373.50,300,1786702969415-0,md:candles:1m,1786702979538
1786702979999,HINDPETRO,1m,373.50,373.50,373.50,373.50,1507,1786703076043-0,md:candles:1m,1786703076031
1786703099999,HINDPETRO,1m,373.50,373.50,373.50,373.50,311,1786703201991-0,md:candles:1m,1786703206602
1786703219999,HINDPETRO,1m,373.50,373.50,373.50,373.50,10,1786703243906-0,md:candles:1m,1786703250920
1786703279999,HINDPETRO,1m,373.50,373.50,373.50,373.50,3050,1786703316405-0,md:candles:1m,1786703325910
1786703339999,HINDPETRO,1m,373.50,373.50,373.50,373.50,105,1786703368169-0,md:candles:1m,1786703368956
1786699799999,HINDPETRO,30m,371.90,371.90,371.55,371.70,347702,1786699868646-0,md:candles:30m,1786699872287
1786701599999,HINDPETRO,30m,371.70,373.50,371.00,373.50,8958308,1786702883833-0,md:candles:30m,1786702894033
1786699199999,HINDPETRO,5m,371.90,371.90,371.60,371.65,57261,1786699271113-0,md:candles:5m,1786699276624
