ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,HINDUNILVR,10m,2069.80,2071.00,2069.60,2070.20,7174,1786699266796-0,md:candles:10m,1786699276624
1786699799999,HINDUNILVR,10m,2070.20,2075.60,2070.20,2071.90,87148,1786699868175-0,md:candles:10m,1786699876284
1786700399999,HINDUNILVR,10m,2072.00,2082.10,2071.80,2080.50,303446,1786700471540-0,md:candles:10m,1786700482979
1786700999999,HINDUNILVR,10m,2081.30,2082.00,2072.10,2072.10,104992,1786701068504-0,md:candles:10m,1786701070102
1786701599999,HINDUNILVR,10m,2072.10,2077.00,2072.10,2077.00,1118408,1786702973125-0,md:candles:10m,1786702981332
1786702806000,HINDUNILVR,1d,2069.80,2082.10,2069.60,2077.00,1621168,1786702812048-0,md:candles:1d,1786702818543
1786698959999,HINDUNILVR,1m,2069.80,2070.30,2069.80,2070.00,323,1786698965606-0,md:candles:1m,1786698974630
1786699019999,HINDUNILVR,1m,2070.20,2070.30,2069.70,2070.30,2152,1786699026632-0,md:candles:1m,1786699028548
1786699079999,HINDUNILVR,1m,2070.40,2070.60,2070.00,2070.00,1292,1786699087353-0,md:candles:1m,1786699094422
1786699139999,HINDUNILVR,1m,2070.10,2071.00,2070.00,2070.30,1428,1786699150666-0,md:candles:1m,1786699158101
1786699199999,HINDUNILVR,1m,2069.60,2070.60,2069.60,2070.20,1979,1786699205723-0,md:candles:1m,1786699208603
1786699259999,HINDUNILVR,1m,2070.20,2071.30,2070.20,2070.80,2345,1786699266757-0,md:candles:1m,1786699273120
1786699319999,HINDUNILVR,1m,2070.90,2074.70,2070.50,2073.10,50396,1786699325830-0,md:candles:1m,1786699326703
1786699379999,HINDUNILVR,1m,2073.50,2074.40,2073.40,2074.10,12975,1786699385298-0,md:candles:1m,1786699391745
1786699439999,HINDUNILVR,1m,2074.10,2075.60,2073.00,2073.10,11662,1786699445472-0,md:candles:1m,1786699445600
1786699499999,HINDUNILVR,1m,2073.30,2073.50,2072.80,2072.80,790,1786699505382-0,md:candles:1m,1786699511111
1786699559999,HINDUNILVR,1m,2073.00,2073.20,2072.20,2072.70,1546,1786699566974-0,md:candles:1m,1786699576085
1786699619999,HINDUNILVR,1m,2072.60,2073.30,2072.60,2072.80,1570,1786699626960-0,md:candles:1m,1786699627296
1786699679999,HINDUNILVR,1m,2072.50,2072.90,2072.40,2072.90,902,1786699686998-0,md:candles:1m,1786699689702
1786699739999,HINDUNILVR,1m,2072.60,2072.80,2071.70,2071.80,3141,1786699747491-0,md:candles:1m,1786699754023
1786699799999,HINDUNILVR,1m,2071.80,2072.20,2071.70,2071.90,1821,1786699805267-0,md:candles:1m,1786699807941
1786699859999,HINDUNILVR,1m,2072.00,2072.30,2071.80,2072.30,3135,1786699868164-0,md:candles:1m,1786699871843
1786699919999,HINDUNILVR,1m,2072.50,2080.30,2072.50,2080.10,79352,1786699927554-0,md:candles:1m,1786699936026
1786699979999,HINDUNILVR,1m,2080.40,2080.50,2080.00,2080.00,111601,1786699985212-0,md:candles:1m,1786699989617
1786700039999,HINDUNILVR,1m,2080.10,2080.20,2080.00,2080.00,34923,1786700045494-0,md:candles:1m,1786700051805
1786700099999,HINDUNILVR,1m,2080.00,2082.10,2080.00,2081.30,25193,1786700109115-0,md:candles:1m,1786700118244
1786700159999,HINDUNILVR,1m,2082.10,2082.10,2080.00,2080.60,20622,1786700165795-0,md:candles:1m,1786700171522
1786700219999,HINDUNILVR,1m,2080.00,2080.80,2080.00,2080.30,7418,1786700227761-0,md:candles:1m,1786700233604
1786700279999,HINDUNILVR,1m,2080.30,2080.60,2080.10,2080.40,5419,1786700289680-0,md:candles:1m,1786700298079
1786700339999,HINDUNILVR,1m,2080.40,2081.00,2080.40,2080.70,5489,1786700349642-0,md:candles:1m,1786700351053
1786700399999,HINDUNILVR,1m,2080.50,2080.50,2080.00,2080.50,10294,1786700408596-0,md:candles:1m,1786700412580
1786700459999,HINDUNILVR,1m,2081.30,2082.00,2080.90,2081.10,15782,1786700471478-0,md:candles:1m,1786700476026
1786700519999,HINDUNILVR,1m,2081.30,2081.30,2080.50,2080.50,3754,1786700526189-0,md:candles:1m,1786700529452
1786700579999,HINDUNILVR,1m,2080.60,2081.60,2080.40,2080.60,17059,1786700589585-0,md:candles:1m,1786700591306
1786700639999,HINDUNILVR,1m,2081.40,2081.40,2080.00,2080.00,11620,1786700645611-0,md:candles:1m,1786700653590
1786700699999,HINDUNILVR,1m,2080.00,2080.10,2072.10,2072.10,56405,1786700707081-0,md:candles:1m,1786700715149
1786700759999,HINDUNILVR,1m,2072.10,2072.10,2072.10,2072.10,372,1786701005895-0,md:candles:1m,1786701010481
1786701059999,HINDUNILVR,1m,2072.10,2072.10,2072.10,2072.10,349,1786701068495-0,md:candles:1m,1786701071890
1786701119999,HINDUNILVR,1m,2072.10,2072.10,2072.10,2072.10,541,1786701149444-0,md:candles:1m,1786701161014
1786701179999,HINDUNILVR,1m,2072.10,2072.10,2072.10,2072.10,588,1786701197517-0,md:candles:1m,1786701203615
1786701239999,HINDUNILVR,1m,2072.10,2072.10,2072.10,2072.10,505,1786701245736-0,md:candles:1m,1786701248276
1786701299999,HINDUNILVR,1m,2072.10,2072.10,2072.10,2072.10,1303,1786701336596-0,md:candles:1m,1786701346604
1786701359999,HINDUNILVR,1m,2072.10,2072.10,2072.10,2072.10,234,1786701367541-0,md:candles:1m,1786701367943
1786701419999,HINDUNILVR,1m,2072.10,2072.10,2072.10,2072.10,267,1786701439901-0,md:candles:1m,1786701443578
