ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,HINDZINC,10m,563.60,563.70,563.00,563.20,27829,1786699266774-0,md:candles:10m,1786699276624
1786699799999,HINDZINC,10m,563.20,564.00,563.00,563.50,126520,1786699868061-0,md:candles:10m,1786699876284
1786700399999,HINDZINC,10m,563.65,563.90,561.50,562.25,205299,1786700471505-0,md:candles:10m,1786700482979
1786700999999,HINDZINC,10m,562.15,562.45,560.00,560.00,133522,1786701068313-0,md:candles:10m,1786701070102
1786701599999,HINDZINC,10m,560.00,561.90,560.00,561.90,4694181,1786702865404-0,md:candles:10m,1786702875014
1786702806000,HINDZINC,1d,563.60,564.00,560.00,561.90,5187351,1786702811940-0,md:candles:1d,1786702818543
1786698959999,HINDZINC,1m,563.60,563.70,563.55,563.55,528,1786698970342-0,md:candles:1m,1786698974630
1786699019999,HINDZINC,1m,563.65,563.65,563.15,563.15,4167,1786699028144-0,md:candles:1m,1786699028548
1786699079999,HINDZINC,1m,563.15,563.15,563.00,563.15,6848,1786699087305-0,md:candles:1m,1786699094422
1786699139999,HINDZINC,1m,563.20,563.35,563.10,563.25,8461,1786699146695-0,md:candles:1m,1786699146984
1786699199999,HINDZINC,1m,563.15,563.30,563.10,563.20,7825,1786699205491-0,md:candles:1m,1786699208603
1786699259999,HINDZINC,1m,563.20,563.45,563.00,563.45,7520,1786699266737-0,md:candles:1m,1786699273120
1786699319999,HINDZINC,1m,563.25,563.60,563.25,563.60,52385,1786699330279-0,md:candles:1m,1786699339124
1786699379999,HINDZINC,1m,563.80,564.00,563.60,563.75,12834,1786699387492-0,md:candles:1m,1786699391745
1786699439999,HINDZINC,1m,563.80,564.00,563.65,563.75,9091,1786699445679-0,md:candles:1m,1786699457822
1786699499999,HINDZINC,1m,563.75,563.85,563.70,563.80,4771,1786699506893-0,md:candles:1m,1786699511111
1786699559999,HINDZINC,1m,563.70,563.75,563.60,563.75,4371,1786699567374-0,md:candles:1m,1786699576085
1786699619999,HINDZINC,1m,563.80,563.80,563.65,563.65,13436,1786699626815-0,md:candles:1m,1786699627296
1786699679999,HINDZINC,1m,563.55,563.90,563.30,563.80,8635,1786699686976-0,md:candles:1m,1786699689702
1786699739999,HINDZINC,1m,563.70,563.85,563.30,563.30,8015,1786699747029-0,md:candles:1m,1786699754023
1786699799999,HINDZINC,1m,563.40,563.65,563.35,563.50,5462,1786699805167-0,md:candles:1m,1786699807941
1786699859999,HINDZINC,1m,563.65,563.65,563.15,563.20,30818,1786699868057-0,md:candles:1m,1786699871843
1786699919999,HINDZINC,1m,563.20,563.30,563.00,563.00,8919,1786699927481-0,md:candles:1m,1786699936026
1786699979999,HINDZINC,1m,563.00,563.15,562.90,562.95,15349,1786699985830-0,md:candles:1m,1786699989617
1786700039999,HINDZINC,1m,563.00,563.50,562.95,563.50,9915,1786700046113-0,md:candles:1m,1786700051805
1786700099999,HINDZINC,1m,563.45,563.65,563.25,563.50,23450,1786700109034-0,md:candles:1m,1786700118244
1786700159999,HINDZINC,1m,563.50,563.90,563.50,563.85,28310,1786700167246-0,md:candles:1m,1786700171522
1786700219999,HINDZINC,1m,563.65,563.85,562.85,562.85,27045,1786700227554-0,md:candles:1m,1786700233604
1786700279999,HINDZINC,1m,562.85,562.90,561.50,561.50,26735,1786700289504-0,md:candles:1m,1786700298079
1786700339999,HINDZINC,1m,562.05,562.35,562.05,562.05,12168,1786700349447-0,md:candles:1m,1786700351053
1786700399999,HINDZINC,1m,562.30,562.30,561.95,562.25,22590,1786700407427-0,md:candles:1m,1786700412580
1786700459999,HINDZINC,1m,562.15,562.45,562.00,562.00,17717,1786700471461-0,md:candles:1m,1786700476026
1786700519999,HINDZINC,1m,561.95,562.20,561.80,561.80,15975,1786700525982-0,md:candles:1m,1786700529452
1786700579999,HINDZINC,1m,561.90,562.00,561.00,561.25,60218,1786700588637-0,md:candles:1m,1786700591306
1786700639999,HINDZINC,1m,561.65,561.65,561.00,561.10,21079,1786700645535-0,md:candles:1m,1786700653590
1786700699999,HINDZINC,1m,561.05,561.40,560.00,560.00,18533,1786701005781-0,md:candles:1m,1786701010481
1786701059999,HINDZINC,1m,560.00,560.00,560.00,560.00,2582,1786701068299-0,md:candles:1m,1786701071890
1786701119999,HINDZINC,1m,560.00,560.00,560.00,560.00,4021,1786701131192-0,md:candles:1m,1786701137210
1786701179999,HINDZINC,1m,560.00,560.00,560.00,560.00,362,1786701185425-0,md:candles:1m,1786701191510
1786701239999,HINDZINC,1m,560.00,560.00,560.00,560.00,959,1786701245661-0,md:candles:1m,1786701248276
1786701299999,HINDZINC,1m,560.00,560.00,560.00,560.00,1626,1786701307575-0,md:candles:1m,1786701313567
1786701359999,HINDZINC,1m,560.00,560.00,560.00,560.00,778,1786701373763-0,md:candles:1m,1786701379364
1786701419999,HINDZINC,1m,560.00,560.00,560.00,560.00,1065,1786701426287-0,md:candles:1m,1786701432770
1786701479999,HINDZINC,1m,560.00,560.00,560.00,560.00,1191,1786701489270-0,md:candles:1m,1786701496799
1786701539999,HINDZINC,1m,560.00,561.90,560.00,561.90,4681597,1786702811938-0,md:candles:1m,1786702820532
1786702859999,HINDZINC,1m,561.90,561.90,561.90,561.90,443,1786702865400-0,md:candles:1m,1786702874006
1786702919999,HINDZINC,1m,561.90,561.90,561.90,561.90,71,1786702973525-0,md:candles:1m,1786702979538
1786702979999,HINDZINC,1m,561.90,561.90,561.90,561.90,202,1786703016462-0,md:candles:1m,1786703021767
1786703039999,HINDZINC,1m,561.90,561.90,561.90,561.90,200,1786703059819-0,md:candles:1m,1786703065931
1786703099999,HINDZINC,1m,561.90,561.90,561.90,561.90,11,1786703108082-0,md:candles:1m,1786703108172
1786703159999,HINDZINC,1m,561.90,561.90,561.90,561.90,86,1786703167450-0,md:candles:1m,1786703173539
1786703219999,HINDZINC,1m,561.90,561.90,561.90,561.90,2,1786703226405-0,md:candles:1m,1786703228996
1786699799999,HINDZINC,30m,563.60,564.00,563.00,563.50,154349,1786699868062-0,md:candles:30m,1786699872287
1786701599999,HINDZINC,30m,563.65,563.90,560.00,561.90,5033002,1786702865406-0,md:candles:30m,1786702871507
1786699199999,HINDZINC,5m,563.60,563.70,563.00,563.20,27829,1786699266772-0,md:candles:5m,1786699276624
1786699499999,HINDZINC,5m,563.20,564.00,563.00,563.80,86601,1786699567375-0,md:candles:5m,1786699570970
1786699799999,HINDZINC,5m,563.70,563.90,563.30,563.50,39919,1786699868059-0,md:candles:5m,1786699868444
1786700099999,HINDZINC,5m,563.65,563.65,562.90,563.50,88451,1786700167256-0,md:candles:5m,1786700170829
1786700399999,HINDZINC,5m,563.50,563.90,561.50,562.25,116848,1786700471501-0,md:candles:5m,1786700482979
1786700699999,HINDZINC,5m,562.15,562.45,560.00,560.00,133522,1786701068311-0,md:candles:5m,1786701068420
1786701299999,HINDZINC,5m,560.00,560.00,560.00,560.00,9550,1786701373764-0,md:candles:5m,1786701379364
1786701599999,HINDZINC,5m,560.00,561.90,560.00,561.90,4684631,1786702865402-0,md:candles:5m,1786702874028
1786703099999,HINDZINC,5m,561.90,561.90,561.90,561.90,927,1786703167453-0,md:candles:5m,1786703174451
