ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,HUDCO,10m,190.97,191.00,189.79,189.90,194713,1786699266722-0,md:candles:10m,1786699276624
1786699799999,HUDCO,10m,189.90,190.00,189.35,189.89,195586,1786699867757-0,md:candles:10m,1786699876284
1786700399999,HUDCO,10m,189.86,190.02,189.70,189.98,352237,1786700471425-0,md:candles:10m,1786700482979
1786700999999,HUDCO,10m,189.97,190.12,189.71,189.91,2023914,1786701068097-0,md:candles:10m,1786701070102
1786701599999,HUDCO,10m,189.91,189.99,189.60,189.96,50280,1786701699597-0,md:candles:10m,1786701708808
1786702199999,HUDCO,10m,189.95,189.99,189.95,189.99,35,1786702879318-0,md:candles:10m,1786702885431
1786701602000,HUDCO,1d,190.97,191.00,189.35,189.96,2816730,1786701607806-0,md:candles:1d,1786701615808
1786698959999,HUDCO,1m,190.97,191.00,190.97,190.97,1265,1786698970116-0,md:candles:1m,1786698974630
1786699019999,HUDCO,1m,191.00,191.00,190.11,190.11,148254,1786699026576-0,md:candles:1m,1786699028548
1786699079999,HUDCO,1m,190.00,190.00,189.80,189.87,25731,1786699085323-0,md:candles:1m,1786699094422
1786699139999,HUDCO,1m,189.87,189.96,189.82,189.89,8518,1786699146330-0,md:candles:1m,1786699146984
1786699199999,HUDCO,1m,189.80,189.90,189.79,189.90,10945,1786699205288-0,md:candles:1m,1786699208603
1786699259999,HUDCO,1m,189.90,190.00,189.90,189.92,10660,1786699266704-0,md:candles:1m,1786699273120
1786699319999,HUDCO,1m,189.98,190.00,189.95,189.95,2107,1786699329920-0,md:candles:1m,1786699339124
1786699379999,HUDCO,1m,190.00,190.00,189.90,190.00,16105,1786699387364-0,md:candles:1m,1786699391745
1786699439999,HUDCO,1m,189.95,190.00,189.95,190.00,17425,1786699445397-0,md:candles:1m,1786699445600
1786699499999,HUDCO,1m,189.95,190.00,189.95,190.00,17201,1786699506860-0,md:candles:1m,1786699511111
1786699559999,HUDCO,1m,189.97,190.00,189.95,189.99,3638,1786699566928-0,md:candles:1m,1786699576085
1786699619999,HUDCO,1m,189.97,190.00,189.87,189.97,1701,1786699626427-0,md:candles:1m,1786699627296
1786699679999,HUDCO,1m,189.81,189.88,189.63,189.73,22459,1786699686952-0,md:candles:1m,1786699689702
1786699739999,HUDCO,1m,189.70,189.70,189.40,189.45,19623,1786699745906-0,md:candles:1m,1786699754023
1786699799999,HUDCO,1m,189.49,190.00,189.35,189.89,84667,1786699808106-0,md:candles:1m,1786699821286
1786699859999,HUDCO,1m,189.86,189.91,189.70,189.91,4609,1786699867753-0,md:candles:1m,1786699871843
1786699919999,HUDCO,1m,189.85,189.91,189.82,189.85,1478,1786699927288-0,md:candles:1m,1786699936026
1786699979999,HUDCO,1m,189.99,190.00,189.86,189.98,10733,1786699985623-0,md:candles:1m,1786699989617
1786700039999,HUDCO,1m,189.99,190.02,189.90,189.98,216943,1786700045810-0,md:candles:1m,1786700051805
1786700099999,HUDCO,1m,189.90,189.99,189.90,189.91,3643,1786700108738-0,md:candles:1m,1786700118244
1786700159999,HUDCO,1m,189.91,189.93,189.89,189.93,15841,1786700167217-0,md:candles:1m,1786700171522
1786700219999,HUDCO,1m,189.95,189.99,189.95,189.99,3015,1786700227327-0,md:candles:1m,1786700233604
1786700279999,HUDCO,1m,189.99,190.00,189.96,190.00,78096,1786700289409-0,md:candles:1m,1786700298079
1786700339999,HUDCO,1m,189.98,189.99,189.92,189.95,5770,1786700349164-0,md:candles:1m,1786700351053
1786700399999,HUDCO,1m,189.96,190.00,189.91,189.98,12109,1786700407405-0,md:candles:1m,1786700412580
1786700459999,HUDCO,1m,189.97,189.98,189.90,189.90,4272,1786700471406-0,md:candles:1m,1786700476026
1786700519999,HUDCO,1m,189.95,189.99,189.86,189.90,9334,1786700525833-0,md:candles:1m,1786700529452
1786700579999,HUDCO,1m,189.90,190.00,189.80,190.00,14276,1786700588603-0,md:candles:1m,1786700591306
1786700639999,HUDCO,1m,189.96,189.96,189.86,189.86,5419,1786700650365-0,md:candles:1m,1786700653590
1786700699999,HUDCO,1m,189.85,189.86,189.80,189.81,7081,1786700706769-0,md:candles:1m,1786700715149
1786700759999,HUDCO,1m,189.81,189.81,189.71,189.71,8547,1786700766497-0,md:candles:1m,1786700766491
1786700819999,HUDCO,1m,189.72,190.12,189.71,190.08,608559,1786700825802-0,md:candles:1m,1786700827804
1786700879999,HUDCO,1m,189.97,190.10,189.80,190.00,1130550,1786700885686-0,md:candles:1m,1786700888893
1786700939999,HUDCO,1m,190.00,190.00,189.92,190.00,229802,1786700946186-0,md:candles:1m,1786700950112
1786700999999,HUDCO,1m,190.00,190.00,189.90,189.91,6074,1786701005486-0,md:candles:1m,1786701010481
1786701059999,HUDCO,1m,189.91,189.99,189.90,189.98,3766,1786701068088-0,md:candles:1m,1786701071890
1786701119999,HUDCO,1m,189.98,189.98,189.90,189.96,7549,1786701128641-0,md:candles:1m,1786701137210
1786701179999,HUDCO,1m,189.98,189.98,189.82,189.82,7913,1786701190652-0,md:candles:1m,1786701191510
1786701239999,HUDCO,1m,189.81,189.97,189.74,189.96,3636,1786701245229-0,md:candles:1m,1786701248276
1786701299999,HUDCO,1m,189.85,189.99,189.85,189.87,6215,1786701307285-0,md:candles:1m,1786701313567
1786701359999,HUDCO,1m,189.87,189.98,189.60,189.95,6527,1786701365736-0,md:candles:1m,1786701367943
1786701419999,HUDCO,1m,189.95,189.95,189.86,189.95,1870,1786701425976-0,md:candles:1m,1786701432770
1786701479999,HUDCO,1m,189.94,189.95,189.90,189.95,4118,1786701487752-0,md:candles:1m,1786701496799
1786701539999,HUDCO,1m,189.94,189.98,189.94,189.98,5012,1786701546550-0,md:candles:1m,1786701551354
1786701599999,HUDCO,1m,189.96,189.98,189.96,189.96,3674,1786701607804-0,md:candles:1m,1786701613806
1786701659999,HUDCO,1m,189.95,189.95,189.95,189.95,35,1786701699594-0,md:candles:1m,1786701706798
1786701719999,HUDCO,1m,189.99,189.99,189.99,189.99,0,1786702805524-0,md:candles:1m,1786702808525
1786702859999,HUDCO,1m,189.99,189.99,189.99,189.99,1022,1786702879316-0,md:candles:1m,1786702884923
1786702919999,HUDCO,1m,189.99,189.99,189.99,189.99,100,1786702947496-0,md:candles:1m,1786702957910
1786702979999,HUDCO,1m,189.99,189.99,189.99,189.99,5,1786703000549-0,md:candles:1m,1786703000545
1786703039999,HUDCO,1m,189.99,189.99,189.99,189.99,5,1786703144318-0,md:candles:1m,1786703153316
1786703159999,HUDCO,1m,189.99,189.99,189.99,189.99,50,1786703262833-0,md:candles:1m,1786703271541
1786699799999,HUDCO,30m,190.97,191.00,189.35,189.89,390299,1786699867758-0,md:candles:30m,1786699872287
1786701599999,HUDCO,30m,189.86,190.12,189.60,189.96,2426431,1786701699599-0,md:candles:30m,1786701708808
1786699199999,HUDCO,5m,190.97,191.00,189.79,189.90,194713,1786699266720-0,md:candles:5m,1786699276624
1786699499999,HUDCO,5m,189.90,190.00,189.90,190.00,63498,1786699566937-0,md:candles:5m,1786699570970
1786699799999,HUDCO,5m,189.97,190.00,189.35,189.89,132088,1786699867755-0,md:candles:5m,1786699868444
1786700099999,HUDCO,5m,189.86,190.02,189.70,189.91,237406,1786700167221-0,md:candles:5m,1786700170829
1786700399999,HUDCO,5m,189.91,190.00,189.89,189.98,114831,1786700471421-0,md:candles:5m,1786700482979
1786700699999,HUDCO,5m,189.97,190.00,189.80,189.81,40382,1786700766499-0,md:candles:5m,1786700773441
1786700999999,HUDCO,5m,189.81,190.12,189.71,189.91,1983532,1786701068095-0,md:candles:5m,1786701068420
1786701299999,HUDCO,5m,189.91,189.99,189.74,189.87,29079,1786701365738-0,md:candles:5m,1786701367545
1786701599999,HUDCO,5m,189.87,189.98,189.60,189.96,21201,1786701699596-0,md:candles:5m,1786701706798
1786701899999,HUDCO,5m,189.95,189.99,189.95,189.99,35,1786702879317-0,md:candles:5m,1786702884923
1786703099999,HUDCO,5m,189.99,189.99,189.99,189.99,1132,1786703262834-0,md:candles:5m,1786703262832
