ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ICICIBANK,10m,1412.30,1412.90,1411.50,1411.50,27565,1786699266679-0,md:candles:10m,1786699276624
1786699799999,ICICIBANK,10m,1411.20,1413.70,1411.20,1413.10,145593,1786699867447-0,md:candles:10m,1786699876284
1786700399999,ICICIBANK,10m,1413.10,1416.60,1413.00,1414.50,294609,1786700465811-0,md:candles:10m,1786700471301
1786700999999,ICICIBANK,10m,1414.70,1416.40,1412.40,1412.40,186749,1786701067786-0,md:candles:10m,1786701070102
1786702800000,ICICIBANK,1d,1412.30,1417.00,1411.20,1417.00,6516848,1786702805220-0,md:candles:1d,1786702807233
1786698959999,ICICIBANK,1m,1412.30,1412.90,1412.20,1412.30,3023,1786698965506-0,md:candles:1m,1786698974630
1786699019999,ICICIBANK,1m,1412.80,1412.90,1412.30,1412.50,3979,1786699025603-0,md:candles:1m,1786699028548
1786699079999,ICICIBANK,1m,1412.70,1412.70,1411.80,1411.80,4976,1786699087157-0,md:candles:1m,1786699094422
1786699139999,ICICIBANK,1m,1411.80,1411.90,1411.50,1411.60,8423,1786699146644-0,md:candles:1m,1786699146984
1786699199999,ICICIBANK,1m,1411.70,1411.80,1411.50,1411.50,7164,1786699206650-0,md:candles:1m,1786699208603
1786699259999,ICICIBANK,1m,1411.20,1412.80,1411.20,1411.60,37927,1786699266676-0,md:candles:1m,1786699273120
1786699319999,ICICIBANK,1m,1411.80,1412.70,1411.60,1412.50,19699,1786699325727-0,md:candles:1m,1786699326703
1786699379999,ICICIBANK,1m,1412.60,1413.00,1412.30,1413.00,15971,1786699385613-0,md:candles:1m,1786699391745
1786699439999,ICICIBANK,1m,1413.00,1413.20,1412.40,1413.10,9368,1786699445578-0,md:candles:1m,1786699445600
1786699499999,ICICIBANK,1m,1413.20,1413.50,1412.90,1413.40,6105,1786699506832-0,md:candles:1m,1786699511111
1786699559999,ICICIBANK,1m,1413.30,1413.30,1412.80,1412.80,8434,1786699566993-0,md:candles:1m,1786699576085
1786699619999,ICICIBANK,1m,1412.80,1413.70,1412.80,1413.50,14315,1786699626199-0,md:candles:1m,1786699627296
1786699679999,ICICIBANK,1m,1413.50,1413.70,1413.50,1413.50,5473,1786699687403-0,md:candles:1m,1786699689702
1786699739999,ICICIBANK,1m,1413.50,1413.60,1412.70,1413.20,11621,1786699746783-0,md:candles:1m,1786699754023
1786699799999,ICICIBANK,1m,1413.20,1413.50,1413.00,1413.10,16680,1786699805757-0,md:candles:1m,1786699807941
1786699859999,ICICIBANK,1m,1413.10,1413.50,1413.00,1413.50,17739,1786699867443-0,md:candles:1m,1786699871843
1786699919999,ICICIBANK,1m,1413.50,1414.00,1413.40,1414.00,16842,1786699926839-0,md:candles:1m,1786699936026
1786699979999,ICICIBANK,1m,1414.00,1414.10,1413.80,1413.80,21770,1786699985322-0,md:candles:1m,1786699989617
1786700039999,ICICIBANK,1m,1413.90,1414.00,1413.70,1414.00,23242,1786700045596-0,md:candles:1m,1786700051805
1786700099999,ICICIBANK,1m,1414.00,1414.00,1413.50,1413.70,15940,1786700108549-0,md:candles:1m,1786700118244
1786700159999,ICICIBANK,1m,1413.60,1414.80,1413.40,1414.80,52238,1786700171264-0,md:candles:1m,1786700171522
1786700219999,ICICIBANK,1m,1414.70,1414.90,1414.50,1414.90,27745,1786700227107-0,md:candles:1m,1786700233604
1786700279999,ICICIBANK,1m,1415.00,1416.30,1415.00,1416.10,41645,1786700289278-0,md:candles:1m,1786700298079
1786700339999,ICICIBANK,1m,1415.90,1416.60,1415.90,1416.00,36619,1786700349073-0,md:candles:1m,1786700351053
1786700399999,ICICIBANK,1m,1415.40,1416.00,1413.50,1414.50,40829,1786700405353-0,md:candles:1m,1786700412580
1786700459999,ICICIBANK,1m,1414.70,1415.50,1414.70,1415.30,30680,1786700465807-0,md:candles:1m,1786700476026
1786700519999,ICICIBANK,1m,1415.30,1415.40,1414.10,1414.20,30813,1786700525484-0,md:candles:1m,1786700529452
1786700579999,ICICIBANK,1m,1414.20,1414.70,1414.00,1414.20,43592,1786700590291-0,md:candles:1m,1786700591306
1786700639999,ICICIBANK,1m,1414.20,1415.30,1413.80,1414.90,34236,1786700645483-0,md:candles:1m,1786700653590
1786700699999,ICICIBANK,1m,1415.10,1416.40,1412.40,1412.40,47428,1786701005175-0,md:candles:1m,1786701010481
1786701059999,ICICIBANK,1m,1412.40,1412.40,1412.40,1412.40,51165,1786701067782-0,md:candles:1m,1786701071890
1786701119999,ICICIBANK,1m,1412.40,1412.40,1412.40,1412.40,6094,1786701130582-0,md:candles:1m,1786701137210
1786701179999,ICICIBANK,1m,1412.40,1412.40,1412.40,1412.40,727,1786701196908-0,md:candles:1m,1786701203615
1786701239999,ICICIBANK,1m,1412.40,1412.40,1412.40,1412.40,78,1786701251284-0,md:candles:1m,1786701260413
1786701299999,ICICIBANK,1m,1412.40,1412.40,1412.40,1412.40,188,1786701307068-0,md:candles:1m,1786701313567
1786701359999,ICICIBANK,1m,1412.40,1412.40,1412.40,1412.40,1115,1786701373267-0,md:candles:1m,1786701379364
1786701419999,ICICIBANK,1m,1412.40,1412.40,1412.40,1412.40,2,1786701432568-0,md:candles:1m,1786701432770
1786701479999,ICICIBANK,1m,1412.40,1412.40,1412.40,1412.40,69,1786701496800-0,md:candles:1m,1786701496799
1786701539999,ICICIBANK,1m,1412.40,1417.00,1412.40,1417.00,5802894,1786702805219-0,md:candles:1m,1786702808525
1786699799999,ICICIBANK,30m,1412.30,1413.70,1411.20,1413.10,173158,1786699867449-0,md:candles:30m,1786699872287
1786699199999,ICICIBANK,5m,1412.30,1412.90,1411.50,1411.50,27565,1786699266678-0,md:candles:5m,1786699276624
1786699499999,ICICIBANK,5m,1411.20,1413.50,1411.20,1413.40,89070,1786699567002-0,md:candles:5m,1786699570970
1786699799999,ICICIBANK,5m,1413.30,1413.70,1412.70,1413.10,56523,1786699867445-0,md:candles:5m,1786699868444
1786700099999,ICICIBANK,5m,1413.10,1414.10,1413.00,1413.70,95533,1786700171266-0,md:candles:5m,1786700182927
1786700399999,ICICIBANK,5m,1413.60,1416.60,1413.40,1414.50,199076,1786700465809-0,md:candles:5m,1786700471362
1786700699999,ICICIBANK,5m,1414.70,1416.40,1412.40,1412.40,186749,1786701067784-0,md:candles:5m,1786701068420
1786701299999,ICICIBANK,5m,1412.40,1412.40,1412.40,1412.40,58252,1786701373270-0,md:candles:5m,1786701379364
