ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ICICIGI,10m,1626.00,1626.00,1623.10,1623.90,1471,1786699265210-0,md:candles:10m,1786699265610
1786699799999,ICICIGI,10m,1623.90,1626.00,1622.60,1625.00,19418,1786699868899-0,md:candles:10m,1786699876284
1786700399999,ICICIGI,10m,1625.00,1626.40,1623.40,1625.20,25331,1786700466304-0,md:candles:10m,1786700471301
1786700999999,ICICIGI,10m,1625.90,1630.00,1625.00,1625.00,35801,1786701069092-0,md:candles:10m,1786701070102
1786702801000,ICICIGI,1d,1626.00,1630.00,1622.60,1630.00,621159,1786702806238-0,md:candles:1d,1786702807233
1786698959999,ICICIGI,1m,1626.00,1626.00,1625.70,1626.00,61,1786698965834-0,md:candles:1m,1786698974630
1786699019999,ICICIGI,1m,1626.00,1626.00,1623.40,1623.40,1126,1786699027848-0,md:candles:1m,1786699028548
1786699079999,ICICIGI,1m,1624.10,1624.10,1623.10,1623.10,31,1786699087712-0,md:candles:1m,1786699094422
1786699139999,ICICIGI,1m,1623.90,1624.50,1623.50,1624.30,228,1786699156099-0,md:candles:1m,1786699158101
1786699199999,ICICIGI,1m,1624.30,1624.80,1623.90,1623.90,25,1786699208880-0,md:candles:1m,1786699221468
1786699259999,ICICIGI,1m,1623.90,1624.20,1623.90,1623.90,1,1786699265193-0,md:candles:1m,1786699273120
1786699319999,ICICIGI,1m,1623.90,1624.10,1623.10,1623.10,512,1786699326812-0,md:candles:1m,1786699339124
1786699379999,ICICIGI,1m,1623.10,1623.10,1623.00,1623.00,99,1786699387711-0,md:candles:1m,1786699391745
1786699439999,ICICIGI,1m,1623.00,1623.70,1622.60,1623.70,459,1786699446292-0,md:candles:1m,1786699457822
1786699499999,ICICIGI,1m,1624.20,1625.40,1624.00,1625.10,9504,1786699505168-0,md:candles:1m,1786699511111
1786699559999,ICICIGI,1m,1625.10,1625.90,1623.40,1624.90,6022,1786699567767-0,md:candles:1m,1786699576085
