ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ICICIPRULI,10m,508.30,508.60,508.00,508.30,7561,1786699265358-0,md:candles:10m,1786699265610
1786699799999,ICICIPRULI,10m,508.30,508.55,507.95,508.00,7685,1786699866007-0,md:candles:10m,1786699876284
1786700399999,ICICIPRULI,10m,507.85,509.60,507.85,509.50,147600,1786700465626-0,md:candles:10m,1786700471301
1786700999999,ICICIPRULI,10m,509.45,509.65,505.05,509.00,76239,1786701069218-0,md:candles:10m,1786701070102
1786702801000,ICICIPRULI,1d,508.30,509.65,505.05,509.15,1021968,1786702806333-0,md:candles:1d,1786702807233
1786698959999,ICICIPRULI,1m,508.30,508.30,508.20,508.30,274,1786698965329-0,md:candles:1m,1786698974630
1786699019999,ICICIPRULI,1m,508.30,508.35,508.20,508.20,862,1786699027864-0,md:candles:1m,1786699028548
1786699079999,ICICIPRULI,1m,508.10,508.35,508.05,508.05,709,1786699093607-0,md:candles:1m,1786699094422
1786699139999,ICICIPRULI,1m,508.10,508.50,508.00,508.45,669,1786699147887-0,md:candles:1m,1786699158101
1786699199999,ICICIPRULI,1m,508.50,508.60,508.30,508.30,5047,1786699206278-0,md:candles:1m,1786699208603
1786699259999,ICICIPRULI,1m,508.30,508.55,508.30,508.55,222,1786699265347-0,md:candles:1m,1786699273120
1786699319999,ICICIPRULI,1m,508.55,508.55,508.30,508.40,297,1786699337123-0,md:candles:1m,1786699339124
1786699379999,ICICIPRULI,1m,508.45,508.45,508.35,508.45,232,1786699387717-0,md:candles:1m,1786699391745
1786699439999,ICICIPRULI,1m,508.45,508.45,508.35,508.45,228,1786699458047-0,md:candles:1m,1786699470714
1786699499999,ICICIPRULI,1m,508.35,508.50,508.35,508.50,482,1786699512295-0,md:candles:1m,1786699523104
1786699559999,ICICIPRULI,1m,508.50,508.55,508.35,508.55,178,1786699575173-0,md:candles:1m,1786699576085
1786699619999,ICICIPRULI,1m,508.55,508.55,508.35,508.35,486,1786699627521-0,md:candles:1m,1786699639246
1786699679999,ICICIPRULI,1m,508.35,508.45,508.25,508.45,1538,1786699687957-0,md:candles:1m,1786699689702
1786699739999,ICICIPRULI,1m,508.25,508.25,508.10,508.20,1661,1786699748032-0,md:candles:1m,1786699754023
1786699799999,ICICIPRULI,1m,508.10,508.10,507.95,508.00,2361,1786699805854-0,md:candles:1m,1786699807941
1786699859999,ICICIPRULI,1m,507.85,509.60,507.85,509.35,64453,1786699865985-0,md:candles:1m,1786699871843
1786699919999,ICICIPRULI,1m,509.35,509.50,509.10,509.20,11108,1786699925322-0,md:candles:1m,1786699925422
1786699979999,ICICIPRULI,1m,509.25,509.30,509.20,509.20,1302,1786699986560-0,md:candles:1m,1786699989617
1786700039999,ICICIPRULI,1m,509.25,509.30,509.10,509.10,5640,1786700046999-0,md:candles:1m,1786700051805
1786700099999,ICICIPRULI,1m,509.20,509.20,508.65,508.80,5352,1786700106203-0,md:candles:1m,1786700118244
1786700159999,ICICIPRULI,1m,508.70,509.00,508.55,508.85,8618,1786700165796-0,md:candles:1m,1786700171522
1786700219999,ICICIPRULI,1m,508.75,508.75,508.55,508.60,3120,1786700228613-0,md:candles:1m,1786700233604
1786700279999,ICICIPRULI,1m,508.65,508.65,508.60,508.60,883,1786700290377-0,md:candles:1m,1786700298079
1786700339999,ICICIPRULI,1m,508.60,508.60,508.55,508.60,1089,1786700350514-0,md:candles:1m,1786700351053
1786700399999,ICICIPRULI,1m,508.55,509.60,508.55,509.50,46035,1786700409378-0,md:candles:1m,1786700412580
1786700459999,ICICIPRULI,1m,509.45,509.65,509.00,509.40,10969,1786700465614-0,md:candles:1m,1786700476026
1786700519999,ICICIPRULI,1m,509.40,509.40,508.95,509.30,9644,1786700526828-0,md:candles:1m,1786700529452
1786700579999,ICICIPRULI,1m,509.25,509.25,508.85,508.85,10072,1786700591574-0,md:candles:1m,1786700602905
1786700639999,ICICIPRULI,1m,508.85,509.00,507.75,508.85,34621,1786700647455-0,md:candles:1m,1786700653590
1786700699999,ICICIPRULI,1m,508.50,509.00,505.05,509.00,10887,1786700707648-0,md:candles:1m,1786700715149
1786700759999,ICICIPRULI,1m,509.00,509.00,509.00,509.00,46,1786701006752-0,md:candles:1m,1786701010481
1786701059999,ICICIPRULI,1m,509.00,509.00,509.00,509.00,10800,1786701069211-0,md:candles:1m,1786701071890
1786701119999,ICICIPRULI,1m,509.00,509.00,509.00,509.00,100,1786701156306-0,md:candles:1m,1786701161014
1786701179999,ICICIPRULI,1m,509.00,509.00,509.00,509.00,255,1786701210141-0,md:candles:1m,1786701215027
1786701239999,ICICIPRULI,1m,509.00,509.00,509.00,509.00,25,1786701284444-0,md:candles:1m,1786701292565
1786701299999,ICICIPRULI,1m,509.00,509.00,509.00,509.00,185,1786701308406-0,md:candles:1m,1786701313567
1786701359999,ICICIPRULI,1m,509.00,509.00,509.00,509.00,0,1786701380980-0,md:candles:1m,1786701390103
1786701419999,ICICIPRULI,1m,509.00,509.00,509.00,509.00,2,1786701505991-0,md:candles:1m,1786701507390
1786701539999,ICICIPRULI,1m,509.00,509.15,509.00,509.15,771516,1786702806331-0,md:candles:1m,1786702808525
1786699799999,ICICIPRULI,30m,508.30,508.60,507.95,508.00,15246,1786699866009-0,md:candles:30m,1786699872287
1786699199999,ICICIPRULI,5m,508.30,508.60,508.00,508.30,7561,1786699265356-0,md:candles:5m,1786699265610
1786699499999,ICICIPRULI,5m,508.30,508.55,508.30,508.50,1461,1786699575176-0,md:candles:5m,1786699584096
1786699799999,ICICIPRULI,5m,508.50,508.55,507.95,508.00,6224,1786699866006-0,md:candles:5m,1786699868444
1786700099999,ICICIPRULI,5m,507.85,509.60,507.85,508.80,87855,1786700165800-0,md:candles:5m,1786700170829
1786700399999,ICICIPRULI,5m,508.70,509.60,508.55,509.50,59745,1786700465624-0,md:candles:5m,1786700471362
1786700699999,ICICIPRULI,5m,509.45,509.65,505.05,509.00,76193,1786701006754-0,md:candles:5m,1786701013188
1786700999999,ICICIPRULI,5m,509.00,509.00,509.00,509.00,46,1786701069216-0,md:candles:5m,1786701080800
1786701299999,ICICIPRULI,5m,509.00,509.00,509.00,509.00,11365,1786701380982-0,md:candles:5m,1786701390103
