ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,IDEA,10m,14.13,14.15,14.12,14.13,4374170,1786699266760-0,md:candles:10m,1786699276624
1786699799999,IDEA,10m,14.13,14.16,14.11,14.14,28773292,1786699866082-0,md:candles:10m,1786699876284
1786700399999,IDEA,10m,14.13,14.15,14.08,14.14,54558308,1786700465196-0,md:candles:10m,1786700471301
1786700999999,IDEA,10m,14.14,14.16,14.10,14.10,41746119,1786701068288-0,md:candles:10m,1786701070102
1786701599999,IDEA,10m,14.10,14.11,14.10,14.11,777855158,1786702865299-0,md:candles:10m,1786702875014
1786702800000,IDEA,1d,14.13,14.16,14.08,14.11,907307047,1786702805641-0,md:candles:1d,1786702807233
1786698959999,IDEA,1m,14.13,14.14,14.13,14.14,289586,1786698966054-0,md:candles:1m,1786698974630
1786699019999,IDEA,1m,14.14,14.15,14.13,14.15,649370,1786699026601-0,md:candles:1m,1786699028548
1786699079999,IDEA,1m,14.13,14.14,14.13,14.14,928741,1786699085317-0,md:candles:1m,1786699094422
1786699139999,IDEA,1m,14.14,14.14,14.12,14.14,2309776,1786699146684-0,md:candles:1m,1786699146984
1786699199999,IDEA,1m,14.13,14.14,14.13,14.13,196697,1786699205481-0,md:candles:1m,1786699208603
1786699259999,IDEA,1m,14.13,14.13,14.12,14.13,572946,1786699266728-0,md:candles:1m,1786699273120
1786699319999,IDEA,1m,14.12,14.14,14.12,14.13,1208083,1786699325818-0,md:candles:1m,1786699326703
1786699379999,IDEA,1m,14.14,14.15,14.13,14.14,2416564,1786699387483-0,md:candles:1m,1786699391745
1786699439999,IDEA,1m,14.14,14.15,14.14,14.14,1935167,1786699445879-0,md:candles:1m,1786699457822
1786699499999,IDEA,1m,14.14,14.15,14.14,14.14,1216899,1786699505295-0,md:candles:1m,1786699511111
1786699559999,IDEA,1m,14.14,14.15,14.14,14.15,1484002,1786699565788-0,md:candles:1m,1786699576085
1786699619999,IDEA,1m,14.14,14.16,14.14,14.16,2087484,1786699625500-0,md:candles:1m,1786699627296
1786699679999,IDEA,1m,14.16,14.16,14.11,14.14,12638209,1786699685408-0,md:candles:1m,1786699689702
1786699739999,IDEA,1m,14.14,14.15,14.11,14.11,3189665,1786699745178-0,md:candles:1m,1786699754023
1786699799999,IDEA,1m,14.12,14.14,14.11,14.14,2024273,1786699805335-0,md:candles:1m,1786699807941
1786699859999,IDEA,1m,14.13,14.14,14.12,14.13,1687093,1786699866049-0,md:candles:1m,1786699871843
1786699919999,IDEA,1m,14.13,14.13,14.12,14.13,620502,1786699925950-0,md:candles:1m,1786699936026
1786699979999,IDEA,1m,14.12,14.13,14.11,14.11,3024946,1786699985822-0,md:candles:1m,1786699989617
1786700039999,IDEA,1m,14.12,14.14,14.12,14.12,6928034,1786700045993-0,md:candles:1m,1786700051805
