ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,IDFCFIRSTB,10m,85.64,85.65,85.60,85.65,38971,1786699270745-0,md:candles:10m,1786699276624
1786699799999,IDFCFIRSTB,10m,85.63,85.70,85.60,85.65,181190,1786699868247-0,md:candles:10m,1786699876284
1786700399999,IDFCFIRSTB,10m,85.64,85.73,85.57,85.57,692005,1786700471936-0,md:candles:10m,1786700482979
1786700999999,IDFCFIRSTB,10m,85.63,85.69,85.58,85.62,229558,1786701068627-0,md:candles:10m,1786701070102
1786701599999,IDFCFIRSTB,10m,85.62,85.69,85.62,85.69,7344814,1786702875013-0,md:candles:10m,1786702875014
1786702807000,IDFCFIRSTB,1d,85.64,85.73,85.57,85.69,8486538,1786702812156-0,md:candles:1d,1786702818543
1786698959999,IDFCFIRSTB,1m,85.64,85.65,85.62,85.64,1876,1786698965616-0,md:candles:1m,1786698974630
1786699019999,IDFCFIRSTB,1m,85.62,85.64,85.62,85.63,7292,1786699026639-0,md:candles:1m,1786699028548
1786699079999,IDFCFIRSTB,1m,85.62,85.64,85.60,85.64,18073,1786699087394-0,md:candles:1m,1786699094422
1786699139999,IDFCFIRSTB,1m,85.61,85.64,85.61,85.62,3551,1786699146718-0,md:candles:1m,1786699146984
1786699199999,IDFCFIRSTB,1m,85.63,85.65,85.62,85.65,8179,1786699206017-0,md:candles:1m,1786699208603
1786699259999,IDFCFIRSTB,1m,85.63,85.68,85.63,85.65,4583,1786699270739-0,md:candles:1m,1786699273120
1786699319999,IDFCFIRSTB,1m,85.66,85.68,85.65,85.66,12971,1786699325841-0,md:candles:1m,1786699326703
1786699379999,IDFCFIRSTB,1m,85.65,85.66,85.65,85.65,9429,1786699387566-0,md:candles:1m,1786699391745
1786699439999,IDFCFIRSTB,1m,85.65,85.66,85.64,85.66,9399,1786699445899-0,md:candles:1m,1786699457822
1786699499999,IDFCFIRSTB,1m,85.65,85.68,85.65,85.68,12228,1786699506924-0,md:candles:1m,1786699511111
1786699559999,IDFCFIRSTB,1m,85.67,85.68,85.67,85.67,7288,1786699567576-0,md:candles:1m,1786699576085
1786699619999,IDFCFIRSTB,1m,85.67,85.70,85.67,85.67,13350,1786699627002-0,md:candles:1m,1786699627296
1786699679999,IDFCFIRSTB,1m,85.67,85.68,85.63,85.63,28981,1786699687008-0,md:candles:1m,1786699689702
1786699739999,IDFCFIRSTB,1m,85.65,85.67,85.61,85.62,29751,1786699747053-0,md:candles:1m,1786699754023
1786699799999,IDFCFIRSTB,1m,85.60,85.65,85.60,85.65,53210,1786699805360-0,md:candles:1m,1786699807941
1786699859999,IDFCFIRSTB,1m,85.64,85.67,85.61,85.64,83938,1786699868239-0,md:candles:1m,1786699871843
1786699919999,IDFCFIRSTB,1m,85.64,85.70,85.64,85.66,115650,1786699927577-0,md:candles:1m,1786699936026
1786699979999,IDFCFIRSTB,1m,85.70,85.72,85.68,85.68,34816,1786699986165-0,md:candles:1m,1786699989617
1786700039999,IDFCFIRSTB,1m,85.67,85.71,85.67,85.70,26832,1786700046402-0,md:candles:1m,1786700051805
1786700099999,IDFCFIRSTB,1m,85.70,85.73,85.69,85.73,39028,1786700109241-0,md:candles:1m,1786700118244
1786700159999,IDFCFIRSTB,1m,85.73,85.73,85.64,85.71,141418,1786700172875-0,md:candles:1m,1786700182927
1786700219999,IDFCFIRSTB,1m,85.71,85.71,85.59,85.62,46548,1786700227829-0,md:candles:1m,1786700233604
1786700279999,IDFCFIRSTB,1m,85.62,85.63,85.60,85.63,88909,1786700289808-0,md:candles:1m,1786700298079
1786700339999,IDFCFIRSTB,1m,85.62,85.68,85.62,85.64,68215,1786700350383-0,md:candles:1m,1786700351053
1786700399999,IDFCFIRSTB,1m,85.69,85.69,85.57,85.57,46651,1786700408604-0,md:candles:1m,1786700412580
1786700459999,IDFCFIRSTB,1m,85.63,85.63,85.58,85.60,38873,1786700471931-0,md:candles:1m,1786700476026
1786700519999,IDFCFIRSTB,1m,85.60,85.63,85.60,85.62,31593,1786700526319-0,md:candles:1m,1786700529452
1786700579999,IDFCFIRSTB,1m,85.62,85.66,85.62,85.63,75101,1786700591067-0,md:candles:1m,1786700591306
1786700639999,IDFCFIRSTB,1m,85.63,85.69,85.60,85.67,47491,1786700646475-0,md:candles:1m,1786700653590
