ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,IEX,10m,124.60,124.61,124.51,124.58,6004,1786699266778-0,md:candles:10m,1786699276624
1786699799999,IEX,10m,124.56,124.61,124.40,124.44,45652,1786699868070-0,md:candles:10m,1786699876284
1786700399999,IEX,10m,124.44,124.48,124.31,124.46,71002,1786700471515-0,md:candles:10m,1786700482979
1786700999999,IEX,10m,124.50,124.74,124.41,124.50,77937,1786701074704-0,md:candles:10m,1786701080910
1786701599999,IEX,10m,124.50,124.75,124.50,124.75,1244002,1786702881227-0,md:candles:10m,1786702885431
1786702806000,IEX,1d,124.60,124.75,124.31,124.75,1444597,1786702811955-0,md:candles:1d,1786702818543
1786698959999,IEX,1m,124.60,124.60,124.51,124.51,1523,1786698965596-0,md:candles:1m,1786698974630
1786699019999,IEX,1m,124.60,124.60,124.57,124.59,1862,1786699028155-0,md:candles:1m,1786699028548
1786699079999,IEX,1m,124.59,124.59,124.53,124.58,812,1786699087312-0,md:candles:1m,1786699094422
1786699139999,IEX,1m,124.58,124.59,124.54,124.55,904,1786699146697-0,md:candles:1m,1786699146984
1786699199999,IEX,1m,124.61,124.61,124.51,124.58,903,1786699205617-0,md:candles:1m,1786699208603
1786699259999,IEX,1m,124.56,124.56,124.53,124.54,1014,1786699266739-0,md:candles:1m,1786699273120
1786699319999,IEX,1m,124.53,124.54,124.49,124.50,4831,1786699329945-0,md:candles:1m,1786699339124
1786699379999,IEX,1m,124.43,124.55,124.43,124.47,3082,1786699387500-0,md:candles:1m,1786699391745
1786699439999,IEX,1m,124.50,124.50,124.46,124.50,1290,1786699445691-0,md:candles:1m,1786699457822
1786699499999,IEX,1m,124.50,124.59,124.46,124.59,23197,1786699506896-0,md:candles:1m,1786699511111
1786699559999,IEX,1m,124.57,124.61,124.51,124.51,2386,1786699567379-0,md:candles:1m,1786699576085
1786699619999,IEX,1m,124.51,124.51,124.47,124.49,1079,1786699626822-0,md:candles:1m,1786699627296
1786699679999,IEX,1m,124.49,124.50,124.40,124.49,3502,1786699686977-0,md:candles:1m,1786699689702
1786699739999,IEX,1m,124.45,124.47,124.44,124.47,3066,1786699747031-0,md:candles:1m,1786699754023
1786699799999,IEX,1m,124.50,124.50,124.44,124.44,2205,1786699805176-0,md:candles:1m,1786699807941
1786699859999,IEX,1m,124.44,124.44,124.32,124.38,2772,1786699868063-0,md:candles:1m,1786699871843
1786699919999,IEX,1m,124.38,124.38,124.31,124.36,4565,1786699927488-0,md:candles:1m,1786699936026
1786699979999,IEX,1m,124.38,124.41,124.33,124.38,11225,1786699985943-0,md:candles:1m,1786699989617
1786700039999,IEX,1m,124.38,124.45,124.38,124.44,6972,1786700046206-0,md:candles:1m,1786700051805
1786700099999,IEX,1m,124.44,124.44,124.41,124.42,2629,1786700109041-0,md:candles:1m,1786700118244
1786700159999,IEX,1m,124.42,124.42,124.33,124.41,4591,1786700167252-0,md:candles:1m,1786700171522
1786700219999,IEX,1m,124.44,124.44,124.37,124.38,10301,1786700227559-0,md:candles:1m,1786700233604
1786700279999,IEX,1m,124.37,124.39,124.33,124.34,6347,1786700289586-0,md:candles:1m,1786700298079
1786700339999,IEX,1m,124.34,124.44,124.32,124.41,11241,1786700349453-0,md:candles:1m,1786700351053
1786700399999,IEX,1m,124.43,124.48,124.40,124.46,10359,1786700408580-0,md:candles:1m,1786700412580
1786700459999,IEX,1m,124.50,124.60,124.48,124.60,8027,1786700471464-0,md:candles:1m,1786700476026
1786700519999,IEX,1m,124.58,124.63,124.57,124.60,15276,1786700525574-0,md:candles:1m,1786700529452
1786700579999,IEX,1m,124.60,124.74,124.51,124.56,34233,1786700588646-0,md:candles:1m,1786700591306
1786700639999,IEX,1m,124.54,124.59,124.49,124.56,7144,1786700650584-0,md:candles:1m,1786700653590
1786700699999,IEX,1m,124.50,124.50,124.41,124.50,12671,1786700706960-0,md:candles:1m,1786700715149
1786700759999,IEX,1m,124.50,124.50,124.50,124.50,586,1786701005793-0,md:candles:1m,1786701010481
1786701059999,IEX,1m,124.50,124.50,124.50,124.50,7634,1786701074698-0,md:candles:1m,1786701082805
1786701119999,IEX,1m,124.50,124.50,124.50,124.50,355,1786701125172-0,md:candles:1m,1786701126761
1786701179999,IEX,1m,124.50,124.50,124.50,124.50,160,1786701185435-0,md:candles:1m,1786701191510
1786701239999,IEX,1m,124.50,124.50,124.50,124.50,102,1786701245701-0,md:candles:1m,1786701248276
1786701299999,IEX,1m,124.50,124.50,124.50,124.50,407,1786701307576-0,md:candles:1m,1786701313567
1786701359999,IEX,1m,124.50,124.50,124.50,124.50,41,1786701367378-0,md:candles:1m,1786701367943
1786701419999,IEX,1m,124.50,124.50,124.50,124.50,8,1786701426288-0,md:candles:1m,1786701432770
1786701479999,IEX,1m,124.50,124.50,124.50,124.50,699,1786701512601-0,md:candles:1m,1786701517806
1786701539999,IEX,1m,124.50,124.75,124.50,124.75,1234596,1786702811954-0,md:candles:1m,1786702820532
1786702859999,IEX,1m,124.75,124.75,124.75,124.75,510,1786702881220-0,md:candles:1m,1786702884923
1786702919999,IEX,1m,124.75,124.75,124.75,124.75,160,1786702943994-0,md:candles:1m,1786702947398
1786702979999,IEX,1m,124.75,124.75,124.75,124.75,1,1786703053212-0,md:candles:1m,1786703055708
1786703099999,IEX,1m,124.75,124.75,124.75,124.75,26,1786703109282-0,md:candles:1m,1786703118294
1786703159999,IEX,1m,124.75,124.75,124.75,124.75,2,1786703238908-0,md:candles:1m,1786703239900
1786703279999,IEX,1m,124.75,124.75,124.75,124.75,1,1786703398398-0,md:candles:1m,1786703401611
1786699799999,IEX,30m,124.60,124.61,124.40,124.44,51656,1786699868071-0,md:candles:30m,1786699872287
1786701599999,IEX,30m,124.44,124.75,124.31,124.75,1392941,1786702881229-0,md:candles:30m,1786702882739
1786699199999,IEX,5m,124.60,124.61,124.51,124.58,6004,1786699266777-0,md:candles:5m,1786699276624
1786699499999,IEX,5m,124.56,124.59,124.43,124.59,33414,1786699567381-0,md:candles:5m,1786699570970
1786699799999,IEX,5m,124.57,124.61,124.40,124.44,12238,1786699868068-0,md:candles:5m,1786699868444
1786700099999,IEX,5m,124.44,124.45,124.31,124.42,28163,1786700167259-0,md:candles:5m,1786700170829
1786700399999,IEX,5m,124.42,124.48,124.32,124.46,42839,1786700471512-0,md:candles:5m,1786700482979
1786700699999,IEX,5m,124.50,124.74,124.41,124.50,77351,1786701005799-0,md:candles:5m,1786701013188
1786700999999,IEX,5m,124.50,124.50,124.50,124.50,586,1786701074703-0,md:candles:5m,1786701080800
