ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,IIFL,10m,630.70,631.05,630.05,630.55,9150,1786699266782-0,md:candles:10m,1786699276624
1786699799999,IIFL,10m,630.85,632.20,630.50,631.35,29085,1786699868099-0,md:candles:10m,1786699876284
1786700399999,IIFL,10m,631.05,632.55,630.50,632.40,52227,1786700465419-0,md:candles:10m,1786700471301
1786700999999,IIFL,10m,632.90,632.90,630.35,631.55,24493,1786701067599-0,md:candles:10m,1786701070102
1786701599999,IIFL,10m,631.50,631.90,630.00,631.50,97267,1786702805744-0,md:candles:10m,1786702813638
1786702199999,IIFL,10m,631.15,631.15,631.15,631.15,0,1786703188269-0,md:candles:10m,1786703196274
1786701694000,IIFL,1d,630.70,632.90,630.00,631.50,212222,1786701699898-0,md:candles:1d,1786701710000
1786698959999,IIFL,1m,630.70,630.85,630.50,630.50,301,1786698970425-0,md:candles:1m,1786698974630
1786699019999,IIFL,1m,630.50,630.85,630.50,630.85,1165,1786699026614-0,md:candles:1m,1786699028548
1786699079999,IIFL,1m,630.75,631.05,630.75,630.75,4418,1786699087339-0,md:candles:1m,1786699094422
1786699139999,IIFL,1m,630.75,631.00,630.30,630.30,1591,1786699150659-0,md:candles:1m,1786699158101
1786699199999,IIFL,1m,630.20,630.65,630.05,630.55,1675,1786699205633-0,md:candles:1m,1786699208603
1786699259999,IIFL,1m,630.85,631.95,630.50,631.60,3128,1786699266741-0,md:candles:1m,1786699273120
1786699319999,IIFL,1m,631.85,632.00,631.40,631.75,1707,1786699325827-0,md:candles:1m,1786699326703
1786699379999,IIFL,1m,631.95,632.20,631.25,631.30,3106,1786699387517-0,md:candles:1m,1786699391745
1786699439999,IIFL,1m,631.60,631.75,631.05,631.30,1414,1786699445840-0,md:candles:1m,1786699457822
1786699499999,IIFL,1m,631.30,631.70,631.00,631.15,1709,1786699506907-0,md:candles:1m,1786699511111
1786699559999,IIFL,1m,631.40,631.45,631.00,631.00,471,1786699566967-0,md:candles:1m,1786699576085
1786699619999,IIFL,1m,631.05,631.45,631.00,631.40,2082,1786699626837-0,md:candles:1m,1786699627296
1786699679999,IIFL,1m,631.40,631.90,631.35,631.85,2030,1786699686985-0,md:candles:1m,1786699689702
1786699739999,IIFL,1m,631.90,631.90,631.15,631.45,9444,1786699747040-0,md:candles:1m,1786699754023
1786699799999,IIFL,1m,631.25,631.85,631.25,631.35,3994,1786699805190-0,md:candles:1m,1786699807941
1786699859999,IIFL,1m,631.05,631.50,631.05,631.10,1186,1786699868076-0,md:candles:1m,1786699871843
1786699919999,IIFL,1m,631.20,631.65,631.10,631.55,2267,1786699927524-0,md:candles:1m,1786699936026
1786699979999,IIFL,1m,631.65,631.75,631.45,631.75,861,1786699985958-0,md:candles:1m,1786699989617
1786700039999,IIFL,1m,631.60,631.75,631.50,631.65,3848,1786700046225-0,md:candles:1m,1786700051805
1786700099999,IIFL,1m,631.65,631.65,631.50,631.50,1818,1786700109098-0,md:candles:1m,1786700118244
1786700159999,IIFL,1m,631.65,631.65,631.00,631.05,2788,1786700167258-0,md:candles:1m,1786700171522
1786700219999,IIFL,1m,631.30,631.30,630.50,630.50,7139,1786700227599-0,md:candles:1m,1786700233604
1786700279999,IIFL,1m,630.75,630.75,630.50,630.50,4579,1786700289606-0,md:candles:1m,1786700298079
1786700339999,IIFL,1m,630.50,632.40,630.50,632.00,12320,1786700349549-0,md:candles:1m,1786700351053
1786700399999,IIFL,1m,632.05,632.55,631.00,632.40,15421,1786700408587-0,md:candles:1m,1786700412580
1786700459999,IIFL,1m,632.90,632.90,631.55,631.55,2252,1786700465404-0,md:candles:1m,1786700476026
1786700519999,IIFL,1m,631.70,631.75,630.35,631.10,1395,1786700526133-0,md:candles:1m,1786700529452
1786700579999,IIFL,1m,631.05,631.30,630.70,630.70,1344,1786700585433-0,md:candles:1m,1786700591306
1786700639999,IIFL,1m,630.85,631.25,630.70,631.20,1272,1786700650677-0,md:candles:1m,1786700653590
