ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,INDHOTEL,10m,720.05,720.20,719.80,719.80,7295,1786699267322-0,md:candles:10m,1786699276624
1786699799999,INDHOTEL,10m,719.80,720.50,719.80,720.00,15149,1786699866160-0,md:candles:10m,1786699876284
1786700399999,INDHOTEL,10m,719.70,720.50,719.50,720.05,88804,1786700467484-0,md:candles:10m,1786700471301
1786700999999,INDHOTEL,10m,720.00,720.05,719.30,720.00,116563,1786701071486-0,md:candles:10m,1786701080910
1786701599999,INDHOTEL,10m,720.00,720.00,720.00,720.00,1351433,1786703041398-0,md:candles:10m,1786703049608
1786702803000,INDHOTEL,1d,720.05,720.50,719.30,720.00,1579244,1786702808335-0,md:candles:1d,1786702818543
1786698959999,INDHOTEL,1m,720.05,720.20,720.05,720.20,67,1786698965516-0,md:candles:1m,1786698974630
1786699019999,INDHOTEL,1m,720.05,720.05,720.00,720.05,1281,1786699025576-0,md:candles:1m,1786699028548
1786699079999,INDHOTEL,1m,720.00,720.10,719.90,719.90,4822,1786699089826-0,md:candles:1m,1786699094422
1786699139999,INDHOTEL,1m,720.00,720.00,719.90,719.90,203,1786699147940-0,md:candles:1m,1786699158101
1786699199999,INDHOTEL,1m,719.90,719.95,719.80,719.80,922,1786699208344-0,md:candles:1m,1786699208603
1786699259999,INDHOTEL,1m,719.80,719.95,719.80,719.95,343,1786699267315-0,md:candles:1m,1786699273120
1786699319999,INDHOTEL,1m,719.90,720.50,719.80,720.25,1695,1786699325897-0,md:candles:1m,1786699326703
1786699379999,INDHOTEL,1m,720.25,720.40,719.80,720.10,4630,1786699385696-0,md:candles:1m,1786699391745
1786699439999,INDHOTEL,1m,719.80,720.10,719.80,719.95,444,1786699445825-0,md:candles:1m,1786699457822
1786699499999,INDHOTEL,1m,720.00,720.10,720.00,720.00,218,1786699507122-0,md:candles:1m,1786699511111
1786699559999,INDHOTEL,1m,720.05,720.10,719.95,719.95,503,1786699570563-0,md:candles:1m,1786699576085
1786699619999,INDHOTEL,1m,719.95,720.15,719.95,720.00,1590,1786699629984-0,md:candles:1m,1786699639246
1786699679999,INDHOTEL,1m,719.95,720.10,719.95,720.00,696,1786699691015-0,md:candles:1m,1786699701410
1786699739999,INDHOTEL,1m,720.00,720.10,719.95,720.00,3128,1786699750282-0,md:candles:1m,1786699754023
1786699799999,INDHOTEL,1m,720.00,720.00,719.90,720.00,1902,1786699808553-0,md:candles:1m,1786699821286
1786699859999,INDHOTEL,1m,719.70,719.70,719.50,719.65,6255,1786699866116-0,md:candles:1m,1786699871843
1786699919999,INDHOTEL,1m,719.55,719.65,719.50,719.65,2340,1786699928114-0,md:candles:1m,1786699936026
1786699979999,INDHOTEL,1m,719.70,720.25,719.65,720.25,5789,1786699988837-0,md:candles:1m,1786699989617
1786700039999,INDHOTEL,1m,720.30,720.50,720.25,720.45,1297,1786700047172-0,md:candles:1m,1786700051805
1786700099999,INDHOTEL,1m,720.35,720.50,720.20,720.30,1907,1786700105214-0,md:candles:1m,1786700105816
1786700159999,INDHOTEL,1m,720.40,720.40,719.90,720.00,9307,1786700168105-0,md:candles:1m,1786700171522
1786700219999,INDHOTEL,1m,720.05,720.05,720.00,720.05,10774,1786700230846-0,md:candles:1m,1786700233604
1786700279999,INDHOTEL,1m,720.05,720.05,720.00,720.05,14173,1786700285803-0,md:candles:1m,1786700286220
1786700339999,INDHOTEL,1m,720.00,720.05,720.00,720.05,2544,1786700346422-0,md:candles:1m,1786700351053
1786700399999,INDHOTEL,1m,720.00,720.05,719.70,720.05,34418,1786700406477-0,md:candles:1m,1786700412580
1786700459999,INDHOTEL,1m,720.00,720.05,720.00,720.00,24729,1786700467461-0,md:candles:1m,1786700476026
1786700519999,INDHOTEL,1m,720.05,720.05,719.75,720.05,22713,1786700525446-0,md:candles:1m,1786700529452
1786700579999,INDHOTEL,1m,720.00,720.05,719.30,719.75,38978,1786700586855-0,md:candles:1m,1786700591306
1786700639999,INDHOTEL,1m,720.00,720.05,720.00,720.00,14563,1786700647174-0,md:candles:1m,1786700653590
1786700699999,INDHOTEL,1m,720.05,720.05,720.00,720.05,15548,1786700705470-0,md:candles:1m,1786700715149
1786700759999,INDHOTEL,1m,720.00,720.00,720.00,720.00,32,1786701009497-0,md:candles:1m,1786701010481
1786701059999,INDHOTEL,1m,720.00,720.00,720.00,720.00,19470,1786701071483-0,md:candles:1m,1786701071890
1786701119999,INDHOTEL,1m,720.00,720.00,720.00,720.00,5193,1786701134179-0,md:candles:1m,1786701137210
1786701179999,INDHOTEL,1m,720.00,720.00,720.00,720.00,1435,1786701188301-0,md:candles:1m,1786701191510
1786701239999,INDHOTEL,1m,720.00,720.00,720.00,720.00,358,1786701255090-0,md:candles:1m,1786701260413
1786701299999,INDHOTEL,1m,720.00,720.00,720.00,720.00,222,1786701310677-0,md:candles:1m,1786701313567
1786701359999,INDHOTEL,1m,720.00,720.00,720.00,720.00,611,1786701370451-0,md:candles:1m,1786701379364
1786701419999,INDHOTEL,1m,720.00,720.00,720.00,720.00,334,1786701436370-0,md:candles:1m,1786701443578
1786701479999,INDHOTEL,1m,720.00,720.00,720.00,720.00,37,1786701492864-0,md:candles:1m,1786701496799
1786701539999,INDHOTEL,1m,720.00,720.00,720.00,720.00,1323773,1786702808334-0,md:candles:1m,1786702808525
1786702859999,INDHOTEL,1m,720.00,720.00,720.00,720.00,81,1786703041395-0,md:candles:1m,1786703044208
1786703039999,INDHOTEL,1m,720.00,720.00,720.00,720.00,10,1786703079449-0,md:candles:1m,1786703087656
