ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,INDIANB,10m,891.75,891.90,891.50,891.65,4298,1786699270579-0,md:candles:10m,1786699276624
1786699799999,INDIANB,10m,891.65,892.50,891.65,892.05,15575,1786699870168-0,md:candles:10m,1786699876284
1786700399999,INDIANB,10m,892.50,892.55,890.00,890.15,46933,1786700466472-0,md:candles:10m,1786700471301
1786700999999,INDIANB,10m,890.10,893.00,888.45,893.00,24116,1786701083112-0,md:candles:10m,1786701092722
1786702808000,INDIANB,1d,891.75,894.95,888.45,894.95,821413,1786702813537-0,md:candles:1d,1786702818543
1786698959999,INDIANB,1m,891.75,891.75,891.50,891.70,161,1786698966420-0,md:candles:1m,1786698974630
1786699019999,INDIANB,1m,891.50,891.70,891.50,891.70,2346,1786699028594-0,md:candles:1m,1786699041361
1786699079999,INDIANB,1m,891.60,891.80,891.50,891.80,1122,1786699085721-0,md:candles:1m,1786699094422
1786699139999,INDIANB,1m,891.80,891.90,891.70,891.70,249,1786699154106-0,md:candles:1m,1786699158101
1786699199999,INDIANB,1m,891.70,891.75,891.65,891.65,420,1786699207364-0,md:candles:1m,1786699208603
1786699259999,INDIANB,1m,891.65,892.50,891.65,891.95,5201,1786699270575-0,md:candles:1m,1786699273120
1786699319999,INDIANB,1m,891.95,892.25,891.90,892.10,791,1786699325992-0,md:candles:1m,1786699326703
1786699379999,INDIANB,1m,892.30,892.40,892.10,892.30,594,1786699388928-0,md:candles:1m,1786699391745
1786699439999,INDIANB,1m,892.30,892.50,892.25,892.35,1263,1786699447479-0,md:candles:1m,1786699457822
1786699499999,INDIANB,1m,892.35,892.35,892.00,892.15,1211,1786699506152-0,md:candles:1m,1786699511111
1786699559999,INDIANB,1m,892.15,892.35,892.15,892.25,1373,1786699569393-0,md:candles:1m,1786699576085
1786699619999,INDIANB,1m,892.25,892.25,892.15,892.15,514,1786699625959-0,md:candles:1m,1786699627296
1786699679999,INDIANB,1m,892.10,892.30,892.05,892.05,1505,1786699685402-0,md:candles:1m,1786699689702
1786699739999,INDIANB,1m,892.05,892.10,891.70,892.10,2584,1786699745168-0,md:candles:1m,1786699754023
1786699799999,INDIANB,1m,892.10,892.10,892.05,892.05,539,1786699807259-0,md:candles:1m,1786699807941
1786699859999,INDIANB,1m,892.50,892.55,892.15,892.55,4477,1786699870165-0,md:candles:1m,1786699871843
1786699919999,INDIANB,1m,892.50,892.55,891.60,891.65,5554,1786699927316-0,md:candles:1m,1786699936026
1786699979999,INDIANB,1m,891.60,891.70,891.35,891.70,1137,1786699988014-0,md:candles:1m,1786699989617
1786700039999,INDIANB,1m,891.20,892.10,891.20,892.00,6218,1786700046156-0,md:candles:1m,1786700051805
1786700099999,INDIANB,1m,891.45,892.10,891.45,891.80,2830,1786700108247-0,md:candles:1m,1786700118244
1786700159999,INDIANB,1m,891.65,892.25,891.50,892.20,9500,1786700167119-0,md:candles:1m,1786700171522
1786700219999,INDIANB,1m,891.85,892.15,891.05,891.45,9529,1786700226005-0,md:candles:1m,1786700233604
1786700279999,INDIANB,1m,891.45,891.50,890.70,891.00,2263,1786700285264-0,md:candles:1m,1786700286220
1786700339999,INDIANB,1m,891.25,891.25,890.70,891.00,1484,1786700346589-0,md:candles:1m,1786700351053
1786700399999,INDIANB,1m,890.95,890.95,890.00,890.15,3941,1786700411526-0,md:candles:1m,1786700412580
1786700459999,INDIANB,1m,890.10,890.25,889.65,889.70,4223,1786700466451-0,md:candles:1m,1786700476026
1786700519999,INDIANB,1m,889.60,889.95,889.50,889.65,3267,1786700528195-0,md:candles:1m,1786700529452
1786700579999,INDIANB,1m,889.55,889.95,889.15,889.25,8498,1786700585796-0,md:candles:1m,1786700591306
1786700639999,INDIANB,1m,889.30,889.30,889.00,889.05,2298,1786700646166-0,md:candles:1m,1786700653590
1786700699999,INDIANB,1m,888.80,893.00,888.45,893.00,5580,1786700708853-0,md:candles:1m,1786700715149
1786700759999,INDIANB,1m,893.00,893.00,893.00,893.00,250,1786701008186-0,md:candles:1m,1786701010481
1786701059999,INDIANB,1m,893.00,893.00,893.00,893.00,3959,1786701083107-0,md:candles:1m,1786701094723
1786701119999,INDIANB,1m,893.00,893.00,893.00,893.00,686,1786701175486-0,md:candles:1m,1786701181490
1786701179999,INDIANB,1m,893.00,893.00,893.00,893.00,10,1786701199319-0,md:candles:1m,1786701203615
1786701239999,INDIANB,1m,893.00,893.00,893.00,893.00,1,1786701247490-0,md:candles:1m,1786701248276
1786701299999,INDIANB,1m,893.00,893.00,893.00,893.00,5795,1786701309570-0,md:candles:1m,1786701313567
1786701359999,INDIANB,1m,893.00,893.00,893.00,893.00,56,1786701388912-0,md:candles:1m,1786701390103
1786701419999,INDIANB,1m,893.00,893.00,893.00,893.00,23,1786701428475-0,md:candles:1m,1786701432770
1786701479999,INDIANB,1m,893.00,893.00,893.00,893.00,30,1786701499670-0,md:candles:1m,1786701507390
1786701539999,INDIANB,1m,893.00,894.95,893.00,894.95,719931,1786702813536-0,md:candles:1m,1786702820532
1786699799999,INDIANB,30m,891.75,892.50,891.50,892.05,19873,1786699870170-0,md:candles:30m,1786699872287
1786699199999,INDIANB,5m,891.75,891.90,891.50,891.65,4298,1786699270577-0,md:candles:5m,1786699276624
1786699499999,INDIANB,5m,891.65,892.50,891.65,892.15,9060,1786699569401-0,md:candles:5m,1786699570970
1786699799999,INDIANB,5m,892.15,892.35,891.70,892.05,6515,1786699870167-0,md:candles:5m,1786699880291
1786700099999,INDIANB,5m,892.50,892.55,891.20,891.80,20216,1786700167124-0,md:candles:5m,1786700170829
1786700399999,INDIANB,5m,891.65,892.25,890.00,890.15,26717,1786700466470-0,md:candles:5m,1786700471362
1786700699999,INDIANB,5m,890.10,893.00,888.45,893.00,23866,1786701008189-0,md:candles:5m,1786701013188
1786700999999,INDIANB,5m,893.00,893.00,893.00,893.00,250,1786701083111-0,md:candles:5m,1786701092706
1786701299999,INDIANB,5m,893.00,893.00,893.00,893.00,10451,1786701388914-0,md:candles:5m,1786701390103
