ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,INDIGO,10m,5337.00,5338.50,5333.00,5334.00,1530,1786699266281-0,md:candles:10m,1786699276624
1786699799999,INDIGO,10m,5335.00,5337.00,5328.50,5328.50,4420,1786699869552-0,md:candles:10m,1786699876284
1786700399999,INDIGO,10m,5328.50,5336.00,5323.50,5325.00,11757,1786700465509-0,md:candles:10m,1786700471301
1786700999999,INDIGO,10m,5326.00,5326.00,5315.00,5315.00,9836,1786701076209-0,md:candles:10m,1786701080910
1786701599999,INDIGO,10m,5315.00,5315.00,5310.00,5310.00,183455,1786702892746-0,md:candles:10m,1786702895644
1786702801000,INDIGO,1d,5337.00,5338.50,5310.00,5310.00,210998,1786702806931-0,md:candles:1d,1786702807233
1786698959999,INDIGO,1m,5337.00,5338.00,5337.00,5337.50,87,1786698965917-0,md:candles:1m,1786698974630
1786699019999,INDIGO,1m,5337.00,5338.50,5337.00,5337.50,170,1786699027930-0,md:candles:1m,1786699028548
1786699079999,INDIGO,1m,5336.50,5336.50,5335.00,5335.00,294,1786699094435-0,md:candles:1m,1786699094422
1786699139999,INDIGO,1m,5335.00,5336.50,5334.00,5334.00,356,1786699145902-0,md:candles:1m,1786699146984
1786699199999,INDIGO,1m,5334.00,5336.00,5333.00,5334.00,623,1786699206910-0,md:candles:1m,1786699208603
1786699259999,INDIGO,1m,5335.00,5335.50,5332.50,5332.50,272,1786699266267-0,md:candles:1m,1786699273120
1786699319999,INDIGO,1m,5333.00,5333.00,5331.00,5332.50,1146,1786699325481-0,md:candles:1m,1786699326703
1786699379999,INDIGO,1m,5331.50,5333.00,5330.50,5330.50,153,1786699388408-0,md:candles:1m,1786699391745
1786699439999,INDIGO,1m,5332.50,5332.50,5329.50,5332.00,355,1786699447117-0,md:candles:1m,1786699457822
1786699499999,INDIGO,1m,5332.00,5337.00,5331.00,5337.00,283,1786699505384-0,md:candles:1m,1786699511111
1786699559999,INDIGO,1m,5337.00,5337.00,5331.50,5335.00,435,1786699568898-0,md:candles:1m,1786699576085
1786699619999,INDIGO,1m,5335.00,5336.50,5334.50,5335.00,335,1786699628308-0,md:candles:1m,1786699639246
1786699679999,INDIGO,1m,5335.00,5335.00,5332.00,5333.00,226,1786699688001-0,md:candles:1m,1786699689702
1786699739999,INDIGO,1m,5334.00,5334.00,5332.00,5332.50,436,1786699748798-0,md:candles:1m,1786699754023
1786699799999,INDIGO,1m,5331.00,5333.00,5328.50,5328.50,779,1786699806678-0,md:candles:1m,1786699807941
1786699859999,INDIGO,1m,5328.50,5335.00,5327.50,5331.50,2150,1786699869541-0,md:candles:1m,1786699871843
1786699919999,INDIGO,1m,5331.50,5333.50,5331.50,5333.00,789,1786699928843-0,md:candles:1m,1786699936026
1786699979999,INDIGO,1m,5333.50,5334.50,5332.50,5333.00,960,1786699987320-0,md:candles:1m,1786699989617
1786700039999,INDIGO,1m,5333.50,5336.00,5331.50,5333.50,1087,1786700047809-0,md:candles:1m,1786700051805
1786700099999,INDIGO,1m,5334.50,5335.00,5333.50,5333.50,443,1786700107417-0,md:candles:1m,1786700118244
1786700159999,INDIGO,1m,5334.00,5334.00,5329.00,5329.50,1928,1786700166573-0,md:candles:1m,1786700171522
1786700219999,INDIGO,1m,5329.50,5330.00,5323.50,5327.00,2196,1786700225314-0,md:candles:1m,1786700233604
1786700279999,INDIGO,1m,5326.00,5327.00,5325.00,5325.00,600,1786700285244-0,md:candles:1m,1786700286220
1786700339999,INDIGO,1m,5325.50,5329.00,5325.50,5326.00,697,1786700351052-0,md:candles:1m,1786700351053
1786700399999,INDIGO,1m,5328.00,5328.00,5325.00,5325.00,907,1786700410378-0,md:candles:1m,1786700412580
1786700459999,INDIGO,1m,5326.00,5326.00,5325.00,5325.00,1393,1786700465463-0,md:candles:1m,1786700476026
1786700519999,INDIGO,1m,5325.50,5326.00,5324.50,5324.50,1504,1786700527589-0,md:candles:1m,1786700529452
1786700579999,INDIGO,1m,5325.50,5325.50,5318.00,5320.50,3172,1786700585176-0,md:candles:1m,1786700591306
1786700639999,INDIGO,1m,5320.00,5323.50,5318.00,5321.00,2644,1786700645690-0,md:candles:1m,1786700653590
1786700699999,INDIGO,1m,5322.50,5322.50,5315.00,5315.00,1123,1786701007520-0,md:candles:1m,1786701010481
1786701059999,INDIGO,1m,5315.00,5315.00,5315.00,5315.00,3460,1786701076206-0,md:candles:1m,1786701082805
1786701119999,INDIGO,1m,5315.00,5315.00,5315.00,5315.00,1098,1786701126473-0,md:candles:1m,1786701126761
1786701179999,INDIGO,1m,5315.00,5315.00,5315.00,5315.00,467,1786701192810-0,md:candles:1m,1786701203615
1786701239999,INDIGO,1m,5315.00,5315.00,5315.00,5315.00,53,1786701246987-0,md:candles:1m,1786701248276
1786701299999,INDIGO,1m,5315.00,5315.00,5315.00,5315.00,140,1786701315792-0,md:candles:1m,1786701324284
1786701359999,INDIGO,1m,5315.00,5315.00,5315.00,5315.00,1835,1786701375309-0,md:candles:1m,1786701379364
1786701419999,INDIGO,1m,5315.00,5315.00,5315.00,5315.00,22,1786701427884-0,md:candles:1m,1786701432770
1786701479999,INDIGO,1m,5315.00,5315.00,5315.00,5315.00,578,1786701491149-0,md:candles:1m,1786701496799
1786701539999,INDIGO,1m,5315.00,5315.00,5310.00,5310.00,175802,1786702806926-0,md:candles:1m,1786702808525
1786702859999,INDIGO,1m,5310.00,5310.00,5310.00,5310.00,25,1786702892740-0,md:candles:1m,1786702895641
1786702919999,INDIGO,1m,5310.00,5310.00,5310.00,5310.00,1,1786703307593-0,md:candles:1m,1786703314394
1786699799999,INDIGO,30m,5337.00,5338.50,5328.50,5328.50,5950,1786699869553-0,md:candles:30m,1786699872287
1786701599999,INDIGO,30m,5328.50,5336.00,5310.00,5310.00,205048,1786702892747-0,md:candles:30m,1786702894033
1786699199999,INDIGO,5m,5337.00,5338.50,5333.00,5334.00,1530,1786699266278-0,md:candles:5m,1786699276624
1786699499999,INDIGO,5m,5335.00,5337.00,5329.50,5337.00,2209,1786699568910-0,md:candles:5m,1786699570970
1786699799999,INDIGO,5m,5337.00,5337.00,5328.50,5328.50,2211,1786699869551-0,md:candles:5m,1786699880291
1786700099999,INDIGO,5m,5328.50,5336.00,5327.50,5333.50,5429,1786700166578-0,md:candles:5m,1786700170829
1786700399999,INDIGO,5m,5334.00,5334.00,5323.50,5325.00,6328,1786700465508-0,md:candles:5m,1786700471362
1786700699999,INDIGO,5m,5326.00,5326.00,5315.00,5315.00,9836,1786701076207-0,md:candles:5m,1786701080800
1786701299999,INDIGO,5m,5315.00,5315.00,5315.00,5315.00,5218,1786701375311-0,md:candles:5m,1786701379364
1786701599999,INDIGO,5m,5315.00,5315.00,5310.00,5310.00,178237,1786702892743-0,md:candles:5m,1786702895643
