ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,INDUSINDBK,10m,1014.60,1016.30,1014.50,1015.00,17380,1786699266803-0,md:candles:10m,1786699276624
1786699799999,INDUSINDBK,10m,1014.90,1016.80,1014.40,1016.50,47979,1786699866137-0,md:candles:10m,1786699876284
1786700399999,INDUSINDBK,10m,1016.40,1017.30,1016.00,1016.20,84750,1786700471944-0,md:candles:10m,1786700482979
1786700999999,INDUSINDBK,10m,1016.10,1026.60,1016.10,1019.00,92005,1786701081431-0,md:candles:10m,1786701092722
1786701599999,INDUSINDBK,10m,1019.00,1020.80,1019.00,1020.80,1016074,1786703221300-0,md:candles:10m,1786703228399
1786702800000,INDUSINDBK,1d,1014.60,1026.60,1014.40,1020.80,1258188,1786702805923-0,md:candles:1d,1786702807233
1786698959999,INDUSINDBK,1m,1014.60,1016.00,1014.60,1016.00,4953,1786698970530-0,md:candles:1m,1786698974630
1786699019999,INDUSINDBK,1m,1016.30,1016.30,1014.90,1015.30,3828,1786699025555-0,md:candles:1m,1786699028548
1786699079999,INDUSINDBK,1m,1014.90,1015.50,1014.90,1015.00,3580,1786699085398-0,md:candles:1m,1786699094422
1786699139999,INDUSINDBK,1m,1015.00,1015.50,1014.90,1014.90,3502,1786699145174-0,md:candles:1m,1786699146984
1786699199999,INDUSINDBK,1m,1014.90,1015.00,1014.50,1015.00,1517,1786699206018-0,md:candles:1m,1786699208603
1786699259999,INDUSINDBK,1m,1014.90,1015.00,1014.40,1014.70,1070,1786699266764-0,md:candles:1m,1786699273120
1786699319999,INDUSINDBK,1m,1014.40,1015.00,1014.40,1015.00,4136,1786699325842-0,md:candles:1m,1786699326703
1786699379999,INDUSINDBK,1m,1014.80,1015.20,1014.70,1015.00,4377,1786699387590-0,md:candles:1m,1786699391745
1786699439999,INDUSINDBK,1m,1015.00,1015.40,1014.80,1015.00,4989,1786699445901-0,md:candles:1m,1786699457822
1786699499999,INDUSINDBK,1m,1014.70,1015.00,1014.70,1015.00,1150,1786699506927-0,md:candles:1m,1786699511111
1786699559999,INDUSINDBK,1m,1014.70,1015.00,1014.40,1014.80,1459,1786699566977-0,md:candles:1m,1786699576085
1786699619999,INDUSINDBK,1m,1014.70,1014.90,1014.60,1014.90,1971,1786699627007-0,md:candles:1m,1786699627296
1786699679999,INDUSINDBK,1m,1014.60,1016.40,1014.60,1016.20,19453,1786699688196-0,md:candles:1m,1786699689702
1786699739999,INDUSINDBK,1m,1016.10,1016.80,1016.00,1016.70,5893,1786699745784-0,md:candles:1m,1786699754023
1786699799999,INDUSINDBK,1m,1016.70,1016.70,1016.10,1016.50,3481,1786699805362-0,md:candles:1m,1786699807941
1786699859999,INDUSINDBK,1m,1016.40,1016.40,1016.00,1016.30,5363,1786699866098-0,md:candles:1m,1786699871843
1786699919999,INDUSINDBK,1m,1016.40,1017.00,1016.10,1016.80,6554,1786699927619-0,md:candles:1m,1786699936026
1786699979999,INDUSINDBK,1m,1016.90,1017.30,1016.00,1016.50,26322,1786699985524-0,md:candles:1m,1786699989617
1786700039999,INDUSINDBK,1m,1016.20,1016.90,1016.10,1016.80,4730,1786700045886-0,md:candles:1m,1786700051805
1786700099999,INDUSINDBK,1m,1016.90,1016.90,1016.00,1016.50,5864,1786700109242-0,md:candles:1m,1786700118244
1786700159999,INDUSINDBK,1m,1017.00,1017.30,1016.70,1017.00,9442,1786700165226-0,md:candles:1m,1786700171522
1786700219999,INDUSINDBK,1m,1017.00,1017.00,1016.20,1016.20,6467,1786700227833-0,md:candles:1m,1786700233604
1786700279999,INDUSINDBK,1m,1016.20,1016.20,1016.00,1016.10,5676,1786700289810-0,md:candles:1m,1786700298079
1786700339999,INDUSINDBK,1m,1016.00,1017.00,1016.00,1016.60,8200,1786700350385-0,md:candles:1m,1786700351053
1786700399999,INDUSINDBK,1m,1016.70,1016.70,1016.00,1016.20,6132,1786700408608-0,md:candles:1m,1786700412580
1786700459999,INDUSINDBK,1m,1016.10,1017.00,1016.10,1016.80,17588,1786700471933-0,md:candles:1m,1786700476026
1786700519999,INDUSINDBK,1m,1017.00,1017.50,1017.00,1017.40,11625,1786700526322-0,md:candles:1m,1786700529452
1786700579999,INDUSINDBK,1m,1017.40,1018.00,1016.90,1017.70,6365,1786700585278-0,md:candles:1m,1786700591306
1786700639999,INDUSINDBK,1m,1017.70,1020.10,1016.80,1020.10,10658,1786700646482-0,md:candles:1m,1786700653590
1786700699999,INDUSINDBK,1m,1020.30,1026.60,1019.00,1019.00,45659,1786700707247-0,md:candles:1m,1786700715149
1786700759999,INDUSINDBK,1m,1019.00,1019.00,1019.00,1019.00,110,1786701006088-0,md:candles:1m,1786701010481
1786701059999,INDUSINDBK,1m,1019.00,1019.00,1019.00,1019.00,6321,1786701081424-0,md:candles:1m,1786701082805
1786701119999,INDUSINDBK,1m,1019.00,1019.00,1019.00,1019.00,384,1786701161726-0,md:candles:1m,1786701171344
1786701179999,INDUSINDBK,1m,1019.00,1019.00,1019.00,1019.00,14,1786701197663-0,md:candles:1m,1786701203615
1786701239999,INDUSINDBK,1m,1019.00,1019.00,1019.00,1019.00,100,1786701295850-0,md:candles:1m,1786701303271
1786701299999,INDUSINDBK,1m,1019.00,1019.00,1019.00,1019.00,10,1786701307872-0,md:candles:1m,1786701313567
1786701359999,INDUSINDBK,1m,1019.00,1019.00,1019.00,1019.00,54,1786701380476-0,md:candles:1m,1786701390103
1786701419999,INDUSINDBK,1m,1019.00,1019.00,1019.00,1019.00,13,1786701426559-0,md:candles:1m,1786701432770
1786701479999,INDUSINDBK,1m,1019.00,1019.00,1019.00,1019.00,99,1786701505451-0,md:candles:1m,1786701507390
1786701539999,INDUSINDBK,1m,1019.00,1020.80,1019.00,1020.80,1009079,1786702805921-0,md:candles:1m,1786702808525
1786702859999,INDUSINDBK,1m,1020.80,1020.80,1020.80,1020.80,371,1786703221298-0,md:candles:1m,1786703228996
1786703219999,INDUSINDBK,1m,1020.80,1020.80,1020.80,1020.80,1,1786703347240-0,md:candles:1m,1786703348029
1786699799999,INDUSINDBK,30m,1014.60,1016.80,1014.40,1016.50,65359,1786699866139-0,md:candles:30m,1786699872287
1786701599999,INDUSINDBK,30m,1016.40,1026.60,1016.00,1020.80,1192829,1786703221301-0,md:candles:30m,1786703225301
1786699199999,INDUSINDBK,5m,1014.60,1016.30,1014.50,1015.00,17380,1786699266802-0,md:candles:5m,1786699276624
1786699499999,INDUSINDBK,5m,1014.90,1015.40,1014.40,1015.00,15722,1786699566988-0,md:candles:5m,1786699570970
1786699799999,INDUSINDBK,5m,1014.70,1016.80,1014.40,1016.50,32257,1786699866135-0,md:candles:5m,1786699868444
1786700099999,INDUSINDBK,5m,1016.40,1017.30,1016.00,1016.50,48833,1786700165227-0,md:candles:5m,1786700170829
1786700399999,INDUSINDBK,5m,1017.00,1017.30,1016.00,1016.20,35917,1786700471941-0,md:candles:5m,1786700482979
1786700699999,INDUSINDBK,5m,1016.10,1026.60,1016.10,1019.00,91895,1786701006090-0,md:candles:5m,1786701013188
1786700999999,INDUSINDBK,5m,1019.00,1019.00,1019.00,1019.00,110,1786701081428-0,md:candles:5m,1786701092706
1786701299999,INDUSINDBK,5m,1019.00,1019.00,1019.00,1019.00,6829,1786701380479-0,md:candles:5m,1786701390103
1786701599999,INDUSINDBK,5m,1019.00,1020.80,1019.00,1020.80,1009245,1786703221299-0,md:candles:5m,1786703229106
1786703099999,INDUSINDBK,5m,1020.80,1020.80,1020.80,1020.80,371,1786703347243-0,md:candles:5m,1786703351445
