ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,INDUSTOWER,10m,386.40,386.75,386.15,386.50,29039,1786699266805-0,md:candles:10m,1786699276624
1786699799999,INDUSTOWER,10m,386.50,386.70,385.80,385.80,98512,1786699865491-0,md:candles:10m,1786699876284
1786700399999,INDUSTOWER,10m,385.95,386.15,385.15,385.50,329937,1786700471951-0,md:candles:10m,1786700482979
1786700999999,INDUSTOWER,10m,385.60,385.80,384.75,385.35,220089,1786701074995-0,md:candles:10m,1786701080910
1786701599999,INDUSTOWER,10m,385.35,385.35,384.35,384.35,5861466,1786702999250-0,md:candles:10m,1786703004540
1786702800000,INDUSTOWER,1d,386.40,386.75,384.35,384.35,6539043,1786702805930-0,md:candles:1d,1786702807233
1786698959999,INDUSTOWER,1m,386.40,386.50,386.40,386.40,718,1786698970535-0,md:candles:1m,1786698974630
1786699019999,INDUSTOWER,1m,386.50,386.55,386.30,386.55,10424,1786699026642-0,md:candles:1m,1786699028548
1786699079999,INDUSTOWER,1m,386.50,386.50,386.15,386.30,3656,1786699085519-0,md:candles:1m,1786699094422
1786699139999,INDUSTOWER,1m,386.30,386.60,386.25,386.50,10488,1786699150673-0,md:candles:1m,1786699158101
1786699199999,INDUSTOWER,1m,386.75,386.75,386.50,386.50,3753,1786699205610-0,md:candles:1m,1786699208603
1786699259999,INDUSTOWER,1m,386.50,386.60,386.50,386.50,1792,1786699266765-0,md:candles:1m,1786699273120
1786699319999,INDUSTOWER,1m,386.55,386.70,386.50,386.55,9559,1786699325844-0,md:candles:1m,1786699326703
1786699379999,INDUSTOWER,1m,386.65,386.70,386.20,386.40,14310,1786699387595-0,md:candles:1m,1786699391745
1786699439999,INDUSTOWER,1m,386.25,386.45,386.20,386.35,4266,1786699445663-0,md:candles:1m,1786699457822
1786699499999,INDUSTOWER,1m,386.35,386.50,386.15,386.25,6373,1786699505483-0,md:candles:1m,1786699511111
1786699559999,INDUSTOWER,1m,386.25,386.35,385.90,385.95,7173,1786699567676-0,md:candles:1m,1786699576085
1786699619999,INDUSTOWER,1m,385.95,386.20,385.95,386.10,12300,1786699627011-0,md:candles:1m,1786699627296
1786699679999,INDUSTOWER,1m,386.10,386.25,386.05,386.10,12172,1786699688200-0,md:candles:1m,1786699689702
1786699739999,INDUSTOWER,1m,386.10,386.25,386.00,386.00,13563,1786699745473-0,md:candles:1m,1786699754023
1786699799999,INDUSTOWER,1m,385.90,386.10,385.80,385.80,17004,1786699805492-0,md:candles:1m,1786699807941
1786699859999,INDUSTOWER,1m,385.95,386.10,385.90,385.90,51378,1786699865485-0,md:candles:1m,1786699871843
1786699919999,INDUSTOWER,1m,386.15,386.15,385.70,385.80,10441,1786699927621-0,md:candles:1m,1786699936026
1786699979999,INDUSTOWER,1m,385.90,385.95,385.80,385.80,13204,1786699986169-0,md:candles:1m,1786699989617
1786700039999,INDUSTOWER,1m,385.90,385.95,385.80,385.80,12516,1786700046499-0,md:candles:1m,1786700051805
1786700099999,INDUSTOWER,1m,385.85,385.90,385.70,385.70,15457,1786700109247-0,md:candles:1m,1786700118244
1786700159999,INDUSTOWER,1m,385.65,385.70,385.55,385.60,47051,1786700165307-0,md:candles:1m,1786700171522
1786700219999,INDUSTOWER,1m,385.55,385.60,385.40,385.55,23917,1786700227838-0,md:candles:1m,1786700233604
1786700279999,INDUSTOWER,1m,385.55,385.55,385.35,385.35,83086,1786700289812-0,md:candles:1m,1786700298079
1786700339999,INDUSTOWER,1m,385.15,385.60,385.15,385.60,59517,1786700350390-0,md:candles:1m,1786700351053
