ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,INFY,10m,1166.70,1168.30,1166.30,1168.30,67682,1786699265191-0,md:candles:10m,1786699265610
1786699799999,INFY,10m,1168.20,1170.90,1167.90,1170.50,186992,1786699866054-0,md:candles:10m,1786699876284
1786700399999,INFY,10m,1170.10,1172.80,1168.60,1169.70,320269,1786700466281-0,md:candles:10m,1786700471301
1786700999999,INFY,10m,1169.50,1170.00,1168.00,1169.20,176829,1786701068217-0,md:candles:10m,1786701070102
1786701599999,INFY,10m,1169.20,1169.20,1169.20,1169.20,5680197,1786702871912-0,md:candles:10m,1786702875014
1786702800000,INFY,1d,1166.70,1172.80,1166.30,1169.20,6431969,1786702805632-0,md:candles:1d,1786702807233
1786698959999,INFY,1m,1166.70,1167.30,1166.30,1167.00,10551,1786698965432-0,md:candles:1m,1786698974630
1786699019999,INFY,1m,1166.60,1167.50,1166.60,1167.40,15028,1786699025735-0,md:candles:1m,1786699028548
1786699079999,INFY,1m,1167.40,1167.70,1167.00,1167.30,14289,1786699085325-0,md:candles:1m,1786699094422
1786699139999,INFY,1m,1167.50,1167.90,1167.20,1167.60,14307,1786699145289-0,md:candles:1m,1786699146984
1786699199999,INFY,1m,1167.80,1168.30,1167.50,1168.30,13507,1786699205604-0,md:candles:1m,1786699208603
1786699259999,INFY,1m,1168.20,1168.80,1167.90,1168.50,14000,1786699265176-0,md:candles:1m,1786699273120
1786699319999,INFY,1m,1168.50,1169.30,1168.40,1169.30,17403,1786699330187-0,md:candles:1m,1786699339124
1786699379999,INFY,1m,1169.50,1170.40,1169.40,1170.30,28177,1786699385703-0,md:candles:1m,1786699391745
1786699439999,INFY,1m,1170.00,1170.70,1169.80,1170.70,20681,1786699445785-0,md:candles:1m,1786699457822
1786699499999,INFY,1m,1170.60,1170.90,1170.10,1170.50,19472,1786699506071-0,md:candles:1m,1786699511111
1786699559999,INFY,1m,1170.70,1170.80,1169.80,1170.80,18819,1786699565449-0,md:candles:1m,1786699576085
1786699619999,INFY,1m,1170.60,1170.80,1170.00,1170.40,17627,1786699625600-0,md:candles:1m,1786699627296
1786699679999,INFY,1m,1170.50,1170.60,1169.80,1170.50,16802,1786699685406-0,md:candles:1m,1786699689702
1786699739999,INFY,1m,1170.10,1170.60,1169.90,1170.50,18869,1786699745181-0,md:candles:1m,1786699754023
1786699799999,INFY,1m,1170.00,1170.70,1170.00,1170.50,15142,1786699805338-0,md:candles:1m,1786699807941
1786699859999,INFY,1m,1170.10,1172.30,1169.40,1172.00,49301,1786699866032-0,md:candles:1m,1786699871843
1786699919999,INFY,1m,1172.00,1172.30,1171.90,1172.10,24690,1786699925933-0,md:candles:1m,1786699936026
