ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,INOXWIND,10m,73.83,73.83,73.71,73.78,62741,1786699266770-0,md:candles:10m,1786699276624
1786699799999,INOXWIND,10m,73.78,73.80,73.64,73.69,85572,1786699867999-0,md:candles:10m,1786699876284
1786700399999,INOXWIND,10m,73.69,73.80,73.60,73.69,368822,1786700471500-0,md:candles:10m,1786700482979
1786700999999,INOXWIND,10m,73.70,73.85,73.65,73.66,303114,1786701068306-0,md:candles:10m,1786701070102
1786701599999,INOXWIND,10m,73.66,73.67,73.66,73.67,6059377,1786702899854-0,md:candles:10m,1786702906259
1786702800000,INOXWIND,1d,73.83,73.85,73.60,73.67,6879626,1786702805649-0,md:candles:1d,1786702807233
1786698959999,INOXWIND,1m,73.83,73.83,73.80,73.82,2039,1786698970336-0,md:candles:1m,1786698974630
1786699019999,INOXWIND,1m,73.81,73.81,73.76,73.79,23681,1786699026605-0,md:candles:1m,1786699028548
1786699079999,INOXWIND,1m,73.74,73.79,73.71,73.77,12421,1786699087304-0,md:candles:1m,1786699094422
1786699139999,INOXWIND,1m,73.74,73.83,73.74,73.79,12727,1786699146692-0,md:candles:1m,1786699146984
1786699199999,INOXWIND,1m,73.80,73.82,73.73,73.78,11873,1786699205489-0,md:candles:1m,1786699208603
1786699259999,INOXWIND,1m,73.78,73.80,73.74,73.76,8180,1786699266734-0,md:candles:1m,1786699273120
1786699319999,INOXWIND,1m,73.73,73.79,73.73,73.78,9447,1786699325820-0,md:candles:1m,1786699326703
1786699379999,INOXWIND,1m,73.75,73.78,73.73,73.76,2685,1786699387490-0,md:candles:1m,1786699391745
1786699439999,INOXWIND,1m,73.73,73.76,73.71,73.72,11877,1786699445678-0,md:candles:1m,1786699457822
1786699499999,INOXWIND,1m,73.75,73.75,73.70,73.74,14014,1786699506891-0,md:candles:1m,1786699511111
1786699559999,INOXWIND,1m,73.71,73.75,73.71,73.75,4737,1786699566953-0,md:candles:1m,1786699576085
1786699619999,INOXWIND,1m,73.73,73.75,73.73,73.75,4715,1786699626721-0,md:candles:1m,1786699627296
1786699679999,INOXWIND,1m,73.73,73.75,73.71,73.75,7777,1786699688007-0,md:candles:1m,1786699689702
1786699739999,INOXWIND,1m,73.75,73.75,73.69,73.69,15888,1786699747026-0,md:candles:1m,1786699754023
1786699799999,INOXWIND,1m,73.65,73.69,73.64,73.69,6252,1786699805162-0,md:candles:1m,1786699807941
1786699859999,INOXWIND,1m,73.69,73.69,73.63,73.68,34484,1786699867982-0,md:candles:1m,1786699871843
1786699919999,INOXWIND,1m,73.67,73.68,73.64,73.65,24835,1786699927476-0,md:candles:1m,1786699936026
1786699979999,INOXWIND,1m,73.64,73.66,73.64,73.66,26630,1786699985825-0,md:candles:1m,1786699989617
1786700039999,INOXWIND,1m,73.65,73.71,73.65,73.70,26569,1786700046111-0,md:candles:1m,1786700051805
1786700099999,INOXWIND,1m,73.71,73.71,73.65,73.65,10156,1786700108935-0,md:candles:1m,1786700118244
1786700159999,INOXWIND,1m,73.68,73.68,73.65,73.67,34736,1786700167239-0,md:candles:1m,1786700171522
1786700219999,INOXWIND,1m,73.66,73.70,73.66,73.70,65856,1786700227553-0,md:candles:1m,1786700233604
1786700279999,INOXWIND,1m,73.70,73.80,73.70,73.79,78356,1786700289502-0,md:candles:1m,1786700298079
1786700339999,INOXWIND,1m,73.77,73.78,73.60,73.72,45352,1786700349446-0,md:candles:1m,1786700351053
1786700399999,INOXWIND,1m,73.72,73.72,73.66,73.69,21848,1786700410141-0,md:candles:1m,1786700412580
1786700459999,INOXWIND,1m,73.70,73.78,73.70,73.78,39182,1786700471457-0,md:candles:1m,1786700476026
1786700519999,INOXWIND,1m,73.77,73.85,73.77,73.80,26318,1786700525976-0,md:candles:1m,1786700529452
1786700579999,INOXWIND,1m,73.78,73.85,73.65,73.80,196027,1786700588636-0,md:candles:1m,1786700591306
1786700639999,INOXWIND,1m,73.79,73.80,73.73,73.73,17024,1786700650577-0,md:candles:1m,1786700653590
1786700699999,INOXWIND,1m,73.76,73.77,73.68,73.75,23492,1786700706952-0,md:candles:1m,1786700715149
1786700759999,INOXWIND,1m,73.66,73.66,73.66,73.66,1071,1786701005780-0,md:candles:1m,1786701010481
1786701059999,INOXWIND,1m,73.66,73.66,73.66,73.66,4494,1786701068296-0,md:candles:1m,1786701071890
1786701119999,INOXWIND,1m,73.66,73.66,73.66,73.66,2484,1786701137308-0,md:candles:1m,1786701149293
1786701179999,INOXWIND,1m,73.66,73.66,73.66,73.66,6849,1786701197415-0,md:candles:1m,1786701203615
1786701239999,INOXWIND,1m,73.66,73.66,73.66,73.66,6515,1786701245659-0,md:candles:1m,1786701248276
1786701299999,INOXWIND,1m,73.66,73.66,73.66,73.66,1264,1786701307571-0,md:candles:1m,1786701313567
1786701359999,INOXWIND,1m,73.66,73.66,73.66,73.66,5230,1786701367365-0,md:candles:1m,1786701367943
1786701419999,INOXWIND,1m,73.66,73.66,73.66,73.66,11591,1786701426285-0,md:candles:1m,1786701432770
1786701479999,INOXWIND,1m,73.66,73.66,73.66,73.66,15048,1786701489268-0,md:candles:1m,1786701496799
1786701539999,INOXWIND,1m,73.66,73.67,73.66,73.67,6005902,1786702805647-0,md:candles:1m,1786702808525
1786702859999,INOXWIND,1m,73.67,73.67,73.67,73.67,4561,1786702899851-0,md:candles:1m,1786702906259
1786702919999,INOXWIND,1m,73.67,73.67,73.67,73.67,119,1786702928084-0,md:candles:1m,1786702937190
1786702979999,INOXWIND,1m,73.67,73.67,73.67,73.67,205,1786703005547-0,md:candles:1m,1786703011147
1786703039999,INOXWIND,1m,73.67,73.67,73.67,73.67,45,1786703055723-0,md:candles:1m,1786703065931
1786703099999,INOXWIND,1m,73.67,73.67,73.67,73.67,1011,1786703267239-0,md:candles:1m,1786703271541
1786703279999,INOXWIND,1m,73.67,73.67,73.67,73.67,50,1786703322911-0,md:candles:1m,1786703325910
1786703339999,INOXWIND,1m,73.67,73.67,73.67,73.67,45,1786703371170-0,md:candles:1m,1786703380077
1786699799999,INOXWIND,30m,73.83,73.83,73.64,73.69,148313,1786699868001-0,md:candles:30m,1786699872287
1786701599999,INOXWIND,30m,73.69,73.85,73.60,73.67,6731313,1786702899855-0,md:candles:30m,1786702905661
1786699199999,INOXWIND,5m,73.83,73.83,73.71,73.78,62741,1786699266768-0,md:candles:5m,1786699276624
1786699499999,INOXWIND,5m,73.78,73.80,73.70,73.74,46203,1786699566964-0,md:candles:5m,1786699570970
1786699799999,INOXWIND,5m,73.71,73.75,73.64,73.69,39369,1786699867997-0,md:candles:5m,1786699868444
1786700099999,INOXWIND,5m,73.69,73.71,73.63,73.65,122674,1786700167250-0,md:candles:5m,1786700170829
1786700399999,INOXWIND,5m,73.68,73.80,73.60,73.69,246148,1786700471497-0,md:candles:5m,1786700482979
1786700699999,INOXWIND,5m,73.70,73.85,73.65,73.75,302043,1786701005783-0,md:candles:5m,1786701013188
1786700999999,INOXWIND,5m,73.66,73.66,73.66,73.66,1071,1786701068303-0,md:candles:5m,1786701068420
1786701299999,INOXWIND,5m,73.66,73.66,73.66,73.66,21606,1786701367369-0,md:candles:5m,1786701367545
1786701599999,INOXWIND,5m,73.66,73.67,73.66,73.67,6037771,1786702899853-0,md:candles:5m,1786702906259
1786703099999,INOXWIND,5m,73.67,73.67,73.67,73.67,5941,1786703322913-0,md:candles:5m,1786703329814
