ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,IOC,10m,139.53,139.54,139.48,139.51,74847,1786699266751-0,md:candles:10m,1786699276624
1786699799999,IOC,10m,139.51,139.55,139.35,139.40,202220,1786699867968-0,md:candles:10m,1786699876284
1786700399999,IOC,10m,139.41,139.52,139.31,139.32,422589,1786700471641-0,md:candles:10m,1786700482979
1786700999999,IOC,10m,139.31,139.50,139.29,139.50,398521,1786701068222-0,md:candles:10m,1786701070102
1786701599999,IOC,10m,139.50,139.50,139.40,139.40,8682660,1786702883526-0,md:candles:10m,1786702885431
1786702800000,IOC,1d,139.53,139.55,139.29,139.40,9780837,1786702805638-0,md:candles:1d,1786702807233
1786698959999,IOC,1m,139.53,139.54,139.50,139.52,11921,1786698965584-0,md:candles:1m,1786698974630
1786699019999,IOC,1m,139.50,139.54,139.48,139.52,10687,1786699026592-0,md:candles:1m,1786699028548
1786699079999,IOC,1m,139.51,139.52,139.49,139.50,12275,1786699087287-0,md:candles:1m,1786699094422
1786699139999,IOC,1m,139.48,139.53,139.48,139.53,27839,1786699151902-0,md:candles:1m,1786699158101
1786699199999,IOC,1m,139.52,139.53,139.50,139.51,12125,1786699205476-0,md:candles:1m,1786699208603
1786699259999,IOC,1m,139.51,139.52,139.50,139.52,17599,1786699266724-0,md:candles:1m,1786699273120
1786699319999,IOC,1m,139.51,139.52,139.47,139.51,41824,1786699325816-0,md:candles:1m,1786699326703
1786699379999,IOC,1m,139.50,139.53,139.50,139.53,8906,1786699387433-0,md:candles:1m,1786699391745
1786699439999,IOC,1m,139.52,139.54,139.51,139.53,9996,1786699445639-0,md:candles:1m,1786699457822
1786699499999,IOC,1m,139.54,139.55,139.53,139.55,12387,1786699506881-0,md:candles:1m,1786699511111
1786699559999,IOC,1m,139.54,139.55,139.52,139.54,18140,1786699566941-0,md:candles:1m,1786699576085
1786699619999,IOC,1m,139.55,139.55,139.52,139.54,12001,1786699625216-0,md:candles:1m,1786699627296
1786699679999,IOC,1m,139.53,139.54,139.53,139.54,7954,1786699687802-0,md:candles:1m,1786699689702
1786699739999,IOC,1m,139.54,139.54,139.47,139.47,46828,1786699747022-0,md:candles:1m,1786699754023
1786699799999,IOC,1m,139.48,139.48,139.35,139.40,26585,1786699805557-0,md:candles:1m,1786699807941
1786699859999,IOC,1m,139.41,139.50,139.40,139.50,47964,1786699867965-0,md:candles:1m,1786699871843
1786699919999,IOC,1m,139.50,139.52,139.49,139.51,19021,1786699927447-0,md:candles:1m,1786699936026
