ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,IRCTC,10m,498.15,498.35,498.00,498.15,6407,1786699270674-0,md:candles:10m,1786699276624
1786699799999,IRCTC,10m,498.15,498.60,498.05,498.35,23694,1786699868186-0,md:candles:10m,1786699876284
1786700399999,IRCTC,10m,498.25,498.60,498.10,498.20,34304,1786700471556-0,md:candles:10m,1786700482979
1786700999999,IRCTC,10m,498.20,498.20,497.00,497.50,39921,1786701067612-0,md:candles:10m,1786701070102
1786701599999,IRCTC,10m,497.50,497.70,496.00,497.10,48577,1786702834583-0,md:candles:10m,1786702844592
1786702199999,IRCTC,10m,497.50,497.50,497.50,497.50,0,1786702892537-0,md:candles:10m,1786702895644
1786701669000,IRCTC,1d,498.15,498.60,496.00,497.10,152903,1786701675124-0,md:candles:1d,1786701677122
1786698959999,IRCTC,1m,498.15,498.30,498.00,498.00,290,1786698970517-0,md:candles:1m,1786698974630
1786699019999,IRCTC,1m,498.25,498.35,498.00,498.10,544,1786699026634-0,md:candles:1m,1786699028548
1786699079999,IRCTC,1m,498.00,498.20,498.00,498.00,2563,1786699087355-0,md:candles:1m,1786699094422
1786699139999,IRCTC,1m,498.00,498.35,498.00,498.35,2090,1786699150667-0,md:candles:1m,1786699158101
1786699199999,IRCTC,1m,498.05,498.20,498.00,498.15,920,1786699205730-0,md:candles:1m,1786699208603
1786699259999,IRCTC,1m,498.15,498.60,498.15,498.45,3286,1786699270666-0,md:candles:1m,1786699273120
1786699319999,IRCTC,1m,498.10,498.45,498.10,498.45,666,1786699329964-0,md:candles:1m,1786699339124
1786699379999,IRCTC,1m,498.10,498.60,498.10,498.40,3978,1786699387554-0,md:candles:1m,1786699391745
1786699439999,IRCTC,1m,498.20,498.55,498.10,498.20,4533,1786699445891-0,md:candles:1m,1786699457822
1786699499999,IRCTC,1m,498.40,498.50,498.10,498.40,1158,1786699506920-0,md:candles:1m,1786699511111
1786699559999,IRCTC,1m,498.20,498.40,498.05,498.30,1418,1786699567562-0,md:candles:1m,1786699576085
1786699619999,IRCTC,1m,498.30,498.60,498.30,498.35,2862,1786699626962-0,md:candles:1m,1786699627296
1786699679999,IRCTC,1m,498.35,498.35,498.10,498.15,1960,1786699687003-0,md:candles:1m,1786699689702
1786699739999,IRCTC,1m,498.20,498.20,498.20,498.20,1619,1786699752019-0,md:candles:1m,1786699754023
1786699799999,IRCTC,1m,498.50,498.50,498.20,498.35,2214,1786699805274-0,md:candles:1m,1786699807941
1786699859999,IRCTC,1m,498.25,498.50,498.15,498.50,5476,1786699868168-0,md:candles:1m,1786699871843
1786699919999,IRCTC,1m,498.50,498.50,498.15,498.30,1313,1786699927560-0,md:candles:1m,1786699936026
1786699979999,IRCTC,1m,498.30,498.60,498.30,498.60,2099,1786699986093-0,md:candles:1m,1786699989617
1786700039999,IRCTC,1m,498.60,498.60,498.35,498.50,2567,1786700046311-0,md:candles:1m,1786700051805
1786700099999,IRCTC,1m,498.55,498.55,498.10,498.40,4316,1786700109119-0,md:candles:1m,1786700118244
1786700159999,IRCTC,1m,498.40,498.40,498.20,498.40,2551,1786700172245-0,md:candles:1m,1786700182927
1786700219999,IRCTC,1m,498.40,498.40,498.15,498.35,4100,1786700227768-0,md:candles:1m,1786700233604
1786700279999,IRCTC,1m,498.35,498.55,498.35,498.50,5871,1786700289686-0,md:candles:1m,1786700298079
1786700339999,IRCTC,1m,498.35,498.50,498.20,498.25,3412,1786700349651-0,md:candles:1m,1786700351053
1786700399999,IRCTC,1m,498.25,498.40,498.15,498.20,2599,1786700410427-0,md:candles:1m,1786700412580
1786700459999,IRCTC,1m,498.20,498.20,497.65,497.80,7933,1786700471484-0,md:candles:1m,1786700476026
1786700519999,IRCTC,1m,497.95,498.00,497.65,498.00,5354,1786700526192-0,md:candles:1m,1786700529452
1786700579999,IRCTC,1m,497.95,497.95,497.65,497.65,6998,1786700590980-0,md:candles:1m,1786700591306
1786700639999,IRCTC,1m,497.70,497.80,497.70,497.75,2360,1786700646466-0,md:candles:1m,1786700653590
1786700699999,IRCTC,1m,497.70,497.95,497.70,497.95,2728,1786700707147-0,md:candles:1m,1786700715149
1786700759999,IRCTC,1m,497.90,498.00,497.85,497.90,1135,1786700766503-0,md:candles:1m,1786700777439
1786700819999,IRCTC,1m,498.00,498.00,497.85,498.00,1466,1786700826005-0,md:candles:1m,1786700827804
1786700879999,IRCTC,1m,498.00,498.00,497.50,497.55,6430,1786700889599-0,md:candles:1m,1786700899606
1786700939999,IRCTC,1m,497.55,497.70,497.20,497.70,1750,1786700945684-0,md:candles:1m,1786700950112
1786700999999,IRCTC,1m,497.70,497.70,497.00,497.50,3767,1786701005985-0,md:candles:1m,1786701010481
1786701059999,IRCTC,1m,497.50,497.50,497.00,497.45,4708,1786701067598-0,md:candles:1m,1786701071890
1786701119999,IRCTC,1m,497.60,497.60,497.00,497.20,4916,1786701125271-0,md:candles:1m,1786701126761
1786701179999,IRCTC,1m,497.00,497.55,497.00,497.55,1771,1786701185516-0,md:candles:1m,1786701191510
1786701239999,IRCTC,1m,497.55,497.70,497.30,497.70,916,1786701245742-0,md:candles:1m,1786701248276
1786701299999,IRCTC,1m,497.70,497.70,497.10,497.45,2147,1786701307786-0,md:candles:1m,1786701313567
1786701359999,IRCTC,1m,497.45,497.45,497.00,497.05,5421,1786701367546-0,md:candles:1m,1786701367943
1786701419999,IRCTC,1m,497.10,497.10,497.00,497.10,3452,1786701426473-0,md:candles:1m,1786701432770
1786701479999,IRCTC,1m,497.10,497.10,497.00,497.00,4034,1786701487763-0,md:candles:1m,1786701496799
1786701539999,IRCTC,1m,496.95,497.00,496.80,497.00,13111,1786701546849-0,md:candles:1m,1786701551354
1786701599999,IRCTC,1m,497.00,497.10,496.00,497.10,8101,1786701675122-0,md:candles:1m,1786701685132
1786701719999,IRCTC,1m,497.50,497.50,497.50,497.50,0,1786702834577-0,md:candles:1m,1786702842075
1786702859999,IRCTC,1m,497.50,497.50,497.50,497.50,212,1786702892534-0,md:candles:1m,1786702895641
1786702919999,IRCTC,1m,497.50,497.50,497.50,497.50,355,1786702928986-0,md:candles:1m,1786702937190
1786702979999,IRCTC,1m,497.50,497.50,497.50,497.50,313,1786703035187-0,md:candles:1m,1786703044208
1786703039999,IRCTC,1m,497.50,497.50,497.50,497.50,3,1786703064237-0,md:candles:1m,1786703065931
1786703099999,IRCTC,1m,497.50,497.50,497.50,497.50,1,1786703116383-0,md:candles:1m,1786703118294
1786703159999,IRCTC,1m,497.50,497.50,497.50,497.50,514,1786703189069-0,md:candles:1m,1786703195974
1786703219999,IRCTC,1m,497.50,497.50,497.50,497.50,12,1786703360259-0,md:candles:1m,1786703368956
1786699799999,IRCTC,30m,498.15,498.60,498.00,498.35,30101,1786699868187-0,md:candles:30m,1786699872287
1786701599999,IRCTC,30m,498.25,498.60,496.00,497.10,122802,1786702834584-0,md:candles:30m,1786702840590
1786699199999,IRCTC,5m,498.15,498.35,498.00,498.15,6407,1786699270672-0,md:candles:5m,1786699276624
1786699499999,IRCTC,5m,498.15,498.60,498.10,498.40,13621,1786699567565-0,md:candles:5m,1786699570970
1786699799999,IRCTC,5m,498.20,498.60,498.05,498.35,10073,1786699868185-0,md:candles:5m,1786699868444
1786700099999,IRCTC,5m,498.25,498.60,498.10,498.40,15771,1786700172247-0,md:candles:5m,1786700182927
1786700399999,IRCTC,5m,498.40,498.55,498.15,498.20,18533,1786700471554-0,md:candles:5m,1786700482979
1786700699999,IRCTC,5m,498.20,498.20,497.65,497.95,25373,1786700766506-0,md:candles:5m,1786700773441
1786700999999,IRCTC,5m,497.90,498.00,497.00,497.50,14548,1786701067611-0,md:candles:5m,1786701068420
1786701299999,IRCTC,5m,497.50,497.70,497.00,497.45,14458,1786701367549-0,md:candles:5m,1786701379364
1786701599999,IRCTC,5m,497.45,497.45,496.00,497.10,34119,1786702834581-0,md:candles:5m,1786702842575
1786701899999,IRCTC,5m,497.50,497.50,497.50,497.50,0,1786702892535-0,md:candles:5m,1786702895643
1786703099999,IRCTC,5m,497.50,497.50,497.50,497.50,884,1786703189070-0,md:candles:5m,1786703196573
