ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,IREDA,10m,116.60,116.65,116.48,116.50,45931,1786699265410-0,md:candles:10m,1786699265610
1786699799999,IREDA,10m,116.55,116.65,116.47,116.50,141655,1786699868960-0,md:candles:10m,1786699876284
1786700399999,IREDA,10m,116.49,116.60,116.29,116.55,322909,1786700465726-0,md:candles:10m,1786700471301
1786700999999,IREDA,10m,116.59,116.64,116.31,116.49,126670,1786701069284-0,md:candles:10m,1786701070102
1786701599999,IREDA,10m,116.49,116.49,116.25,116.25,3370088,1786702866403-0,md:candles:10m,1786702875014
1786702801000,IREDA,1d,116.60,116.65,116.25,116.25,4007253,1786702806448-0,md:candles:1d,1786702807233
1786698959999,IREDA,1m,116.60,116.65,116.60,116.65,407,1786698965464-0,md:candles:1m,1786698974630
1786699019999,IREDA,1m,116.65,116.65,116.56,116.62,19708,1786699027877-0,md:candles:1m,1786699028548
1786699079999,IREDA,1m,116.56,116.59,116.53,116.58,5206,1786699085664-0,md:candles:1m,1786699094422
1786699139999,IREDA,1m,116.51,116.58,116.50,116.54,9592,1786699145194-0,md:candles:1m,1786699146984
1786699199999,IREDA,1m,116.55,116.56,116.48,116.50,11018,1786699206361-0,md:candles:1m,1786699208603
1786699259999,IREDA,1m,116.55,116.58,116.50,116.55,4237,1786699265401-0,md:candles:1m,1786699273120
1786699319999,IREDA,1m,116.55,116.65,116.50,116.61,43247,1786699330712-0,md:candles:1m,1786699339124
1786699379999,IREDA,1m,116.63,116.63,116.53,116.58,10774,1786699387914-0,md:candles:1m,1786699391745
1786699439999,IREDA,1m,116.60,116.60,116.53,116.57,7057,1786699446485-0,md:candles:1m,1786699457822
1786699499999,IREDA,1m,116.62,116.65,116.59,116.64,20194,1786699508086-0,md:candles:1m,1786699511111
1786699559999,IREDA,1m,116.63,116.64,116.56,116.60,3172,1786699568106-0,md:candles:1m,1786699576085
1786699619999,IREDA,1m,116.59,116.61,116.53,116.59,17624,1786699627662-0,md:candles:1m,1786699639246
1786699679999,IREDA,1m,116.57,116.58,116.50,116.55,21959,1786699688796-0,md:candles:1m,1786699689702
1786699739999,IREDA,1m,116.55,116.55,116.50,116.54,3635,1786699748053-0,md:candles:1m,1786699754023
1786699799999,IREDA,1m,116.50,116.55,116.47,116.50,9756,1786699806109-0,md:candles:1m,1786699807941
1786699859999,IREDA,1m,116.49,116.49,116.40,116.42,12794,1786699868943-0,md:candles:1m,1786699871843
1786699919999,IREDA,1m,116.42,116.46,116.40,116.45,13097,1786699928217-0,md:candles:1m,1786699936026
1786699979999,IREDA,1m,116.44,116.46,116.37,116.37,9278,1786699986719-0,md:candles:1m,1786699989617
1786700039999,IREDA,1m,116.37,116.42,116.37,116.41,7182,1786700047204-0,md:candles:1m,1786700051805
1786700099999,IREDA,1m,116.35,116.41,116.30,116.41,40755,1786700106218-0,md:candles:1m,1786700118244
1786700159999,IREDA,1m,116.45,116.46,116.37,116.42,23209,1786700165863-0,md:candles:1m,1786700171522
1786700219999,IREDA,1m,116.37,116.41,116.35,116.35,36906,1786700228639-0,md:candles:1m,1786700233604
1786700279999,IREDA,1m,116.36,116.36,116.29,116.29,18059,1786700290476-0,md:candles:1m,1786700298079
1786700339999,IREDA,1m,116.32,116.48,116.32,116.48,107869,1786700350642-0,md:candles:1m,1786700351053
1786700399999,IREDA,1m,116.49,116.60,116.40,116.55,53760,1786700411069-0,md:candles:1m,1786700412580
1786700459999,IREDA,1m,116.59,116.60,116.54,116.60,15882,1786700465719-0,md:candles:1m,1786700476026
1786700519999,IREDA,1m,116.60,116.60,116.55,116.55,5941,1786700526903-0,md:candles:1m,1786700529452
1786700579999,IREDA,1m,116.55,116.64,116.31,116.39,75438,1786700591683-0,md:candles:1m,1786700602905
1786700639999,IREDA,1m,116.35,116.43,116.35,116.40,8318,1786700651584-0,md:candles:1m,1786700653590
1786700699999,IREDA,1m,116.40,116.50,116.34,116.49,19971,1786700707754-0,md:candles:1m,1786700715149
1786700759999,IREDA,1m,116.49,116.49,116.49,116.49,1120,1786701006793-0,md:candles:1m,1786701010481
1786701059999,IREDA,1m,116.49,116.49,116.49,116.49,9861,1786701069280-0,md:candles:1m,1786701071890
1786701119999,IREDA,1m,116.49,116.49,116.49,116.49,3692,1786701125875-0,md:candles:1m,1786701126761
1786701179999,IREDA,1m,116.49,116.49,116.49,116.49,1687,1786701192309-0,md:candles:1m,1786701203615
1786701239999,IREDA,1m,116.49,116.49,116.49,116.49,1308,1786701246445-0,md:candles:1m,1786701248276
1786701299999,IREDA,1m,116.49,116.49,116.49,116.49,1570,1786701315217-0,md:candles:1m,1786701324284
1786701359999,IREDA,1m,116.49,116.49,116.49,116.49,9136,1786701368271-0,md:candles:1m,1786701379364
1786701419999,IREDA,1m,116.49,116.49,116.49,116.49,8405,1786701427283-0,md:candles:1m,1786701432770
1786701479999,IREDA,1m,116.49,116.49,116.49,116.49,10121,1786701490280-0,md:candles:1m,1786701496799
1786701539999,IREDA,1m,116.49,116.49,116.25,116.25,3324308,1786702806445-0,md:candles:1m,1786702808525
1786702859999,IREDA,1m,116.25,116.25,116.25,116.25,770,1786702866400-0,md:candles:1m,1786702874006
1786702919999,IREDA,1m,116.25,116.25,116.25,116.25,500,1786702997354-0,md:candles:1m,1786703000545
1786703039999,IREDA,1m,116.25,116.25,116.25,116.25,200,1786703153424-0,md:candles:1m,1786703163439
1786703159999,IREDA,1m,116.25,116.25,116.25,116.25,50,1786703214591-0,md:candles:1m,1786703218504
1786703219999,IREDA,1m,116.25,116.25,116.25,116.25,500,1786703284556-0,md:candles:1m,1786703292463
1786703279999,IREDA,1m,116.25,116.25,116.25,116.25,2,1786703318802-0,md:candles:1m,1786703325910
1786699799999,IREDA,30m,116.60,116.65,116.47,116.50,187586,1786699868962-0,md:candles:30m,1786699872287
1786701599999,IREDA,30m,116.49,116.64,116.25,116.25,3819667,1786702866404-0,md:candles:30m,1786702871507
1786699199999,IREDA,5m,116.60,116.65,116.48,116.50,45931,1786699265408-0,md:candles:5m,1786699265610
1786699499999,IREDA,5m,116.55,116.65,116.50,116.64,85509,1786699568114-0,md:candles:5m,1786699570970
1786699799999,IREDA,5m,116.63,116.64,116.47,116.50,56146,1786699868959-0,md:candles:5m,1786699880291
1786700099999,IREDA,5m,116.49,116.49,116.30,116.41,83106,1786700165871-0,md:candles:5m,1786700170829
1786700399999,IREDA,5m,116.45,116.60,116.29,116.55,239803,1786700465725-0,md:candles:5m,1786700471362
1786700699999,IREDA,5m,116.59,116.64,116.31,116.49,125550,1786701006797-0,md:candles:5m,1786701013188
1786700999999,IREDA,5m,116.49,116.49,116.49,116.49,1120,1786701069282-0,md:candles:5m,1786701080800
1786701299999,IREDA,5m,116.49,116.49,116.49,116.49,18118,1786701368275-0,md:candles:5m,1786701379364
1786701599999,IREDA,5m,116.49,116.49,116.25,116.25,3351970,1786702866401-0,md:candles:5m,1786702874028
1786703099999,IREDA,5m,116.25,116.25,116.25,116.25,1470,1786703214593-0,md:candles:5m,1786703218598
