ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,IRFC,10m,87.82,87.86,87.75,87.80,38933,1786699270623-0,md:candles:10m,1786699276624
1786699799999,IRFC,10m,87.80,87.85,87.70,87.70,119375,1786699868092-0,md:candles:10m,1786699876284
1786700399999,IRFC,10m,87.73,87.74,87.66,87.71,301467,1786700471728-0,md:candles:10m,1786700482979
1786700999999,IRFC,10m,87.71,87.75,87.59,87.66,171836,1786701068430-0,md:candles:10m,1786701070102
1786701599999,IRFC,10m,87.66,87.66,87.57,87.57,3843104,1786702950203-0,md:candles:10m,1786702960035
1786702800000,IRFC,1d,87.82,87.86,87.57,87.57,4474715,1786702805737-0,md:candles:1d,1786702807233
1786698959999,IRFC,1m,87.82,87.85,87.82,87.84,1901,1786698970414-0,md:candles:1m,1786698974630
1786699019999,IRFC,1m,87.85,87.85,87.82,87.84,4422,1786699026610-0,md:candles:1m,1786699028548
1786699079999,IRFC,1m,87.78,87.84,87.75,87.84,10126,1786699087324-0,md:candles:1m,1786699094422
1786699139999,IRFC,1m,87.84,87.86,87.80,87.82,14049,1786699146701-0,md:candles:1m,1786699146984
1786699199999,IRFC,1m,87.86,87.86,87.80,87.80,8435,1786699205629-0,md:candles:1m,1786699208603
1786699259999,IRFC,1m,87.80,87.85,87.80,87.85,6369,1786699270619-0,md:candles:1m,1786699273120
1786699319999,IRFC,1m,87.80,87.85,87.80,87.80,12450,1786699330293-0,md:candles:1m,1786699339124
1786699379999,IRFC,1m,87.80,87.80,87.76,87.80,6673,1786699387514-0,md:candles:1m,1786699391745
1786699439999,IRFC,1m,87.80,87.80,87.76,87.77,8052,1786699445695-0,md:candles:1m,1786699457822
1786699499999,IRFC,1m,87.77,87.80,87.77,87.80,12707,1786699511488-0,md:candles:1m,1786699523104
1786699559999,IRFC,1m,87.79,87.79,87.76,87.79,7578,1786699567389-0,md:candles:1m,1786699576085
1786699619999,IRFC,1m,87.79,87.79,87.76,87.79,4058,1786699626831-0,md:candles:1m,1786699627296
1786699679999,IRFC,1m,87.76,87.79,87.74,87.74,34337,1786699686978-0,md:candles:1m,1786699689702
1786699739999,IRFC,1m,87.78,87.78,87.70,87.73,19365,1786699747409-0,md:candles:1m,1786699754023
1786699799999,IRFC,1m,87.73,87.74,87.70,87.70,7786,1786699805187-0,md:candles:1m,1786699807941
1786699859999,IRFC,1m,87.73,87.74,87.69,87.71,35489,1786699868073-0,md:candles:1m,1786699871843
1786699919999,IRFC,1m,87.74,87.74,87.70,87.72,15377,1786699927515-0,md:candles:1m,1786699936026
1786699979999,IRFC,1m,87.71,87.72,87.70,87.70,21355,1786699985949-0,md:candles:1m,1786699989617
