ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ITC,10m,277.25,277.35,277.25,277.35,39793,1786699270839-0,md:candles:10m,1786699276624
1786699799999,ITC,10m,277.35,277.70,277.35,277.60,149058,1786699868257-0,md:candles:10m,1786699876284
1786700399999,ITC,10m,277.60,277.60,277.20,277.25,313608,1786700465214-0,md:candles:10m,1786700471301
1786700999999,ITC,10m,277.20,277.60,277.15,277.60,235898,1786701068695-0,md:candles:10m,1786701070102
1786701599999,ITC,10m,277.60,278.20,277.60,278.20,7155863,1786702896450-0,md:candles:10m,1786702906259
1786702800000,ITC,1d,277.25,278.20,277.15,278.20,7894220,1786702805933-0,md:candles:1d,1786702807233
1786698959999,ITC,1m,277.25,277.35,277.25,277.30,2105,1786698965617-0,md:candles:1m,1786698974630
1786699019999,ITC,1m,277.35,277.35,277.25,277.35,10084,1786699028339-0,md:candles:1m,1786699028548
1786699079999,ITC,1m,277.35,277.35,277.30,277.35,4810,1786699087401-0,md:candles:1m,1786699094422
1786699139999,ITC,1m,277.35,277.35,277.25,277.25,12339,1786699146724-0,md:candles:1m,1786699146984
1786699199999,ITC,1m,277.35,277.35,277.25,277.35,10455,1786699206034-0,md:candles:1m,1786699208603
1786699259999,ITC,1m,277.35,277.45,277.35,277.45,12684,1786699270835-0,md:candles:1m,1786699273120
1786699319999,ITC,1m,277.45,277.60,277.35,277.55,68283,1786699330653-0,md:candles:1m,1786699339124
1786699379999,ITC,1m,277.60,277.65,277.50,277.50,12151,1786699387604-0,md:candles:1m,1786699391745
1786699439999,ITC,1m,277.55,277.65,277.50,277.60,12584,1786699445994-0,md:candles:1m,1786699457822
1786699499999,ITC,1m,277.60,277.65,277.55,277.65,4763,1786699511820-0,md:candles:1m,1786699523104
1786699559999,ITC,1m,277.65,277.65,277.60,277.60,4295,1786699566983-0,md:candles:1m,1786699576085
1786699619999,ITC,1m,277.65,277.65,277.60,277.65,5285,1786699627135-0,md:candles:1m,1786699627296
1786699679999,ITC,1m,277.65,277.70,277.60,277.70,9980,1786699687015-0,md:candles:1m,1786699689702
1786699739999,ITC,1m,277.65,277.70,277.55,277.55,8705,1786699747690-0,md:candles:1m,1786699754023
1786699799999,ITC,1m,277.55,277.60,277.50,277.60,10328,1786699805494-0,md:candles:1m,1786699807941
1786699859999,ITC,1m,277.60,277.60,277.40,277.40,39752,1786699868246-0,md:candles:1m,1786699871843
1786699919999,ITC,1m,277.45,277.50,277.40,277.50,29091,1786699927628-0,md:candles:1m,1786699936026
1786699979999,ITC,1m,277.50,277.50,277.45,277.50,13504,1786699986210-0,md:candles:1m,1786699989617
1786700039999,ITC,1m,277.50,277.50,277.30,277.30,26456,1786700046506-0,md:candles:1m,1786700051805
1786700099999,ITC,1m,277.30,277.40,277.30,277.40,53983,1786700109530-0,md:candles:1m,1786700118244
