ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,JINDALSTEL,10m,1098.90,1099.70,1098.00,1098.00,8262,1786699265398-0,md:candles:10m,1786699265610
1786699799999,JINDALSTEL,10m,1098.00,1099.40,1096.90,1096.90,20249,1786699868947-0,md:candles:10m,1786699876284
1786700399999,JINDALSTEL,10m,1097.20,1097.30,1093.20,1094.90,28290,1786700465719-0,md:candles:10m,1786700471301
1786700999999,JINDALSTEL,10m,1094.70,1099.00,1094.00,1099.00,17365,1786701075628-0,md:candles:10m,1786701080910
1786701599999,JINDALSTEL,10m,1099.00,1099.00,1091.50,1091.50,493297,1786702887239-0,md:candles:10m,1786702895644
1786702801000,JINDALSTEL,1d,1098.90,1099.70,1091.50,1091.50,567463,1786702806427-0,md:candles:1d,1786702807233
1786698959999,JINDALSTEL,1m,1098.90,1099.50,1098.80,1099.50,563,1786698965461-0,md:candles:1m,1786698974630
1786699019999,JINDALSTEL,1m,1099.40,1099.60,1099.00,1099.40,1823,1786699027869-0,md:candles:1m,1786699028548
1786699079999,JINDALSTEL,1m,1098.90,1099.70,1098.90,1098.90,693,1786699087843-0,md:candles:1m,1786699094422
1786699139999,JINDALSTEL,1m,1098.90,1099.50,1098.90,1098.90,377,1786699145187-0,md:candles:1m,1786699146984
1786699199999,JINDALSTEL,1m,1098.90,1099.60,1098.00,1098.00,4806,1786699206323-0,md:candles:1m,1786699208603
1786699259999,JINDALSTEL,1m,1098.00,1099.10,1098.00,1099.10,2520,1786699265391-0,md:candles:1m,1786699273120
1786699319999,JINDALSTEL,1m,1099.10,1099.20,1098.20,1098.60,995,1786699330707-0,md:candles:1m,1786699339124
1786699379999,JINDALSTEL,1m,1099.10,1099.20,1098.50,1098.60,287,1786699387905-0,md:candles:1m,1786699391745
1786699439999,JINDALSTEL,1m,1098.60,1099.40,1098.60,1098.70,1183,1786699446478-0,md:candles:1m,1786699457822
