ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,JIOFIN,10m,250.10,250.30,250.05,250.20,144828,1786699266747-0,md:candles:10m,1786699276624
1786699799999,JIOFIN,10m,250.30,250.65,250.10,250.25,850080,1786699865573-0,md:candles:10m,1786699876284
1786700399999,JIOFIN,10m,250.30,250.40,249.70,249.85,1041097,1786700471478-0,md:candles:10m,1786700482979
1786700999999,JIOFIN,10m,249.95,250.05,249.30,250.00,645156,1786701068214-0,md:candles:10m,1786701070102
1786701599999,JIOFIN,10m,250.00,250.00,249.05,249.05,16388086,1786702869803-0,md:candles:10m,1786702875014
1786702800000,JIOFIN,1d,250.10,250.65,249.05,249.05,19069247,1786702805628-0,md:candles:1d,1786702807233
1786698959999,JIOFIN,1m,250.10,250.30,250.10,250.20,24730,1786698965577-0,md:candles:1m,1786698974630
1786699019999,JIOFIN,1m,250.30,250.30,250.20,250.25,42284,1786699026590-0,md:candles:1m,1786699028548
1786699079999,JIOFIN,1m,250.10,250.20,250.05,250.10,21965,1786699087286-0,md:candles:1m,1786699094422
1786699139999,JIOFIN,1m,250.05,250.25,250.05,250.15,29551,1786699146678-0,md:candles:1m,1786699146984
1786699199999,JIOFIN,1m,250.20,250.30,250.15,250.20,26298,1786699205471-0,md:candles:1m,1786699208603
1786699259999,JIOFIN,1m,250.30,250.30,250.20,250.30,16455,1786699266722-0,md:candles:1m,1786699273120
1786699319999,JIOFIN,1m,250.35,250.60,250.10,250.55,338910,1786699329933-0,md:candles:1m,1786699339124
1786699379999,JIOFIN,1m,250.65,250.65,250.40,250.55,74734,1786699385411-0,md:candles:1m,1786699391745
1786699439999,JIOFIN,1m,250.55,250.60,250.45,250.60,21409,1786699445632-0,md:candles:1m,1786699457822
1786699499999,JIOFIN,1m,250.50,250.60,250.40,250.50,82054,1786699506880-0,md:candles:1m,1786699511111
1786699559999,JIOFIN,1m,250.55,250.60,250.45,250.60,37323,1786699565461-0,md:candles:1m,1786699576085
1786699619999,JIOFIN,1m,250.60,250.60,250.45,250.45,19215,1786699626681-0,md:candles:1m,1786699627296
1786699679999,JIOFIN,1m,250.55,250.65,250.50,250.60,42488,1786699686972-0,md:candles:1m,1786699689702
