ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,JSWENERGY,10m,560.15,560.15,559.45,559.95,6369,1786699266813-0,md:candles:10m,1786699276624
1786699799999,JSWENERGY,10m,559.75,560.00,557.75,559.05,32980,1786699868556-0,md:candles:10m,1786699876284
1786700399999,JSWENERGY,10m,558.50,559.55,558.10,558.70,71761,1786700465337-0,md:candles:10m,1786700471301
1786700999999,JSWENERGY,10m,558.65,558.65,557.05,557.05,65384,1786701068880-0,md:candles:10m,1786701070102
1786701599999,JSWENERGY,10m,557.05,560.00,557.05,560.00,1213585,1786703318208-0,md:candles:10m,1786703324211
1786702800000,JSWENERGY,1d,560.15,560.15,557.05,560.00,1390079,1786702806031-0,md:candles:1d,1786702807233
1786698959999,JSWENERGY,1m,560.15,560.15,560.15,560.15,580,1786698970809-0,md:candles:1m,1786698974630
1786699019999,JSWENERGY,1m,560.15,560.15,559.50,559.80,2511,1786699026646-0,md:candles:1m,1786699028548
1786699079999,JSWENERGY,1m,559.75,559.80,559.45,559.60,2279,1786699085720-0,md:candles:1m,1786699094422
1786699139999,JSWENERGY,1m,559.60,559.95,559.60,559.95,543,1786699145603-0,md:candles:1m,1786699146984
1786699199999,JSWENERGY,1m,559.75,560.00,559.75,559.95,456,1786699206072-0,md:candles:1m,1786699208603
1786699259999,JSWENERGY,1m,559.75,560.00,559.65,559.85,2448,1786699266769-0,md:candles:1m,1786699273120
1786699319999,JSWENERGY,1m,559.65,559.95,559.65,559.90,1154,1786699326742-0,md:candles:1m,1786699339124
1786699379999,JSWENERGY,1m,559.70,559.95,559.70,559.95,315,1786699387653-0,md:candles:1m,1786699391745
1786699439999,JSWENERGY,1m,559.75,560.00,559.75,559.95,3683,1786699446148-0,md:candles:1m,1786699457822
1786699499999,JSWENERGY,1m,559.60,559.60,559.25,559.35,1563,1786699508054-0,md:candles:1m,1786699511111
1786699559999,JSWENERGY,1m,559.40,559.45,559.40,559.45,428,1786699568149-0,md:candles:1m,1786699576085
1786699619999,JSWENERGY,1m,559.45,559.55,558.45,558.45,8650,1786699627305-0,md:candles:1m,1786699627296
1786699679999,JSWENERGY,1m,558.65,558.65,558.40,558.45,2153,1786699685597-0,md:candles:1m,1786699689702
1786699739999,JSWENERGY,1m,558.45,558.45,557.75,558.00,2518,1786699747791-0,md:candles:1m,1786699754023
1786699799999,JSWENERGY,1m,558.35,559.40,558.35,559.05,10068,1786699805728-0,md:candles:1m,1786699807941
1786699859999,JSWENERGY,1m,558.50,558.70,558.15,558.30,5257,1786699868552-0,md:candles:1m,1786699871843
1786699919999,JSWENERGY,1m,558.40,559.30,558.30,559.30,5792,1786699927842-0,md:candles:1m,1786699936026
1786699979999,JSWENERGY,1m,559.30,559.40,559.30,559.40,2408,1786699986308-0,md:candles:1m,1786699989617
1786700039999,JSWENERGY,1m,559.35,559.55,558.90,558.90,7505,1786700046740-0,md:candles:1m,1786700051805
1786700099999,JSWENERGY,1m,558.85,558.85,558.40,558.55,1680,1786700109592-0,md:candles:1m,1786700118244
1786700159999,JSWENERGY,1m,558.70,558.70,558.10,558.10,10256,1786700165414-0,md:candles:1m,1786700171522
1786700219999,JSWENERGY,1m,558.25,558.80,558.15,558.80,21043,1786700228105-0,md:candles:1m,1786700233604
1786700279999,JSWENERGY,1m,559.05,559.05,558.85,558.90,8312,1786700290078-0,md:candles:1m,1786700298079
1786700339999,JSWENERGY,1m,559.05,559.05,558.75,558.85,5032,1786700350432-0,md:candles:1m,1786700351053
1786700399999,JSWENERGY,1m,558.90,559.10,558.60,558.70,4476,1786700408622-0,md:candles:1m,1786700412580
1786700459999,JSWENERGY,1m,558.65,558.65,558.15,558.50,32040,1786700465330-0,md:candles:1m,1786700476026
1786700519999,JSWENERGY,1m,558.25,558.60,558.05,558.25,8949,1786700525294-0,md:candles:1m,1786700529452
1786700579999,JSWENERGY,1m,558.25,558.60,557.70,558.60,15836,1786700591312-0,md:candles:1m,1786700591306
1786700639999,JSWENERGY,1m,558.60,558.60,558.30,558.45,5892,1786700646497-0,md:candles:1m,1786700653590
1786700699999,JSWENERGY,1m,558.40,558.65,557.05,557.05,2665,1786700707451-0,md:candles:1m,1786700715149
1786700759999,JSWENERGY,1m,557.05,557.05,557.05,557.05,2,1786701006375-0,md:candles:1m,1786701010481
1786701059999,JSWENERGY,1m,557.05,557.05,557.05,557.05,4302,1786701068877-0,md:candles:1m,1786701071890
1786701119999,JSWENERGY,1m,557.05,557.05,557.05,557.05,751,1786701222050-0,md:candles:1m,1786701226748
1786701239999,JSWENERGY,1m,557.05,557.05,557.05,557.05,11,1786701284234-0,md:candles:1m,1786701292565
1786701299999,JSWENERGY,1m,557.05,557.05,557.05,557.05,63,1786701308072-0,md:candles:1m,1786701313567
1786701359999,JSWENERGY,1m,557.05,557.05,557.05,557.05,72,1786701406712-0,md:candles:1m,1786701412435
1786701419999,JSWENERGY,1m,557.05,557.05,557.05,557.05,65,1786701446789-0,md:candles:1m,1786701454406
1786701479999,JSWENERGY,1m,557.05,557.05,557.05,557.05,51,1786701489860-0,md:candles:1m,1786701496799
1786701539999,JSWENERGY,1m,557.05,560.00,557.05,560.00,1208270,1786702806030-0,md:candles:1m,1786702808525
1786702859999,JSWENERGY,1m,560.00,560.00,560.00,560.00,52,1786703318203-0,md:candles:1m,1786703325910
1786699799999,JSWENERGY,30m,560.15,560.15,557.75,559.05,39349,1786699868557-0,md:candles:30m,1786699872287
1786701599999,JSWENERGY,30m,558.50,560.00,557.05,560.00,1350730,1786703318210-0,md:candles:30m,1786703324211
1786699199999,JSWENERGY,5m,560.15,560.15,559.45,559.95,6369,1786699266812-0,md:candles:5m,1786699276624
1786699499999,JSWENERGY,5m,559.75,560.00,559.25,559.35,9163,1786699568157-0,md:candles:5m,1786699570970
1786699799999,JSWENERGY,5m,559.40,559.55,557.75,559.05,23817,1786699868554-0,md:candles:5m,1786699880291
1786700099999,JSWENERGY,5m,558.50,559.55,558.15,558.55,22642,1786700165415-0,md:candles:5m,1786700170829
1786700399999,JSWENERGY,5m,558.70,559.10,558.10,558.70,49119,1786700465336-0,md:candles:5m,1786700471362
1786700699999,JSWENERGY,5m,558.65,558.65,557.05,557.05,65382,1786701006377-0,md:candles:5m,1786701013188
1786700999999,JSWENERGY,5m,557.05,557.05,557.05,557.05,2,1786701068878-0,md:candles:5m,1786701080800
1786701299999,JSWENERGY,5m,557.05,557.05,557.05,557.05,5127,1786701406714-0,md:candles:5m,1786701412438
1786701599999,JSWENERGY,5m,557.05,560.00,557.05,560.00,1208458,1786703318207-0,md:candles:5m,1786703329814
