ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,JSWSTEEL,10m,1275.00,1275.60,1275.00,1275.00,16822,1786699265740-0,md:candles:10m,1786699276624
1786699799999,JSWSTEEL,10m,1275.00,1276.40,1275.00,1275.60,27511,1786699865340-0,md:candles:10m,1786699876284
1786700399999,JSWSTEEL,10m,1275.40,1275.90,1272.50,1273.00,85457,1786700465404-0,md:candles:10m,1786700471301
1786700999999,JSWSTEEL,10m,1273.30,1274.90,1267.00,1267.00,34261,1786701066481-0,md:candles:10m,1786701070102
1786701599999,JSWSTEEL,10m,1267.00,1270.00,1267.00,1270.00,944343,1786702906262-0,md:candles:10m,1786702906259
1786702804000,JSWSTEEL,1d,1275.00,1276.40,1267.00,1270.00,1108394,1786702809929-0,md:candles:1d,1786702818543
1786698959999,JSWSTEEL,1m,1275.00,1275.10,1275.00,1275.00,8435,1786698968403-0,md:candles:1m,1786698974630
1786699019999,JSWSTEEL,1m,1275.10,1275.10,1275.00,1275.00,2672,1786699025616-0,md:candles:1m,1786699028548
1786699079999,JSWSTEEL,1m,1275.10,1275.10,1275.00,1275.00,2582,1786699087626-0,md:candles:1m,1786699094422
1786699139999,JSWSTEEL,1m,1275.10,1275.60,1275.00,1275.10,2680,1786699145621-0,md:candles:1m,1786699146984
1786699199999,JSWSTEEL,1m,1275.40,1275.50,1275.00,1275.00,453,1786699209364-0,md:candles:1m,1786699221468
1786699259999,JSWSTEEL,1m,1275.00,1275.20,1275.00,1275.10,1217,1786699265699-0,md:candles:1m,1786699273120
1786699319999,JSWSTEEL,1m,1275.20,1275.90,1275.00,1275.50,8019,1786699328116-0,md:candles:1m,1786699339124
1786699379999,JSWSTEEL,1m,1275.20,1275.40,1275.10,1275.40,2096,1786699391112-0,md:candles:1m,1786699391745
1786699439999,JSWSTEEL,1m,1275.40,1275.50,1275.20,1275.40,614,1786699446783-0,md:candles:1m,1786699457822
1786699499999,JSWSTEEL,1m,1275.30,1275.40,1275.20,1275.20,464,1786699506106-0,md:candles:1m,1786699511111
1786699559999,JSWSTEEL,1m,1275.40,1275.50,1275.20,1275.40,4308,1786699565164-0,md:candles:1m,1786699565357
1786699619999,JSWSTEEL,1m,1275.40,1276.00,1275.40,1275.90,2138,1786699628089-0,md:candles:1m,1786699639246
1786699679999,JSWSTEEL,1m,1276.20,1276.40,1275.90,1276.00,1512,1786699685701-0,md:candles:1m,1786699689702
1786699739999,JSWSTEEL,1m,1276.10,1276.20,1275.80,1275.80,1315,1786699745187-0,md:candles:1m,1786699754023
1786699799999,JSWSTEEL,1m,1275.90,1276.10,1275.60,1275.60,5828,1786699806078-0,md:candles:1m,1786699807941
1786699859999,JSWSTEEL,1m,1275.40,1275.90,1275.30,1275.40,9172,1786699865331-0,md:candles:1m,1786699871843
1786699919999,JSWSTEEL,1m,1275.40,1275.40,1275.00,1275.00,13630,1786699932035-0,md:candles:1m,1786699936026
1786699979999,JSWSTEEL,1m,1275.10,1275.10,1275.00,1275.00,5706,1786699990218-0,md:candles:1m,1786700001238
1786700039999,JSWSTEEL,1m,1275.10,1275.30,1275.00,1275.30,1608,1786700048149-0,md:candles:1m,1786700051805
1786700099999,JSWSTEEL,1m,1275.20,1275.50,1275.00,1275.00,10752,1786700106735-0,md:candles:1m,1786700118244
1786700159999,JSWSTEEL,1m,1275.10,1275.10,1273.50,1273.70,15163,1786700166192-0,md:candles:1m,1786700171522
1786700219999,JSWSTEEL,1m,1273.80,1274.40,1273.80,1273.90,7756,1786700226080-0,md:candles:1m,1786700233604
1786700279999,JSWSTEEL,1m,1274.10,1274.10,1272.50,1273.30,13873,1786700287063-0,md:candles:1m,1786700298079
1786700339999,JSWSTEEL,1m,1272.80,1273.50,1272.80,1273.20,3659,1786700347237-0,md:candles:1m,1786700351053
1786700399999,JSWSTEEL,1m,1273.30,1273.50,1273.00,1273.00,4138,1786700405337-0,md:candles:1m,1786700412580
1786700459999,JSWSTEEL,1m,1273.30,1274.40,1273.10,1273.20,8098,1786700465392-0,md:candles:1m,1786700476026
1786700519999,JSWSTEEL,1m,1273.40,1273.40,1272.20,1272.70,3870,1786700527484-0,md:candles:1m,1786700529452
1786700579999,JSWSTEEL,1m,1272.90,1274.10,1272.90,1273.50,12543,1786700586425-0,md:candles:1m,1786700591306
1786700639999,JSWSTEEL,1m,1274.50,1274.50,1272.10,1272.30,5313,1786700645463-0,md:candles:1m,1786700653590
1786700699999,JSWSTEEL,1m,1273.10,1274.90,1267.00,1267.00,4437,1786701011405-0,md:candles:1m,1786701021651
1786701059999,JSWSTEEL,1m,1267.00,1267.00,1267.00,1267.00,662,1786701066478-0,md:candles:1m,1786701071890
