ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,JUBLFOOD,10m,507.30,507.55,506.20,506.80,107179,1786699265697-0,md:candles:10m,1786699276624
1786699799999,JUBLFOOD,10m,506.80,507.30,506.20,506.25,156798,1786699865329-0,md:candles:10m,1786699876284
1786700399999,JUBLFOOD,10m,506.25,506.90,505.00,505.20,1049196,1786700465328-0,md:candles:10m,1786700471301
1786700999999,JUBLFOOD,10m,505.15,506.35,504.30,504.45,280245,1786701068597-0,md:candles:10m,1786701070102
1786701599999,JUBLFOOD,10m,504.45,504.45,504.10,504.10,12891968,1786702937196-0,md:candles:10m,1786702937785
1786702807000,JUBLFOOD,1d,507.30,507.55,504.10,504.10,14485386,1786702812151-0,md:candles:1d,1786702818543
1786698959999,JUBLFOOD,1m,507.30,507.55,506.85,507.00,3783,1786698965903-0,md:candles:1m,1786698974630
1786699019999,JUBLFOOD,1m,507.00,507.20,506.70,507.00,15290,1786699025320-0,md:candles:1m,1786699028548
1786699079999,JUBLFOOD,1m,507.00,507.20,506.75,507.20,41783,1786699085609-0,md:candles:1m,1786699094422
1786699139999,JUBLFOOD,1m,506.95,507.00,506.20,506.65,26085,1786699145589-0,md:candles:1m,1786699146984
1786699199999,JUBLFOOD,1m,506.60,506.90,506.40,506.80,20238,1786699207966-0,md:candles:1m,1786699208603
1786699259999,JUBLFOOD,1m,506.80,507.15,506.40,506.95,42885,1786699265665-0,md:candles:1m,1786699273120
1786699319999,JUBLFOOD,1m,507.15,507.30,506.90,507.15,14498,1786699325758-0,md:candles:1m,1786699326703
1786699379999,JUBLFOOD,1m,506.95,507.15,506.70,506.95,8476,1786699387626-0,md:candles:1m,1786699391745
1786699439999,JUBLFOOD,1m,506.95,506.95,506.55,506.55,15975,1786699445620-0,md:candles:1m,1786699457822
1786699499999,JUBLFOOD,1m,506.55,506.80,506.50,506.60,10466,1786699505477-0,md:candles:1m,1786699511111
1786699559999,JUBLFOOD,1m,506.60,506.75,506.30,506.55,20002,1786699565380-0,md:candles:1m,1786699576085
1786699619999,JUBLFOOD,1m,506.55,506.70,506.20,506.35,9820,1786699625817-0,md:candles:1m,1786699627296
1786699679999,JUBLFOOD,1m,506.35,506.50,506.25,506.45,15862,1786699685693-0,md:candles:1m,1786699689702
1786699739999,JUBLFOOD,1m,506.50,506.70,506.45,506.55,11535,1786699745487-0,md:candles:1m,1786699754023
1786699799999,JUBLFOOD,1m,506.55,506.65,506.20,506.25,7279,1786699805356-0,md:candles:1m,1786699807941
1786699859999,JUBLFOOD,1m,506.25,506.25,505.35,505.40,77027,1786699865323-0,md:candles:1m,1786699871843
1786699919999,JUBLFOOD,1m,505.50,505.75,505.25,505.45,16269,1786699925811-0,md:candles:1m,1786699936026
1786699979999,JUBLFOOD,1m,505.60,506.90,505.35,506.60,598468,1786699985926-0,md:candles:1m,1786699989617
1786700039999,JUBLFOOD,1m,506.60,506.80,505.35,505.70,31908,1786700045489-0,md:candles:1m,1786700051805
1786700099999,JUBLFOOD,1m,505.80,505.95,505.30,505.60,38999,1786700106009-0,md:candles:1m,1786700118244
1786700159999,JUBLFOOD,1m,505.50,505.60,505.00,505.45,62919,1786700166162-0,md:candles:1m,1786700171522
1786700219999,JUBLFOOD,1m,505.40,505.40,505.00,505.15,59665,1786700226003-0,md:candles:1m,1786700233604
1786700279999,JUBLFOOD,1m,505.15,505.30,505.00,505.30,48072,1786700285826-0,md:candles:1m,1786700286220
1786700339999,JUBLFOOD,1m,505.30,505.90,505.30,505.75,42740,1786700345654-0,md:candles:1m,1786700351053
1786700399999,JUBLFOOD,1m,505.75,505.80,505.10,505.20,73129,1786700405345-0,md:candles:1m,1786700412580
1786700459999,JUBLFOOD,1m,505.15,505.45,504.80,504.80,38715,1786700465321-0,md:candles:1m,1786700476026
1786700519999,JUBLFOOD,1m,504.75,505.50,504.60,505.40,35894,1786700525418-0,md:candles:1m,1786700529452
1786700579999,JUBLFOOD,1m,505.45,505.65,505.00,505.00,153651,1786700585421-0,md:candles:1m,1786700591306
1786700639999,JUBLFOOD,1m,505.15,505.20,505.00,505.00,26217,1786700646473-0,md:candles:1m,1786700653590
1786700699999,JUBLFOOD,1m,505.05,506.35,504.30,504.45,25768,1786700705544-0,md:candles:1m,1786700715149
1786700759999,JUBLFOOD,1m,504.45,504.45,504.45,504.45,0,1786701005995-0,md:candles:1m,1786701010481
1786701059999,JUBLFOOD,1m,504.45,504.45,504.45,504.45,2200,1786701068594-0,md:candles:1m,1786701071890
1786701119999,JUBLFOOD,1m,504.45,504.45,504.45,504.45,1622,1786701125278-0,md:candles:1m,1786701126761
1786701179999,JUBLFOOD,1m,504.45,504.45,504.45,504.45,1013,1786701185844-0,md:candles:1m,1786701191510
1786701239999,JUBLFOOD,1m,504.45,504.45,504.45,504.45,128,1786701265614-0,md:candles:1m,1786701271537
1786701299999,JUBLFOOD,1m,504.45,504.45,504.45,504.45,707,1786701307792-0,md:candles:1m,1786701313567
1786701359999,JUBLFOOD,1m,504.45,504.45,504.45,504.45,589,1786701367554-0,md:candles:1m,1786701367943
1786701419999,JUBLFOOD,1m,504.45,504.45,504.45,504.45,1632,1786701433365-0,md:candles:1m,1786701443578
1786701479999,JUBLFOOD,1m,504.45,504.45,504.45,504.45,417,1786701489475-0,md:candles:1m,1786701496799
1786701539999,JUBLFOOD,1m,504.45,504.45,504.10,504.10,12883660,1786702812150-0,md:candles:1m,1786702820532
1786702859999,JUBLFOOD,1m,504.10,504.10,504.10,504.10,124,1786702937194-0,md:candles:1m,1786702947398
1786702979999,JUBLFOOD,1m,504.10,504.10,504.10,504.10,155,1786703072049-0,md:candles:1m,1786703076031
1786703099999,JUBLFOOD,1m,504.10,504.10,504.10,504.10,940,1786703272745-0,md:candles:1m,1786703282156
1786703279999,JUBLFOOD,1m,504.10,504.10,504.10,504.10,7,1786703377780-0,md:candles:1m,1786703380077
1786699799999,JUBLFOOD,30m,507.30,507.55,506.20,506.25,263977,1786699865330-0,md:candles:30m,1786699872287
1786701599999,JUBLFOOD,30m,506.25,506.90,504.10,504.10,14221409,1786702937197-0,md:candles:30m,1786702937794
1786699199999,JUBLFOOD,5m,507.30,507.55,506.20,506.80,107179,1786699265695-0,md:candles:5m,1786699276624
1786699499999,JUBLFOOD,5m,506.80,507.30,506.40,506.60,92300,1786699565388-0,md:candles:5m,1786699570970
1786699799999,JUBLFOOD,5m,506.60,506.75,506.20,506.25,64498,1786699865327-0,md:candles:5m,1786699868444
1786700099999,JUBLFOOD,5m,506.25,506.90,505.25,505.60,762671,1786700166167-0,md:candles:5m,1786700170829
1786700399999,JUBLFOOD,5m,505.50,505.90,505.00,505.20,286525,1786700465326-0,md:candles:5m,1786700471362
1786700699999,JUBLFOOD,5m,505.15,506.35,504.30,504.45,280245,1786701006004-0,md:candles:5m,1786701013188
1786700999999,JUBLFOOD,5m,504.45,504.45,504.45,504.45,0,1786701068596-0,md:candles:5m,1786701080800
1786701299999,JUBLFOOD,5m,504.45,504.45,504.45,504.45,5670,1786701367558-0,md:candles:5m,1786701379364
1786701599999,JUBLFOOD,5m,504.45,504.45,504.10,504.10,12886298,1786702937195-0,md:candles:5m,1786702937785
1786703099999,JUBLFOOD,5m,504.10,504.10,504.10,504.10,1219,1786703377782-0,md:candles:5m,1786703383790
