ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,KALYANKJIL,10m,609.70,609.75,609.20,609.45,44557,1786699265708-0,md:candles:10m,1786699276624
1786699799999,KALYANKJIL,10m,609.65,610.50,609.00,609.00,385428,1786699865337-0,md:candles:10m,1786699876284
1786700399999,KALYANKJIL,10m,609.10,609.65,606.00,606.00,749382,1786700465621-0,md:candles:10m,1786700471301
1786700999999,KALYANKJIL,10m,606.30,606.90,605.20,606.90,323631,1786701069211-0,md:candles:10m,1786701070102
1786701599999,KALYANKJIL,10m,606.90,608.25,606.90,608.25,7193470,1786702877324-0,md:candles:10m,1786702885431
1786702801000,KALYANKJIL,1d,609.70,610.50,605.20,608.25,8696468,1786702806325-0,md:candles:1d,1786702807233
1786698959999,KALYANKJIL,1m,609.70,609.75,609.65,609.70,2295,1786698965328-0,md:candles:1m,1786698974630
1786699019999,KALYANKJIL,1m,609.70,609.75,609.50,609.50,10069,1786699027861-0,md:candles:1m,1786699028548
1786699079999,KALYANKJIL,1m,609.40,609.65,609.20,609.60,9572,1786699087813-0,md:candles:1m,1786699094422
1786699139999,KALYANKJIL,1m,609.60,609.70,609.35,609.55,13879,1786699153044-0,md:candles:1m,1786699158101
1786699199999,KALYANKJIL,1m,609.55,609.55,609.20,609.45,8742,1786699206274-0,md:candles:1m,1786699208603
1786699259999,KALYANKJIL,1m,609.65,610.00,609.30,609.85,124672,1786699265674-0,md:candles:1m,1786699273120
1786699319999,KALYANKJIL,1m,609.90,610.25,609.55,609.90,39592,1786699325750-0,md:candles:1m,1786699326703
1786699379999,KALYANKJIL,1m,610.20,610.50,610.00,610.35,23522,1786699386489-0,md:candles:1m,1786699391745
1786699439999,KALYANKJIL,1m,610.30,610.35,610.00,610.00,13286,1786699446373-0,md:candles:1m,1786699457822
1786699499999,KALYANKJIL,1m,610.20,610.20,609.65,609.90,18295,1786699512294-0,md:candles:1m,1786699523104
1786699559999,KALYANKJIL,1m,609.90,610.25,609.80,609.80,13574,1786699568096-0,md:candles:1m,1786699576085
1786699619999,KALYANKJIL,1m,610.00,610.00,609.55,609.70,29838,1786699627513-0,md:candles:1m,1786699639246
1786699679999,KALYANKJIL,1m,609.70,609.85,609.40,609.75,43295,1786699687955-0,md:candles:1m,1786699689702
1786699739999,KALYANKJIL,1m,609.80,609.80,609.35,609.35,14082,1786699748028-0,md:candles:1m,1786699754023
1786699799999,KALYANKJIL,1m,609.60,609.60,609.00,609.00,65272,1786699805852-0,md:candles:1m,1786699807941
1786699859999,KALYANKJIL,1m,609.10,609.65,608.55,608.65,86261,1786699865330-0,md:candles:1m,1786699871843
1786699919999,KALYANKJIL,1m,608.65,609.10,608.50,609.05,31463,1786699925450-0,md:candles:1m,1786699936026
1786699979999,KALYANKJIL,1m,609.00,609.10,608.70,609.10,10415,1786699986553-0,md:candles:1m,1786699989617
1786700039999,KALYANKJIL,1m,608.95,609.00,606.45,607.30,266645,1786700046994-0,md:candles:1m,1786700051805
1786700099999,KALYANKJIL,1m,607.70,608.15,606.95,607.35,80110,1786700105906-0,md:candles:1m,1786700118244
1786700159999,KALYANKJIL,1m,607.00,607.30,606.40,606.40,58122,1786700166152-0,md:candles:1m,1786700171522
1786700219999,KALYANKJIL,1m,606.45,606.95,606.20,606.55,72761,1786700226092-0,md:candles:1m,1786700233604
1786700279999,KALYANKJIL,1m,606.55,606.75,606.35,606.45,19553,1786700285226-0,md:candles:1m,1786700286220
1786700339999,KALYANKJIL,1m,606.50,606.80,606.50,606.70,27657,1786700350513-0,md:candles:1m,1786700351053
1786700399999,KALYANKJIL,1m,606.30,606.60,606.00,606.00,96395,1786700405534-0,md:candles:1m,1786700412580
1786700459999,KALYANKJIL,1m,606.30,606.35,605.80,606.35,66885,1786700465613-0,md:candles:1m,1786700476026
1786700519999,KALYANKJIL,1m,606.50,606.50,606.15,606.30,57134,1786700526824-0,md:candles:1m,1786700529452
1786700579999,KALYANKJIL,1m,606.30,606.30,605.20,605.20,165565,1786700589621-0,md:candles:1m,1786700591306
1786700639999,KALYANKJIL,1m,605.60,605.90,605.20,605.90,10627,1786700646081-0,md:candles:1m,1786700653590
1786700699999,KALYANKJIL,1m,605.80,606.70,605.80,606.40,22567,1786700707643-0,md:candles:1m,1786700715149
1786700759999,KALYANKJIL,1m,606.90,606.90,606.90,606.90,853,1786701006746-0,md:candles:1m,1786701010481
