ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,KAYNES,10m,3678.40,3678.90,3672.30,3676.60,10166,1786699267612-0,md:candles:10m,1786699276624
1786699799999,KAYNES,10m,3676.60,3681.00,3671.00,3673.80,28911,1786699865335-0,md:candles:10m,1786699876284
1786700399999,KAYNES,10m,3672.40,3673.00,3655.00,3656.00,81106,1786700466940-0,md:candles:10m,1786700471301
1786700999999,KAYNES,10m,3656.00,3662.80,3650.80,3659.00,41373,1786701070291-0,md:candles:10m,1786701080910
1786701599999,KAYNES,10m,3659.00,3660.20,3659.00,3660.20,683547,1786702869513-0,md:candles:10m,1786702875014
1786702802000,KAYNES,1d,3678.40,3681.00,3650.80,3660.20,845103,1786702807328-0,md:candles:1d,1786702818543
1786698959999,KAYNES,1m,3678.40,3678.90,3678.40,3678.40,191,1786698966412-0,md:candles:1m,1786698974630
1786699019999,KAYNES,1m,3678.50,3678.50,3676.30,3676.30,1066,1786699028586-0,md:candles:1m,1786699041361
1786699079999,KAYNES,1m,3675.10,3677.00,3673.80,3675.00,4600,1786699086768-0,md:candles:1m,1786699094422
1786699139999,KAYNES,1m,3675.40,3676.90,3674.10,3674.10,1342,1786699146636-0,md:candles:1m,1786699146984
1786699199999,KAYNES,1m,3674.30,3676.80,3672.30,3676.60,2967,1786699206889-0,md:candles:1m,1786699208603
1786699259999,KAYNES,1m,3676.60,3680.00,3676.60,3679.50,4733,1786699267603-0,md:candles:1m,1786699273120
1786699319999,KAYNES,1m,3678.00,3679.60,3677.00,3679.40,875,1786699325985-0,md:candles:1m,1786699326703
1786699379999,KAYNES,1m,3679.60,3680.90,3679.10,3679.20,2904,1786699387676-0,md:candles:1m,1786699391745
1786699439999,KAYNES,1m,3680.00,3680.90,3679.20,3680.80,1309,1786699446973-0,md:candles:1m,1786699457822
1786699499999,KAYNES,1m,3680.80,3681.00,3675.00,3678.10,3044,1786699505381-0,md:candles:1m,1786699511111
1786699559999,KAYNES,1m,3679.20,3679.40,3677.10,3678.30,1006,1786699565794-0,md:candles:1m,1786699576085
1786699619999,KAYNES,1m,3677.10,3679.20,3677.00,3677.10,1528,1786699628824-0,md:candles:1m,1786699639246
1786699679999,KAYNES,1m,3677.80,3678.00,3672.10,3672.30,4106,1786699685933-0,md:candles:1m,1786699689702
1786699739999,KAYNES,1m,3673.00,3674.00,3671.00,3672.10,4118,1786699746914-0,md:candles:1m,1786699754023
1786699799999,KAYNES,1m,3671.40,3676.90,3671.30,3673.80,5288,1786699806031-0,md:candles:1m,1786699807941
1786699859999,KAYNES,1m,3672.40,3673.00,3666.60,3668.90,12270,1786699865329-0,md:candles:1m,1786699871843
1786699919999,KAYNES,1m,3668.90,3670.00,3666.20,3669.80,4294,1786699925816-0,md:candles:1m,1786699936026
1786699979999,KAYNES,1m,3668.80,3670.90,3666.20,3668.20,3095,1786699986056-0,md:candles:1m,1786699989617
1786700039999,KAYNES,1m,3668.60,3669.90,3663.50,3666.00,10076,1786700045513-0,md:candles:1m,1786700051805
1786700099999,KAYNES,1m,3666.00,3667.00,3661.70,3661.70,6790,1786700106147-0,md:candles:1m,1786700118244
1786700159999,KAYNES,1m,3662.60,3664.00,3660.60,3663.10,9411,1786700166164-0,md:candles:1m,1786700171522
1786700219999,KAYNES,1m,3665.00,3665.00,3660.00,3663.00,12022,1786700229612-0,md:candles:1m,1786700233604
1786700279999,KAYNES,1m,3661.60,3662.90,3660.00,3662.00,4342,1786700285286-0,md:candles:1m,1786700286220
1786700339999,KAYNES,1m,3662.00,3662.80,3660.00,3660.60,8283,1786700346576-0,md:candles:1m,1786700351053
1786700399999,KAYNES,1m,3660.00,3660.00,3655.00,3656.00,10523,1786700405426-0,md:candles:1m,1786700412580
1786700459999,KAYNES,1m,3656.00,3658.00,3655.40,3657.90,3589,1786700466935-0,md:candles:1m,1786700476026
1786700519999,KAYNES,1m,3657.80,3659.90,3657.50,3659.90,5711,1786700528180-0,md:candles:1m,1786700529452
1786700579999,KAYNES,1m,3659.00,3660.00,3650.80,3657.60,25407,1786700585662-0,md:candles:1m,1786700591306
1786700639999,KAYNES,1m,3660.00,3662.80,3658.10,3660.70,3515,1786700645156-0,md:candles:1m,1786700653590
1786700699999,KAYNES,1m,3660.70,3661.80,3655.00,3659.00,3151,1786701008086-0,md:candles:1m,1786701010481
1786701059999,KAYNES,1m,3659.00,3659.00,3659.00,3659.00,997,1786701070286-0,md:candles:1m,1786701071890
1786701119999,KAYNES,1m,3659.00,3659.00,3659.00,3659.00,360,1786701126962-0,md:candles:1m,1786701137210
1786701179999,KAYNES,1m,3659.00,3659.00,3659.00,3659.00,83,1786701187295-0,md:candles:1m,1786701191510
1786701239999,KAYNES,1m,3659.00,3659.00,3659.00,3659.00,193,1786701247479-0,md:candles:1m,1786701248276
1786701299999,KAYNES,1m,3659.00,3659.00,3659.00,3659.00,246,1786701309566-0,md:candles:1m,1786701313567
1786701359999,KAYNES,1m,3659.00,3659.00,3659.00,3659.00,742,1786701369344-0,md:candles:1m,1786701379364
1786701419999,KAYNES,1m,3659.00,3659.00,3659.00,3659.00,424,1786701428469-0,md:candles:1m,1786701432770
1786701479999,KAYNES,1m,3659.00,3659.00,3659.00,3659.00,211,1786701499578-0,md:candles:1m,1786701507390
1786701539999,KAYNES,1m,3659.00,3660.20,3659.00,3660.20,680291,1786702807325-0,md:candles:1m,1786702808525
1786702859999,KAYNES,1m,3660.20,3660.20,3660.20,3660.20,305,1786702869507-0,md:candles:1m,1786702874006
1786702919999,KAYNES,1m,3660.20,3660.20,3660.20,3660.20,158,1786702965709-0,md:candles:1m,1786702968812
1786702979999,KAYNES,1m,3660.20,3660.20,3660.20,3660.20,23,1786702987541-0,md:candles:1m,1786702990427
1786703039999,KAYNES,1m,3660.20,3660.20,3660.20,3660.20,1,1786703048005-0,md:candles:1m,1786703055708
1786703099999,KAYNES,1m,3660.20,3660.20,3660.20,3660.20,6,1786703186868-0,md:candles:1m,1786703195974
1786703219999,KAYNES,1m,3660.20,3660.20,3660.20,3660.20,10,1786703282156-0,md:candles:1m,1786703282156
1786703279999,KAYNES,1m,3660.20,3660.20,3660.20,3660.20,1,1786703399099-0,md:candles:1m,1786703401611
1786699799999,KAYNES,30m,3678.40,3681.00,3671.00,3673.80,39077,1786699865336-0,md:candles:30m,1786699872287
1786701599999,KAYNES,30m,3672.40,3673.00,3650.80,3660.20,806026,1786702869514-0,md:candles:30m,1786702871507
1786699199999,KAYNES,5m,3678.40,3678.90,3672.30,3676.60,10166,1786699267610-0,md:candles:5m,1786699276624
1786699499999,KAYNES,5m,3676.60,3681.00,3675.00,3678.10,12865,1786699565798-0,md:candles:5m,1786699570970
1786699799999,KAYNES,5m,3679.20,3679.40,3671.00,3673.80,16046,1786699865334-0,md:candles:5m,1786699868444
1786700099999,KAYNES,5m,3672.40,3673.00,3661.70,3661.70,36525,1786700166172-0,md:candles:5m,1786700170829
1786700399999,KAYNES,5m,3662.60,3665.00,3655.00,3656.00,44581,1786700466937-0,md:candles:5m,1786700471362
1786700699999,KAYNES,5m,3656.00,3662.80,3650.80,3659.00,41373,1786701070289-0,md:candles:5m,1786701080800
1786701299999,KAYNES,5m,3659.00,3659.00,3659.00,3659.00,1879,1786701369346-0,md:candles:5m,1786701379364
1786701599999,KAYNES,5m,3659.00,3660.20,3659.00,3660.20,681668,1786702869512-0,md:candles:5m,1786702874028
1786703099999,KAYNES,5m,3660.20,3660.20,3660.20,3660.20,493,1786703282158-0,md:candles:5m,1786703284161
