ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,KEI,10m,5691.70,5694.00,5685.00,5686.40,2411,1786699266031-0,md:candles:10m,1786699276624
1786699799999,KEI,10m,5686.40,5696.10,5679.30,5679.30,14721,1786699865229-0,md:candles:10m,1786699876284
1786700399999,KEI,10m,5677.20,5687.00,5672.20,5685.40,20769,1786700466457-0,md:candles:10m,1786700471301
1786700999999,KEI,10m,5685.40,5691.00,5678.50,5691.00,6617,1786701083106-0,md:candles:10m,1786701092722
1786703064000,KEI,1d,5691.70,5700.00,5672.20,5700.00,234378,1786703069240-0,md:candles:1d,1786703073244
1786698959999,KEI,1m,5691.70,5692.00,5691.70,5691.90,179,1786698966413-0,md:candles:1m,1786698974630
1786699019999,KEI,1m,5691.70,5694.00,5691.50,5692.10,685,1786699028588-0,md:candles:1m,1786699041361
1786699079999,KEI,1m,5688.20,5690.30,5685.00,5690.30,611,1786699087607-0,md:candles:1m,1786699094422
1786699139999,KEI,1m,5688.50,5691.80,5686.70,5687.20,607,1786699145801-0,md:candles:1m,1786699146984
1786699199999,KEI,1m,5687.20,5688.30,5686.40,5686.40,329,1786699205588-0,md:candles:1m,1786699208603
1786699259999,KEI,1m,5686.40,5688.50,5686.40,5687.00,401,1786699266022-0,md:candles:1m,1786699273120
1786699319999,KEI,1m,5687.00,5690.00,5686.60,5688.40,336,1786699325874-0,md:candles:1m,1786699326703
1786699379999,KEI,1m,5688.40,5694.90,5688.30,5691.90,2994,1786699385599-0,md:candles:1m,1786699391745
1786699439999,KEI,1m,5691.90,5694.50,5691.00,5694.10,853,1786699445616-0,md:candles:1m,1786699457822
1786699499999,KEI,1m,5694.10,5696.10,5688.10,5688.10,873,1786699505570-0,md:candles:1m,1786699511111
1786699559999,KEI,1m,5688.70,5696.00,5688.50,5689.10,814,1786699565957-0,md:candles:1m,1786699576085
1786699619999,KEI,1m,5689.10,5691.30,5688.90,5688.90,660,1786699626660-0,md:candles:1m,1786699627296
1786699679999,KEI,1m,5688.00,5689.60,5683.90,5687.10,1709,1786699685488-0,md:candles:1m,1786699689702
1786699739999,KEI,1m,5687.70,5689.90,5679.60,5682.50,3016,1786699745778-0,md:candles:1m,1786699754023
1786699799999,KEI,1m,5682.50,5686.40,5679.30,5679.30,3065,1786699805947-0,md:candles:1m,1786699807941
1786699859999,KEI,1m,5677.20,5684.00,5677.20,5683.10,1987,1786699865223-0,md:candles:1m,1786699871843
1786699919999,KEI,1m,5683.00,5683.00,5677.00,5680.50,2052,1786699925324-0,md:candles:1m,1786699925422
1786699979999,KEI,1m,5680.90,5682.20,5673.00,5674.90,3768,1786699985413-0,md:candles:1m,1786699989617
1786700039999,KEI,1m,5674.90,5678.00,5673.60,5676.30,963,1786700046086-0,md:candles:1m,1786700051805
1786700099999,KEI,1m,5676.30,5682.80,5673.80,5680.80,2207,1786700108234-0,md:candles:1m,1786700118244
1786700159999,KEI,1m,5679.40,5679.80,5672.20,5676.90,2540,1786700165175-0,md:candles:1m,1786700171522
