ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,KFINTECH,10m,934.35,937.00,934.00,937.00,10806,1786699265199-0,md:candles:10m,1786699265610
1786699799999,KFINTECH,10m,937.65,940.65,937.15,940.35,78118,1786699868882-0,md:candles:10m,1786699876284
1786700399999,KFINTECH,10m,940.45,946.50,940.05,943.70,127182,1786700465528-0,md:candles:10m,1786700471301
1786700999999,KFINTECH,10m,944.30,945.90,941.10,942.00,56711,1786701069002-0,md:candles:10m,1786701070102
1786701599999,KFINTECH,10m,942.00,942.00,940.00,940.00,813550,1786702895642-0,md:candles:10m,1786702895644
1786702801000,KFINTECH,1d,934.35,946.50,934.00,940.00,1086367,1786702806232-0,md:candles:1d,1786702807233
1786698959999,KFINTECH,1m,934.35,934.75,934.35,934.45,95,1786698965220-0,md:candles:1m,1786698974630
1786699019999,KFINTECH,1m,934.45,934.45,934.00,934.35,597,1786699027841-0,md:candles:1m,1786699028548
1786699079999,KFINTECH,1m,934.00,934.30,934.00,934.25,1818,1786699087707-0,md:candles:1m,1786699094422
1786699139999,KFINTECH,1m,934.00,934.80,934.00,934.80,3494,1786699150389-0,md:candles:1m,1786699158101
1786699199999,KFINTECH,1m,935.55,937.00,935.20,937.00,4802,1786699206171-0,md:candles:1m,1786699208603
1786699259999,KFINTECH,1m,937.65,937.95,937.15,937.75,7440,1786699265185-0,md:candles:1m,1786699273120
1786699319999,KFINTECH,1m,937.85,938.50,937.65,937.95,8377,1786699329978-0,md:candles:1m,1786699339124
1786699379999,KFINTECH,1m,938.45,938.90,937.80,938.90,5513,1786699387705-0,md:candles:1m,1786699391745
1786699439999,KFINTECH,1m,939.00,939.75,938.45,939.70,10415,1786699446284-0,md:candles:1m,1786699457822
1786699499999,KFINTECH,1m,939.85,939.85,938.70,939.00,11793,1786699508066-0,md:candles:1m,1786699511111
1786699559999,KFINTECH,1m,938.70,939.30,938.40,939.00,6263,1786699568084-0,md:candles:1m,1786699576085
1786699619999,KFINTECH,1m,938.50,939.25,938.00,938.85,6053,1786699626664-0,md:candles:1m,1786699627296
1786699679999,KFINTECH,1m,938.85,938.85,937.65,938.20,6156,1786699687927-0,md:candles:1m,1786699689702
1786699739999,KFINTECH,1m,939.25,939.85,938.70,939.50,6267,1786699746409-0,md:candles:1m,1786699754023
1786699799999,KFINTECH,1m,939.50,940.65,939.50,940.35,9841,1786699805770-0,md:candles:1m,1786699807941
1786699859999,KFINTECH,1m,940.45,942.75,940.05,942.75,14096,1786699868869-0,md:candles:1m,1786699871843
1786699919999,KFINTECH,1m,942.50,942.50,940.35,942.20,16442,1786699925947-0,md:candles:1m,1786699936026
1786699979999,KFINTECH,1m,942.20,942.90,941.50,942.40,7757,1786699985920-0,md:candles:1m,1786699989617
1786700039999,KFINTECH,1m,942.20,942.80,942.00,942.55,6046,1786700045511-0,md:candles:1m,1786700051805
1786700099999,KFINTECH,1m,942.70,942.75,942.05,942.45,3818,1786700109612-0,md:candles:1m,1786700118244
