ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,KOTAKBANK,10m,393.20,393.35,393.05,393.20,60119,1786699266309-0,md:candles:10m,1786699276624
1786699799999,KOTAKBANK,10m,393.30,393.60,392.90,393.45,184436,1786699869737-0,md:candles:10m,1786699876284
1786700399999,KOTAKBANK,10m,393.50,393.90,393.40,393.55,485959,1786700465521-0,md:candles:10m,1786700471301
1786700999999,KOTAKBANK,10m,393.55,393.80,391.70,392.10,408104,1786701069995-0,md:candles:10m,1786701070102
1786701599999,KOTAKBANK,10m,392.10,392.10,391.15,391.15,9483190,1786702973837-0,md:candles:10m,1786702981332
1786702801000,KOTAKBANK,1d,393.20,393.90,391.15,391.15,10621808,1786702806964-0,md:candles:1d,1786702807233
1786698959999,KOTAKBANK,1m,393.20,393.35,393.20,393.35,13516,1786698966073-0,md:candles:1m,1786698974630
1786699019999,KOTAKBANK,1m,393.35,393.35,393.10,393.30,9561,1786699027949-0,md:candles:1m,1786699028548
1786699079999,KOTAKBANK,1m,393.25,393.25,393.05,393.25,11504,1786699085707-0,md:candles:1m,1786699094422
1786699139999,KOTAKBANK,1m,393.10,393.30,393.10,393.25,11830,1786699146027-0,md:candles:1m,1786699146984
1786699199999,KOTAKBANK,1m,393.25,393.30,393.10,393.20,13708,1786699206976-0,md:candles:1m,1786699208603
1786699259999,KOTAKBANK,1m,393.30,393.45,392.90,393.10,46469,1786699266294-0,md:candles:1m,1786699273120
1786699319999,KOTAKBANK,1m,393.00,393.35,392.90,393.20,15841,1786699325281-0,md:candles:1m,1786699326703
1786699379999,KOTAKBANK,1m,393.20,393.40,393.20,393.25,8799,1786699388509-0,md:candles:1m,1786699391745
1786699439999,KOTAKBANK,1m,393.30,393.45,393.25,393.25,13586,1786699447188-0,md:candles:1m,1786699457822
1786699499999,KOTAKBANK,1m,393.25,393.45,393.25,393.35,16466,1786699505497-0,md:candles:1m,1786699511111
1786699559999,KOTAKBANK,1m,393.35,393.60,393.35,393.50,17775,1786699568845-0,md:candles:1m,1786699576085
1786699619999,KOTAKBANK,1m,393.35,393.55,393.35,393.55,21035,1786699628416-0,md:candles:1m,1786699639246
1786699679999,KOTAKBANK,1m,393.40,393.55,393.40,393.45,11150,1786699689522-0,md:candles:1m,1786699689702
1786699739999,KOTAKBANK,1m,393.45,393.50,393.40,393.40,15956,1786699748919-0,md:candles:1m,1786699754023
1786699799999,KOTAKBANK,1m,393.40,393.55,393.35,393.45,17359,1786699806849-0,md:candles:1m,1786699807941
1786699859999,KOTAKBANK,1m,393.50,393.80,393.40,393.70,51694,1786699869720-0,md:candles:1m,1786699871843
1786699919999,KOTAKBANK,1m,393.75,393.85,393.70,393.75,25809,1786699928953-0,md:candles:1m,1786699936026
1786699979999,KOTAKBANK,1m,393.80,393.85,393.70,393.85,33740,1786699987412-0,md:candles:1m,1786699989617
1786700039999,KOTAKBANK,1m,393.85,393.90,393.75,393.85,40854,1786700047904-0,md:candles:1m,1786700051805
1786700099999,KOTAKBANK,1m,393.90,393.90,393.80,393.85,30392,1786700107428-0,md:candles:1m,1786700118244
1786700159999,KOTAKBANK,1m,393.90,393.90,393.80,393.90,44075,1786700166615-0,md:candles:1m,1786700171522
1786700219999,KOTAKBANK,1m,393.85,393.90,393.45,393.60,99337,1786700225325-0,md:candles:1m,1786700233604
1786700279999,KOTAKBANK,1m,393.65,393.75,393.60,393.75,30736,1786700285247-0,md:candles:1m,1786700286220
1786700339999,KOTAKBANK,1m,393.70,393.90,393.65,393.80,48128,1786700345600-0,md:candles:1m,1786700351053
1786700399999,KOTAKBANK,1m,393.85,393.90,393.45,393.55,81194,1786700411874-0,md:candles:1m,1786700412580
1786700459999,KOTAKBANK,1m,393.55,393.80,393.35,393.40,146361,1786700465475-0,md:candles:1m,1786700476026
1786700519999,KOTAKBANK,1m,393.30,393.35,393.15,393.30,73570,1786700527689-0,md:candles:1m,1786700529452
