ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,KPITTECH,10m,614.75,614.95,614.50,614.90,6880,1786699266453-0,md:candles:10m,1786699276624
1786699799999,KPITTECH,10m,615.10,615.80,614.60,615.10,21304,1786699870193-0,md:candles:10m,1786699876284
1786700399999,KPITTECH,10m,614.80,614.90,612.65,613.05,57164,1786700467285-0,md:candles:10m,1786700471301
1786700999999,KPITTECH,10m,613.30,613.40,611.75,612.90,46627,1786701070464-0,md:candles:10m,1786701080910
1786701599999,KPITTECH,10m,612.90,614.00,612.90,614.00,642955,1786703046810-0,md:candles:10m,1786703049608
1786702802000,KPITTECH,1d,614.75,615.80,611.75,614.00,774930,1786702807436-0,md:candles:1d,1786702818543
1786698959999,KPITTECH,1m,614.75,614.95,614.75,614.95,278,1786698966431-0,md:candles:1m,1786698974630
1786699019999,KPITTECH,1m,614.85,614.95,614.70,614.90,303,1786699028599-0,md:candles:1m,1786699041361
1786699079999,KPITTECH,1m,614.85,614.90,614.55,614.85,139,1786699087087-0,md:candles:1m,1786699094422
1786699139999,KPITTECH,1m,614.55,614.90,614.50,614.70,1571,1786699146494-0,md:candles:1m,1786699146984
1786699199999,KPITTECH,1m,614.70,614.90,614.70,614.90,4589,1786699207373-0,md:candles:1m,1786699208603
1786699259999,KPITTECH,1m,615.10,615.10,614.90,615.00,517,1786699266426-0,md:candles:1m,1786699273120
1786699319999,KPITTECH,1m,614.80,615.30,614.70,615.20,2918,1786699326076-0,md:candles:1m,1786699326703
1786699379999,KPITTECH,1m,615.00,615.25,615.00,615.20,366,1786699385814-0,md:candles:1m,1786699391745
1786699439999,KPITTECH,1m,615.00,615.70,615.00,615.70,6056,1786699447615-0,md:candles:1m,1786699457822
1786699499999,KPITTECH,1m,615.50,615.80,615.45,615.45,1515,1786699506185-0,md:candles:1m,1786699511111
1786699559999,KPITTECH,1m,615.50,615.60,615.00,615.35,2032,1786699568872-0,md:candles:1m,1786699576085
1786699619999,KPITTECH,1m,615.10,615.35,614.70,615.15,3962,1786699628995-0,md:candles:1m,1786699639246
1786699679999,KPITTECH,1m,615.05,615.25,614.90,615.20,1060,1786699690012-0,md:candles:1m,1786699701410
1786699739999,KPITTECH,1m,615.20,615.20,614.60,614.95,2125,1786699749016-0,md:candles:1m,1786699754023
1786699799999,KPITTECH,1m,614.85,615.25,614.85,615.10,753,1786699807350-0,md:candles:1m,1786699807941
1786699859999,KPITTECH,1m,614.80,614.90,614.75,614.75,2003,1786699870178-0,md:candles:1m,1786699871843
1786699919999,KPITTECH,1m,614.70,614.90,614.20,614.40,4064,1786699927323-0,md:candles:1m,1786699936026
1786699979999,KPITTECH,1m,614.45,614.45,614.15,614.20,1266,1786699988033-0,md:candles:1m,1786699989617
1786700039999,KPITTECH,1m,614.20,614.20,614.05,614.10,2258,1786700048529-0,md:candles:1m,1786700051805
1786700099999,KPITTECH,1m,614.10,614.15,613.75,613.75,4220,1786700108254-0,md:candles:1m,1786700118244
1786700159999,KPITTECH,1m,614.00,614.00,613.75,613.85,2594,1786700167131-0,md:candles:1m,1786700171522
1786700219999,KPITTECH,1m,614.00,614.00,613.10,613.10,11490,1786700229715-0,md:candles:1m,1786700233604
1786700279999,KPITTECH,1m,613.20,613.35,613.15,613.35,2668,1786700285276-0,md:candles:1m,1786700286220
1786700339999,KPITTECH,1m,613.40,613.40,613.35,613.35,1121,1786700352235-0,md:candles:1m,1786700362283
1786700399999,KPITTECH,1m,613.00,613.30,612.65,613.05,25480,1786700411535-0,md:candles:1m,1786700412580
1786700459999,KPITTECH,1m,613.30,613.40,613.15,613.35,3975,1786700467280-0,md:candles:1m,1786700476026
1786700519999,KPITTECH,1m,613.35,613.35,613.15,613.20,2130,1786700528310-0,md:candles:1m,1786700529452
1786700579999,KPITTECH,1m,613.20,613.20,611.75,611.90,32306,1786700585850-0,md:candles:1m,1786700591306
1786700639999,KPITTECH,1m,611.90,612.95,611.85,612.95,2472,1786700646178-0,md:candles:1m,1786700653590
1786700699999,KPITTECH,1m,612.40,612.95,612.10,612.90,5736,1786700708948-0,md:candles:1m,1786700715149
1786700759999,KPITTECH,1m,612.90,612.90,612.90,612.90,8,1786701008200-0,md:candles:1m,1786701010481
1786701059999,KPITTECH,1m,612.90,612.90,612.90,612.90,1736,1786701070450-0,md:candles:1m,1786701071890
1786701119999,KPITTECH,1m,612.90,612.90,612.90,612.90,273,1786701127074-0,md:candles:1m,1786701137210
1786701179999,KPITTECH,1m,612.90,612.90,612.90,612.90,309,1786701187428-0,md:candles:1m,1786701191510
1786701239999,KPITTECH,1m,612.90,612.90,612.90,612.90,1026,1786701247585-0,md:candles:1m,1786701248276
1786701299999,KPITTECH,1m,612.90,612.90,612.90,612.90,1170,1786701309691-0,md:candles:1m,1786701313567
1786701359999,KPITTECH,1m,612.90,612.90,612.90,612.90,271,1786701369456-0,md:candles:1m,1786701379364
1786701419999,KPITTECH,1m,612.90,612.90,612.90,612.90,1430,1786701441887-0,md:candles:1m,1786701443578
1786701479999,KPITTECH,1m,612.90,612.90,612.90,612.90,89,1786701507388-0,md:candles:1m,1786701507390
1786701539999,KPITTECH,1m,612.90,614.00,612.90,614.00,636651,1786702807434-0,md:candles:1m,1786702808525
1786702859999,KPITTECH,1m,614.00,614.00,614.00,614.00,141,1786703046807-0,md:candles:1m,1786703055708
1786703099999,KPITTECH,1m,614.00,614.00,614.00,614.00,15,1786703375576-0,md:candles:1m,1786703380077
1786699799999,KPITTECH,30m,614.75,615.80,614.50,615.10,28184,1786699870195-0,md:candles:30m,1786699872287
