ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,LAURUSLABS,10m,1814.80,1814.80,1813.10,1813.30,7286,1786699266457-0,md:candles:10m,1786699276624
1786699799999,LAURUSLABS,10m,1813.30,1814.50,1806.50,1807.10,70481,1786699865322-0,md:candles:10m,1786699876284
1786700399999,LAURUSLABS,10m,1807.10,1807.10,1778.10,1786.90,275881,1786700465310-0,md:candles:10m,1786700471301
1786700999999,LAURUSLABS,10m,1787.80,1787.90,1780.00,1787.80,105784,1786701070486-0,md:candles:10m,1786701080910
1786701599999,LAURUSLABS,10m,1787.80,1787.80,1787.30,1787.30,1576228,1786702865201-0,md:candles:10m,1786702875014
1786702802000,LAURUSLABS,1d,1814.80,1814.80,1778.10,1787.30,2035660,1786702807438-0,md:candles:1d,1786702818543
1786698959999,LAURUSLABS,1m,1814.80,1814.80,1814.40,1814.60,1497,1786698966212-0,md:candles:1m,1786698974630
1786699019999,LAURUSLABS,1m,1814.60,1814.60,1813.60,1813.80,1749,1786699028602-0,md:candles:1m,1786699041361
1786699079999,LAURUSLABS,1m,1813.70,1813.70,1813.40,1813.50,742,1786699087093-0,md:candles:1m,1786699094422
1786699139999,LAURUSLABS,1m,1813.60,1813.60,1813.40,1813.40,2184,1786699146498-0,md:candles:1m,1786699146984
1786699199999,LAURUSLABS,1m,1813.50,1813.50,1813.10,1813.30,1114,1786699207463-0,md:candles:1m,1786699208603
1786699259999,LAURUSLABS,1m,1813.30,1813.90,1813.30,1813.70,1439,1786699266429-0,md:candles:1m,1786699273120
1786699319999,LAURUSLABS,1m,1813.70,1813.90,1813.50,1813.60,2480,1786699326081-0,md:candles:1m,1786699326703
1786699379999,LAURUSLABS,1m,1813.80,1813.80,1813.60,1813.70,761,1786699389039-0,md:candles:1m,1786699391745
1786699439999,LAURUSLABS,1m,1813.70,1814.50,1813.60,1814.20,1885,1786699447664-0,md:candles:1m,1786699457822
1786699499999,LAURUSLABS,1m,1813.90,1814.20,1813.60,1814.00,2367,1786699506187-0,md:candles:1m,1786699511111
1786699559999,LAURUSLABS,1m,1814.10,1814.20,1814.00,1814.20,2290,1786699568873-0,md:candles:1m,1786699576085
1786699619999,LAURUSLABS,1m,1814.30,1814.30,1813.50,1813.70,4654,1786699628998-0,md:candles:1m,1786699639246
1786699679999,LAURUSLABS,1m,1813.70,1813.70,1811.40,1811.40,14967,1786699688983-0,md:candles:1m,1786699689702
1786699739999,LAURUSLABS,1m,1811.00,1811.00,1806.50,1806.90,26235,1786699749023-0,md:candles:1m,1786699754023
1786699799999,LAURUSLABS,1m,1806.50,1808.40,1806.50,1807.10,13403,1786699806093-0,md:candles:1m,1786699807941
1786699859999,LAURUSLABS,1m,1807.10,1807.10,1803.70,1803.80,11914,1786699865318-0,md:candles:1m,1786699871843
1786699919999,LAURUSLABS,1m,1804.00,1804.00,1800.80,1802.00,24736,1786699925455-0,md:candles:1m,1786699936026
1786699979999,LAURUSLABS,1m,1802.00,1803.40,1801.50,1803.40,14150,1786699985297-0,md:candles:1m,1786699989617
1786700039999,LAURUSLABS,1m,1803.40,1805.20,1803.10,1803.90,7972,1786700045286-0,md:candles:1m,1786700051805
1786700099999,LAURUSLABS,1m,1803.90,1803.90,1797.70,1799.10,37826,1786700105767-0,md:candles:1m,1786700105816
1786700159999,LAURUSLABS,1m,1798.80,1798.80,1779.00,1786.90,60536,1786700165146-0,md:candles:1m,1786700171522
1786700219999,LAURUSLABS,1m,1786.70,1788.70,1780.20,1785.60,44956,1786700225165-0,md:candles:1m,1786700233604
1786700279999,LAURUSLABS,1m,1786.00,1786.40,1778.10,1780.00,33587,1786700285494-0,md:candles:1m,1786700286220
1786700339999,LAURUSLABS,1m,1779.60,1788.60,1779.60,1788.00,13747,1786700345476-0,md:candles:1m,1786700351053
1786700399999,LAURUSLABS,1m,1788.50,1791.70,1786.30,1786.90,26457,1786700406127-0,md:candles:1m,1786700412580
1786700459999,LAURUSLABS,1m,1787.80,1787.90,1783.00,1784.00,20117,1786700465306-0,md:candles:1m,1786700476026
1786700519999,LAURUSLABS,1m,1784.00,1784.60,1780.10,1780.50,16479,1786700525579-0,md:candles:1m,1786700529452
1786700579999,LAURUSLABS,1m,1780.50,1783.80,1780.00,1781.30,40677,1786700585410-0,md:candles:1m,1786700591306
1786700639999,LAURUSLABS,1m,1781.20,1782.00,1780.90,1781.30,14965,1786700645419-0,md:candles:1m,1786700653590
1786700699999,LAURUSLABS,1m,1781.80,1787.80,1780.70,1787.80,13217,1786700708952-0,md:candles:1m,1786700715149
1786700759999,LAURUSLABS,1m,1787.80,1787.80,1787.80,1787.80,329,1786701008394-0,md:candles:1m,1786701010481
1786701059999,LAURUSLABS,1m,1787.80,1787.80,1787.80,1787.80,13801,1786701070481-0,md:candles:1m,1786701071890
1786701119999,LAURUSLABS,1m,1787.80,1787.80,1787.80,1787.80,1307,1786701145294-0,md:candles:1m,1786701149293
1786701179999,LAURUSLABS,1m,1787.80,1787.80,1787.80,1787.80,384,1786701199460-0,md:candles:1m,1786701203615
1786701239999,LAURUSLABS,1m,1787.80,1787.80,1787.80,1787.80,1654,1786701247589-0,md:candles:1m,1786701248276
1786701299999,LAURUSLABS,1m,1787.80,1787.80,1787.80,1787.80,680,1786701309773-0,md:candles:1m,1786701313567
1786701359999,LAURUSLABS,1m,1787.80,1787.80,1787.80,1787.80,2205,1786701375961-0,md:candles:1m,1786701379364
1786701419999,LAURUSLABS,1m,1787.80,1787.80,1787.80,1787.80,180,1786701428571-0,md:candles:1m,1786701432770
1786701479999,LAURUSLABS,1m,1787.80,1787.80,1787.80,1787.80,3880,1786701491681-0,md:candles:1m,1786701496799
1786701539999,LAURUSLABS,1m,1787.80,1787.80,1787.30,1787.30,1552137,1786702807437-0,md:candles:1m,1786702808525
1786702859999,LAURUSLABS,1m,1787.30,1787.30,1787.30,1787.30,1262,1786702865198-0,md:candles:1m,1786702874006
1786702919999,LAURUSLABS,1m,1787.30,1787.30,1787.30,1787.30,171,1786702959807-0,md:candles:1m,1786702968812
1786702979999,LAURUSLABS,1m,1787.30,1787.30,1787.30,1787.30,1,1786703008255-0,md:candles:1m,1786703011147
1786703039999,LAURUSLABS,1m,1787.30,1787.30,1787.30,1787.30,50,1786703075246-0,md:candles:1m,1786703076031
1786703099999,LAURUSLABS,1m,1787.30,1787.30,1787.30,1787.30,15,1786703109291-0,md:candles:1m,1786703118294
1786703159999,LAURUSLABS,1m,1787.30,1787.30,1787.30,1787.30,2,1786703232204-0,md:candles:1m,1786703239900
1786703279999,LAURUSLABS,1m,1787.30,1787.30,1787.30,1787.30,24,1786703355061-0,md:candles:1m,1786703358163
