ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,LICHSGFIN,10m,499.70,499.85,499.60,499.70,9897,1786699266362-0,md:candles:10m,1786699276624
1786699799999,LICHSGFIN,10m,499.65,500.10,499.55,499.65,66652,1786699869748-0,md:candles:10m,1786699876284
1786700399999,LICHSGFIN,10m,499.65,499.80,499.10,499.20,67162,1786700466604-0,md:candles:10m,1786700471301
1786700999999,LICHSGFIN,10m,499.35,499.95,499.05,499.10,49371,1786701082811-0,md:candles:10m,1786701092722
1786701599999,LICHSGFIN,10m,499.10,500.00,499.10,500.00,878913,1786702911162-0,md:candles:10m,1786702916373
1786702801000,LICHSGFIN,1d,499.70,500.10,499.05,500.00,1071995,1786702807069-0,md:candles:1d,1786702807233
1786698959999,LICHSGFIN,1m,499.70,499.75,499.65,499.75,771,1786698966115-0,md:candles:1m,1786698974630
1786699019999,LICHSGFIN,1m,499.85,499.85,499.65,499.80,1122,1786699029726-0,md:candles:1m,1786699041361
1786699079999,LICHSGFIN,1m,499.80,499.85,499.60,499.75,1801,1786699088682-0,md:candles:1m,1786699094422
1786699139999,LICHSGFIN,1m,499.80,499.80,499.65,499.80,1040,1786699146100-0,md:candles:1m,1786699146984
1786699199999,LICHSGFIN,1m,499.80,499.85,499.65,499.70,5163,1786699207098-0,md:candles:1m,1786699208603
1786699259999,LICHSGFIN,1m,499.65,500.00,499.65,499.95,23768,1786699266353-0,md:candles:1m,1786699273120
1786699319999,LICHSGFIN,1m,500.00,500.10,499.70,499.70,8101,1786699325607-0,md:candles:1m,1786699326703
1786699379999,LICHSGFIN,1m,499.70,499.95,499.70,499.85,11000,1786699388630-0,md:candles:1m,1786699391745
1786699439999,LICHSGFIN,1m,499.85,499.90,499.55,499.55,6240,1786699447192-0,md:candles:1m,1786699457822
1786699499999,LICHSGFIN,1m,499.65,499.80,499.60,499.65,9548,1786699505585-0,md:candles:1m,1786699511111
1786699559999,LICHSGFIN,1m,499.65,499.80,499.65,499.80,2491,1786699568854-0,md:candles:1m,1786699576085
1786699619999,LICHSGFIN,1m,499.75,499.80,499.65,499.65,874,1786699628507-0,md:candles:1m,1786699639246
1786699679999,LICHSGFIN,1m,499.65,499.80,499.65,499.75,817,1786699689604-0,md:candles:1m,1786699689702
1786699739999,LICHSGFIN,1m,499.75,499.80,499.75,499.80,2424,1786699748987-0,md:candles:1m,1786699754023
1786699799999,LICHSGFIN,1m,499.75,499.75,499.65,499.65,1389,1786699806951-0,md:candles:1m,1786699807941
1786699859999,LICHSGFIN,1m,499.65,499.80,499.60,499.75,5558,1786699869743-0,md:candles:1m,1786699871843
1786699919999,LICHSGFIN,1m,499.75,499.75,499.55,499.65,8007,1786699926151-0,md:candles:1m,1786699936026
1786699979999,LICHSGFIN,1m,499.70,499.70,499.60,499.60,5298,1786699987527-0,md:candles:1m,1786699989617
1786700039999,LICHSGFIN,1m,499.65,499.65,499.55,499.55,3678,1786700048056-0,md:candles:1m,1786700051805
1786700099999,LICHSGFIN,1m,499.55,499.55,499.45,499.45,7810,1786700108187-0,md:candles:1m,1786700118244
1786700159999,LICHSGFIN,1m,499.50,499.50,499.45,499.50,3093,1786700166642-0,md:candles:1m,1786700171522
1786700219999,LICHSGFIN,1m,499.50,499.55,499.30,499.40,22898,1786700229312-0,md:candles:1m,1786700233604
1786700279999,LICHSGFIN,1m,499.40,499.40,499.10,499.20,4403,1786700285250-0,md:candles:1m,1786700286220
1786700339999,LICHSGFIN,1m,499.35,499.35,499.15,499.30,4358,1786700351137-0,md:candles:1m,1786700362283
1786700399999,LICHSGFIN,1m,499.30,499.35,499.15,499.20,2059,1786700410396-0,md:candles:1m,1786700412580
1786700459999,LICHSGFIN,1m,499.35,499.50,499.30,499.35,9362,1786700466601-0,md:candles:1m,1786700476026
1786700519999,LICHSGFIN,1m,499.35,499.40,499.05,499.20,7284,1786700527806-0,md:candles:1m,1786700529452
1786700579999,LICHSGFIN,1m,499.25,499.95,499.20,499.40,25153,1786700585361-0,md:candles:1m,1786700591306
1786700639999,LICHSGFIN,1m,499.45,499.45,499.20,499.30,5145,1786700645873-0,md:candles:1m,1786700653590
1786700699999,LICHSGFIN,1m,499.35,499.50,499.10,499.10,2425,1786700708547-0,md:candles:1m,1786700715149
1786700759999,LICHSGFIN,1m,499.10,499.10,499.10,499.10,2,1786701007787-0,md:candles:1m,1786701010481
1786701059999,LICHSGFIN,1m,499.10,499.10,499.10,499.10,2355,1786701082805-0,md:candles:1m,1786701094723
1786701119999,LICHSGFIN,1m,499.10,499.10,499.10,499.10,390,1786701126764-0,md:candles:1m,1786701137210
1786701179999,LICHSGFIN,1m,499.10,499.10,499.10,499.10,117,1786701204923-0,md:candles:1m,1786701215027
1786701239999,LICHSGFIN,1m,499.10,499.10,499.10,499.10,63,1786701247181-0,md:candles:1m,1786701248276
1786701299999,LICHSGFIN,1m,499.10,499.10,499.10,499.10,24,1786701331299-0,md:candles:1m,1786701336296
1786701359999,LICHSGFIN,1m,499.10,499.10,499.10,499.10,6116,1786701388505-0,md:candles:1m,1786701390103
1786701419999,LICHSGFIN,1m,499.10,499.10,499.10,499.10,100,1786701441483-0,md:candles:1m,1786701443578
1786701479999,LICHSGFIN,1m,499.10,499.10,499.10,499.10,255,1786701491230-0,md:candles:1m,1786701496799
1786701539999,LICHSGFIN,1m,499.10,500.00,499.10,500.00,869493,1786702807067-0,md:candles:1m,1786702808525
1786702859999,LICHSGFIN,1m,500.00,500.00,500.00,500.00,165,1786702911159-0,md:candles:1m,1786702916365
1786702919999,LICHSGFIN,1m,500.00,500.00,500.00,500.00,2,1786703083153-0,md:candles:1m,1786703087656
1786703099999,LICHSGFIN,1m,500.00,500.00,500.00,500.00,4,1786703173251-0,md:candles:1m,1786703173539
1786703219999,LICHSGFIN,1m,500.00,500.00,500.00,500.00,200,1786703259133-0,md:candles:1m,1786703261329
1786699799999,LICHSGFIN,30m,499.70,500.10,499.55,499.65,76549,1786699869749-0,md:candles:30m,1786699872287
1786701599999,LICHSGFIN,30m,499.65,500.00,499.05,500.00,995446,1786702911162-0,md:candles:30m,1786702916376
1786699199999,LICHSGFIN,5m,499.70,499.85,499.60,499.70,9897,1786699266360-0,md:candles:5m,1786699276624
1786699499999,LICHSGFIN,5m,499.65,500.10,499.55,499.65,58657,1786699568860-0,md:candles:5m,1786699570970
1786699799999,LICHSGFIN,5m,499.65,499.80,499.65,499.65,7995,1786699869747-0,md:candles:5m,1786699880291
1786700099999,LICHSGFIN,5m,499.65,499.80,499.45,499.45,30351,1786700166647-0,md:candles:5m,1786700170829
1786700399999,LICHSGFIN,5m,499.50,499.55,499.10,499.20,36811,1786700466602-0,md:candles:5m,1786700471362
1786700699999,LICHSGFIN,5m,499.35,499.95,499.05,499.10,49369,1786701007790-0,md:candles:5m,1786701013188
1786700999999,LICHSGFIN,5m,499.10,499.10,499.10,499.10,2,1786701082810-0,md:candles:5m,1786701092706
1786701299999,LICHSGFIN,5m,499.10,499.10,499.10,499.10,2949,1786701388506-0,md:candles:5m,1786701390103
1786701599999,LICHSGFIN,5m,499.10,500.00,499.10,500.00,875964,1786702911161-0,md:candles:5m,1786702916365
1786703099999,LICHSGFIN,5m,500.00,500.00,500.00,500.00,171,1786703259134-0,md:candles:5m,1786703262832
