ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,LICI,10m,414.00,414.15,412.25,413.15,490373,1786699266242-0,md:candles:10m,1786699276624
1786699799999,LICI,10m,413.00,413.15,411.45,411.55,721386,1786699869444-0,md:candles:10m,1786699876284
1786700399999,LICI,10m,411.60,412.80,411.50,412.60,228883,1786700465493-0,md:candles:10m,1786700471301
1786700999999,LICI,10m,412.60,413.20,412.05,412.80,259388,1786701069796-0,md:candles:10m,1786701070102
1786701599999,LICI,10m,412.80,413.50,412.80,413.50,15014402,1786702941995-0,md:candles:10m,1786702948799
1786702801000,LICI,1d,414.00,414.15,411.45,413.50,16714432,1786702806828-0,md:candles:1d,1786702807233
1786698959999,LICI,1m,414.00,414.15,414.00,414.00,191809,1786698965446-0,md:candles:1m,1786698974630
1786699019999,LICI,1m,414.05,414.10,412.65,412.70,212257,1786699025818-0,md:candles:1m,1786699028548
1786699079999,LICI,1m,412.70,412.95,412.25,412.45,48788,1786699085507-0,md:candles:1m,1786699094422
1786699139999,LICI,1m,412.45,413.35,412.40,413.35,24745,1786699145802-0,md:candles:1m,1786699146984
1786699199999,LICI,1m,413.35,413.65,413.05,413.15,12774,1786699206796-0,md:candles:1m,1786699208603
1786699259999,LICI,1m,413.00,413.15,412.00,412.15,59378,1786699266237-0,md:candles:1m,1786699273120
1786699319999,LICI,1m,412.00,412.45,411.90,412.45,74543,1786699325382-0,md:candles:1m,1786699326703
1786699379999,LICI,1m,412.40,412.45,412.00,412.25,36523,1786699385804-0,md:candles:1m,1786699391745
1786699439999,LICI,1m,412.10,412.45,412.00,412.00,50290,1786699446984-0,md:candles:1m,1786699457822
1786699499999,LICI,1m,412.05,412.10,411.65,411.85,101003,1786699505302-0,md:candles:1m,1786699511111
1786699559999,LICI,1m,412.00,412.10,411.50,411.60,129864,1786699566052-0,md:candles:1m,1786699576085
1786699619999,LICI,1m,411.70,412.00,411.55,411.70,47681,1786699625803-0,md:candles:1m,1786699627296
1786699679999,LICI,1m,411.60,411.85,411.55,411.70,43541,1786699687991-0,md:candles:1m,1786699689702
1786699739999,LICI,1m,411.55,411.70,411.50,411.55,57655,1786699748688-0,md:candles:1m,1786699754023
1786699799999,LICI,1m,411.60,411.60,411.45,411.55,120908,1786699806599-0,md:candles:1m,1786699807941
1786699859999,LICI,1m,411.60,412.20,411.50,412.15,73873,1786699869440-0,md:candles:1m,1786699871843
1786699919999,LICI,1m,412.20,412.35,412.15,412.25,6122,1786699926128-0,md:candles:1m,1786699936026
1786699979999,LICI,1m,412.30,412.45,412.30,412.40,14929,1786699987251-0,md:candles:1m,1786699989617
1786700039999,LICI,1m,412.40,412.45,412.25,412.25,16191,1786700047730-0,md:candles:1m,1786700051805
1786700099999,LICI,1m,412.35,412.45,412.30,412.35,15344,1786700110404-0,md:candles:1m,1786700118244
1786700159999,LICI,1m,412.20,412.60,412.20,412.60,24133,1786700166522-0,md:candles:1m,1786700171522
1786700219999,LICI,1m,412.50,412.80,412.50,412.60,25356,1786700229098-0,md:candles:1m,1786700233604
1786700279999,LICI,1m,412.45,412.50,412.15,412.20,27025,1786700291014-0,md:candles:1m,1786700298079
1786700339999,LICI,1m,412.40,412.40,412.20,412.40,5060,1786700351023-0,md:candles:1m,1786700351053
1786700399999,LICI,1m,412.60,412.65,412.30,412.60,20850,1786700411643-0,md:candles:1m,1786700412580
1786700459999,LICI,1m,412.60,413.10,412.60,412.90,67184,1786700465451-0,md:candles:1m,1786700476026
1786700519999,LICI,1m,413.00,413.20,412.15,412.25,62860,1786700525825-0,md:candles:1m,1786700529452
1786700579999,LICI,1m,412.05,412.60,412.05,412.60,54079,1786700590413-0,md:candles:1m,1786700591306
1786700639999,LICI,1m,412.45,412.60,412.40,412.50,13321,1786700645636-0,md:candles:1m,1786700653590
1786700699999,LICI,1m,412.25,413.05,412.10,412.50,61915,1786700708253-0,md:candles:1m,1786700715149
1786700759999,LICI,1m,412.80,412.80,412.80,412.80,29,1786701007384-0,md:candles:1m,1786701010481
1786701059999,LICI,1m,412.80,412.80,412.80,412.80,25385,1786701069789-0,md:candles:1m,1786701071890
1786701119999,LICI,1m,412.80,412.80,412.80,412.80,2749,1786701126406-0,md:candles:1m,1786701126761
1786701179999,LICI,1m,412.80,412.80,412.80,412.80,11675,1786701186773-0,md:candles:1m,1786701191510
1786701239999,LICI,1m,412.80,412.80,412.80,412.80,29062,1786701246876-0,md:candles:1m,1786701248276
1786701299999,LICI,1m,412.80,412.80,412.80,412.80,22286,1786701308978-0,md:candles:1m,1786701313567
1786701359999,LICI,1m,412.80,412.80,412.80,412.80,24479,1786701368751-0,md:candles:1m,1786701379364
1786701419999,LICI,1m,412.80,412.80,412.80,412.80,38892,1786701427793-0,md:candles:1m,1786701432770
1786701479999,LICI,1m,412.80,412.80,412.80,412.80,86293,1786701490859-0,md:candles:1m,1786701496799
1786701539999,LICI,1m,412.80,413.50,412.80,413.50,14773581,1786702806826-0,md:candles:1m,1786702808525
1786702859999,LICI,1m,413.50,413.50,413.50,413.50,11540,1786702941991-0,md:candles:1m,1786702947398
1786702979999,LICI,1m,413.50,413.50,413.50,413.50,500,1786703034186-0,md:candles:1m,1786703044208
1786703039999,LICI,1m,413.50,413.50,413.50,413.50,15,1786703073953-0,md:candles:1m,1786703076031
1786703099999,LICI,1m,413.50,413.50,413.50,413.50,15,1786703215808-0,md:candles:1m,1786703218504
1786703219999,LICI,1m,413.50,413.50,413.50,413.50,1,1786703289266-0,md:candles:1m,1786703292463
1786703339999,LICI,1m,413.50,413.50,413.50,413.50,3,1786703367868-0,md:candles:1m,1786703368956
1786699799999,LICI,30m,414.00,414.15,411.45,411.55,1211759,1786699869446-0,md:candles:30m,1786699872287
1786701599999,LICI,30m,411.60,413.50,411.50,413.50,15502673,1786702941997-0,md:candles:30m,1786702948799
1786699199999,LICI,5m,414.00,414.15,412.25,413.15,490373,1786699266241-0,md:candles:5m,1786699276624
1786699499999,LICI,5m,413.00,413.15,411.65,411.85,321737,1786699566054-0,md:candles:5m,1786699570970
1786699799999,LICI,5m,412.00,412.10,411.45,411.55,399649,1786699869443-0,md:candles:5m,1786699880291
1786700099999,LICI,5m,411.60,412.45,411.50,412.35,126459,1786700166528-0,md:candles:5m,1786700170829
1786700399999,LICI,5m,412.20,412.80,412.15,412.60,102424,1786700465491-0,md:candles:5m,1786700471362
1786700699999,LICI,5m,412.60,413.20,412.05,412.50,259359,1786701007385-0,md:candles:5m,1786701013188
