ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,LODHA,10m,1244.40,1244.60,1242.60,1243.20,10319,1786699266480-0,md:candles:10m,1786699276624
1786699799999,LODHA,10m,1243.70,1245.60,1243.40,1244.40,36346,1786699870336-0,md:candles:10m,1786699876284
1786700399999,LODHA,10m,1244.20,1245.00,1237.10,1241.20,79852,1786700466484-0,md:candles:10m,1786700471301
1786700999999,LODHA,10m,1241.20,1241.80,1235.10,1235.10,29671,1786701083307-0,md:candles:10m,1786701092722
1786701599999,LODHA,10m,1235.10,1243.90,1235.10,1243.90,1143756,1786703139429-0,md:candles:10m,1786703143493
1786702802000,LODHA,1d,1244.40,1245.60,1235.10,1243.90,1299944,1786702807526-0,md:candles:1d,1786702818543
1786698959999,LODHA,1m,1244.40,1244.50,1244.20,1244.50,1253,1786698966776-0,md:candles:1m,1786698974630
1786699019999,LODHA,1m,1244.60,1244.60,1243.20,1243.20,1005,1786699028620-0,md:candles:1m,1786699041361
1786699079999,LODHA,1m,1243.00,1243.90,1243.00,1243.00,2878,1786699087095-0,md:candles:1m,1786699094422
1786699139999,LODHA,1m,1243.40,1243.70,1242.70,1242.70,2084,1786699146727-0,md:candles:1m,1786699146984
1786699199999,LODHA,1m,1242.60,1243.80,1242.60,1243.20,3099,1786699213134-0,md:candles:1m,1786699221468
1786699259999,LODHA,1m,1243.70,1243.90,1243.40,1243.50,2576,1786699266475-0,md:candles:1m,1786699273120
1786699319999,LODHA,1m,1243.80,1245.60,1243.80,1243.90,8297,1786699326100-0,md:candles:1m,1786699326703
1786699379999,LODHA,1m,1243.90,1245.50,1243.90,1244.80,1438,1786699385820-0,md:candles:1m,1786699391745
1786699439999,LODHA,1m,1244.60,1245.10,1244.60,1244.90,3268,1786699447669-0,md:candles:1m,1786699457822
1786699499999,LODHA,1m,1244.90,1245.60,1244.60,1245.30,3176,1786699506208-0,md:candles:1m,1786699511111
