ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,LT,10m,4057.00,4057.40,4055.00,4056.90,9553,1786699265420-0,md:candles:10m,1786699265610
1786699799999,LT,10m,4057.00,4064.90,4057.00,4062.00,43364,1786699868969-0,md:candles:10m,1786699876284
1786700399999,LT,10m,4062.10,4063.20,4058.70,4060.60,61212,1786700465734-0,md:candles:10m,1786700471301
1786700999999,LT,10m,4060.70,4062.40,4055.10,4057.00,41871,1786701069296-0,md:candles:10m,1786701070102
1786701599999,LT,10m,4057.00,4057.00,4057.00,4057.00,924208,1786702908662-0,md:candles:10m,1786702916373
1786702801000,LT,1d,4057.00,4064.90,4055.00,4057.00,1080208,1786702806458-0,md:candles:1d,1786702807233
1786698959999,LT,1m,4057.00,4057.40,4056.50,4057.40,539,1786698965474-0,md:candles:1m,1786698974630
1786699019999,LT,1m,4056.80,4057.40,4056.50,4056.50,835,1786699027880-0,md:candles:1m,1786699028548
1786699079999,LT,1m,4056.30,4056.30,4055.00,4055.00,2702,1786699085667-0,md:candles:1m,1786699094422
1786699139999,LT,1m,4055.10,4056.70,4055.00,4055.50,3879,1786699145197-0,md:candles:1m,1786699146984
1786699199999,LT,1m,4055.70,4056.90,4055.50,4056.90,1598,1786699206370-0,md:candles:1m,1786699208603
1786699259999,LT,1m,4057.00,4058.00,4057.00,4057.90,6488,1786699265408-0,md:candles:1m,1786699273120
1786699319999,LT,1m,4058.00,4061.90,4057.90,4061.00,10894,1786699326771-0,md:candles:1m,1786699339124
1786699379999,LT,1m,4059.50,4064.90,4059.50,4064.90,4259,1786699385758-0,md:candles:1m,1786699391745
1786699439999,LT,1m,4064.60,4064.60,4061.00,4064.10,3887,1786699445791-0,md:candles:1m,1786699457822
1786699499999,LT,1m,4063.80,4064.80,4063.00,4064.80,4092,1786699506092-0,md:candles:1m,1786699511111
1786699559999,LT,1m,4064.10,4064.50,4062.00,4064.00,2280,1786699568110-0,md:candles:1m,1786699576085
1786699619999,LT,1m,4063.40,4064.10,4062.70,4062.70,1991,1786699627665-0,md:candles:1m,1786699639246
1786699679999,LT,1m,4062.80,4063.10,4062.30,4062.30,1987,1786699688801-0,md:candles:1m,1786699689702
1786699739999,LT,1m,4062.70,4062.70,4061.10,4062.20,4299,1786699748057-0,md:candles:1m,1786699754023
1786699799999,LT,1m,4060.30,4062.80,4060.30,4062.00,3187,1786699806047-0,md:candles:1m,1786699807941
1786699859999,LT,1m,4062.10,4063.20,4061.60,4062.40,8058,1786699868946-0,md:candles:1m,1786699871843
1786699919999,LT,1m,4062.60,4063.00,4062.10,4062.40,6196,1786699925945-0,md:candles:1m,1786699936026
