ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,LTF,10m,307.75,307.75,307.35,307.55,19116,1786699265418-0,md:candles:10m,1786699265610
1786699799999,LTF,10m,307.60,307.75,307.20,307.75,112714,1786699868965-0,md:candles:10m,1786699876284
1786700399999,LTF,10m,307.75,307.75,307.25,307.25,323816,1786700465729-0,md:candles:10m,1786700471301
1786700999999,LTF,10m,307.30,307.50,306.05,306.20,128743,1786701069293-0,md:candles:10m,1786701070102
1786701599999,LTF,10m,306.20,306.30,306.20,306.30,3677625,1786702913772-0,md:candles:10m,1786702916373
1786702801000,LTF,1d,307.75,307.75,306.05,306.30,4262014,1786702806455-0,md:candles:1d,1786702807233
1786698959999,LTF,1m,307.75,307.75,307.50,307.55,954,1786698965467-0,md:candles:1m,1786698974630
1786699019999,LTF,1m,307.55,307.60,307.45,307.50,3933,1786699027879-0,md:candles:1m,1786699028548
1786699079999,LTF,1m,307.35,307.55,307.35,307.50,7615,1786699085666-0,md:candles:1m,1786699094422
1786699139999,LTF,1m,307.55,307.55,307.45,307.45,2314,1786699145196-0,md:candles:1m,1786699146984
1786699199999,LTF,1m,307.50,307.60,307.45,307.55,4300,1786699206365-0,md:candles:1m,1786699208603
1786699259999,LTF,1m,307.60,307.60,307.50,307.55,3208,1786699265402-0,md:candles:1m,1786699273120
1786699319999,LTF,1m,307.55,307.65,307.50,307.55,3278,1786699326769-0,md:candles:1m,1786699339124
1786699379999,LTF,1m,307.60,307.60,307.50,307.55,15132,1786699387915-0,md:candles:1m,1786699391745
1786699439999,LTF,1m,307.55,307.70,307.50,307.65,3154,1786699446486-0,md:candles:1m,1786699457822
1786699499999,LTF,1m,307.50,307.65,307.50,307.65,1642,1786699508087-0,md:candles:1m,1786699511111
1786699559999,LTF,1m,307.60,307.65,307.50,307.65,1962,1786699568108-0,md:candles:1m,1786699576085
1786699619999,LTF,1m,307.60,307.70,307.30,307.40,31016,1786699627664-0,md:candles:1m,1786699639246
1786699679999,LTF,1m,307.30,307.40,307.20,307.40,2817,1786699687971-0,md:candles:1m,1786699689702
1786699739999,LTF,1m,307.35,307.65,307.25,307.60,41245,1786699748056-0,md:candles:1m,1786699754023
