ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,LUPIN,10m,2237.30,2239.50,2236.40,2238.20,5361,1786699266873-0,md:candles:10m,1786699276624
1786699799999,LUPIN,10m,2237.70,2240.00,2237.70,2239.70,12041,1786699870847-0,md:candles:10m,1786699876284
1786700399999,LUPIN,10m,2239.10,2239.10,2237.30,2238.80,33108,1786700467451-0,md:candles:10m,1786700471301
1786700999999,LUPIN,10m,2238.70,2238.70,2232.60,2233.00,35747,1786701083710-0,md:candles:10m,1786701092722
1786701599999,LUPIN,10m,2233.00,2235.00,2233.00,2235.00,587726,1786702881420-0,md:candles:10m,1786702885431
1786702802000,LUPIN,1d,2237.30,2240.00,2232.60,2235.00,673983,1786702807843-0,md:candles:1d,1786702818543
1786698959999,LUPIN,1m,2237.30,2237.50,2236.70,2237.30,355,1786698967025-0,md:candles:1m,1786698974630
1786699019999,LUPIN,1m,2237.30,2237.30,2236.60,2236.80,890,1786699030848-0,md:candles:1m,1786699041361
1786699079999,LUPIN,1m,2236.40,2238.90,2236.40,2238.80,1689,1786699089406-0,md:candles:1m,1786699094422
1786699139999,LUPIN,1m,2238.80,2239.50,2238.40,2239.00,1488,1786699147120-0,md:candles:1m,1786699158101
1786699199999,LUPIN,1m,2239.00,2239.00,2237.60,2238.20,939,1786699207886-0,md:candles:1m,1786699208603
1786699259999,LUPIN,1m,2237.70,2238.20,2237.70,2238.10,1102,1786699266867-0,md:candles:1m,1786699273120
1786699319999,LUPIN,1m,2238.10,2238.80,2238.00,2238.80,1452,1786699326477-0,md:candles:1m,1786699326703
1786699379999,LUPIN,1m,2238.80,2239.80,2238.70,2239.80,1154,1786699389409-0,md:candles:1m,1786699391745
1786699439999,LUPIN,1m,2239.70,2239.70,2239.10,2239.20,1089,1786699448134-0,md:candles:1m,1786699457822
1786699499999,LUPIN,1m,2239.20,2239.20,2239.10,2239.20,492,1786699506661-0,md:candles:1m,1786699511111
1786699559999,LUPIN,1m,2239.20,2239.20,2238.30,2238.40,1979,1786699569887-0,md:candles:1m,1786699576085
1786699619999,LUPIN,1m,2238.30,2239.80,2238.30,2239.50,1796,1786699629539-0,md:candles:1m,1786699639246
