ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,M&M,10m,3420.60,3421.00,3419.60,3420.50,5001,1786699266373-0,md:candles:10m,1786699276624
1786699799999,M&M,10m,3420.50,3428.50,3419.80,3425.50,69117,1786699865739-0,md:candles:10m,1786699876284
1786700399999,M&M,10m,3425.20,3427.30,3422.60,3423.40,61849,1786700466441-0,md:candles:10m,1786700471301
1786700999999,M&M,10m,3423.50,3428.20,3420.20,3422.40,35000,1786701070104-0,md:candles:10m,1786701080910
1786701599999,M&M,10m,3422.40,3428.30,3422.40,3428.30,1016734,1786702892337-0,md:candles:10m,1786702895644
1786702801000,M&M,1d,3420.60,3428.50,3419.60,3428.30,1187701,1786702807133-0,md:candles:1d,1786702807233
1786698959999,M&M,1m,3420.60,3420.90,3419.60,3420.60,327,1786698965504-0,md:candles:1m,1786698974630
1786699019999,M&M,1m,3420.50,3421.00,3419.80,3420.80,1348,1786699028546-0,md:candles:1m,1786699028548
1786699079999,M&M,1m,3420.70,3420.80,3420.30,3420.70,1131,1786699085712-0,md:candles:1m,1786699094422
1786699139999,M&M,1m,3420.80,3420.80,3420.10,3420.50,1107,1786699146179-0,md:candles:1m,1786699146984
1786699199999,M&M,1m,3420.50,3420.50,3420.30,3420.50,1088,1786699207165-0,md:candles:1m,1786699208603
1786699259999,M&M,1m,3420.50,3422.00,3419.80,3421.70,5664,1786699266359-0,md:candles:1m,1786699273120
1786699319999,M&M,1m,3421.70,3422.70,3420.50,3421.00,3214,1786699325742-0,md:candles:1m,1786699326703
1786699379999,M&M,1m,3421.10,3422.00,3420.10,3421.30,1687,1786699385608-0,md:candles:1m,1786699391745
1786699439999,M&M,1m,3421.30,3423.20,3420.20,3420.70,22309,1786699447305-0,md:candles:1m,1786699457822
1786699499999,M&M,1m,3420.40,3423.30,3420.40,3422.50,5579,1786699506036-0,md:candles:1m,1786699511111
1786699559999,M&M,1m,3423.40,3425.30,3423.00,3424.70,3532,1786699565159-0,md:candles:1m,1786699565357
1786699619999,M&M,1m,3424.40,3425.80,3424.40,3425.70,1505,1786699625211-0,md:candles:1m,1786699627296
1786699679999,M&M,1m,3425.00,3425.70,3424.10,3425.20,2433,1786699688966-0,md:candles:1m,1786699689702
1786699739999,M&M,1m,3424.60,3425.10,3424.40,3425.00,1298,1786699748992-0,md:candles:1m,1786699754023
1786699799999,M&M,1m,3425.50,3428.50,3425.50,3425.50,21896,1786699806959-0,md:candles:1m,1786699807941
1786699859999,M&M,1m,3425.20,3426.00,3425.00,3426.00,7212,1786699865735-0,md:candles:1m,1786699871843
1786699919999,M&M,1m,3426.00,3426.70,3425.00,3425.50,11277,1786699926154-0,md:candles:1m,1786699936026
1786699979999,M&M,1m,3425.40,3426.20,3425.20,3425.80,3751,1786699987620-0,md:candles:1m,1786699989617
1786700039999,M&M,1m,3425.70,3426.80,3425.60,3425.60,3348,1786700048222-0,md:candles:1m,1786700051805
1786700099999,M&M,1m,3425.90,3426.80,3425.90,3426.80,2293,1786700108197-0,md:candles:1m,1786700118244
1786700159999,M&M,1m,3426.90,3427.30,3426.10,3426.20,6937,1786700166977-0,md:candles:1m,1786700171522
1786700219999,M&M,1m,3426.30,3426.60,3424.30,3424.30,13842,1786700226241-0,md:candles:1m,1786700233604
1786700279999,M&M,1m,3424.50,3424.80,3423.10,3424.00,5493,1786700285252-0,md:candles:1m,1786700286220
1786700339999,M&M,1m,3423.90,3423.90,3422.60,3422.70,3632,1786700346562-0,md:candles:1m,1786700351053
1786700399999,M&M,1m,3423.00,3423.40,3422.60,3423.40,4064,1786700410404-0,md:candles:1m,1786700412580
1786700459999,M&M,1m,3423.50,3423.80,3423.30,3423.80,5291,1786700466431-0,md:candles:1m,1786700476026
1786700519999,M&M,1m,3423.70,3427.60,3423.70,3427.60,6398,1786700527883-0,md:candles:1m,1786700529452
1786700579999,M&M,1m,3426.30,3427.80,3426.30,3427.40,14650,1786700585508-0,md:candles:1m,1786700591306
1786700639999,M&M,1m,3427.50,3428.20,3426.70,3427.70,5769,1786700645960-0,md:candles:1m,1786700653590
1786700699999,M&M,1m,3427.70,3427.70,3420.20,3422.40,2715,1786700708645-0,md:candles:1m,1786700715149
1786700759999,M&M,1m,3422.40,3422.40,3422.40,3422.40,177,1786701007884-0,md:candles:1m,1786701010481
1786701059999,M&M,1m,3422.40,3422.40,3422.40,3422.40,29189,1786701070094-0,md:candles:1m,1786701071890
1786701119999,M&M,1m,3422.40,3422.40,3422.40,3422.40,180,1786701126772-0,md:candles:1m,1786701137210
1786701179999,M&M,1m,3422.40,3422.40,3422.40,3422.40,218,1786701205024-0,md:candles:1m,1786701215027
1786701239999,M&M,1m,3422.40,3422.40,3422.40,3422.40,468,1786701247282-0,md:candles:1m,1786701248276
1786701299999,M&M,1m,3422.40,3422.40,3422.40,3422.40,6,1786701324286-0,md:candles:1m,1786701324284
1786701359999,M&M,1m,3422.40,3422.40,3422.40,3422.40,70,1786701375569-0,md:candles:1m,1786701379364
1786701419999,M&M,1m,3422.40,3422.40,3422.40,3422.40,92,1786701428288-0,md:candles:1m,1786701432770
1786701479999,M&M,1m,3422.40,3422.40,3422.40,3422.40,17331,1786701491266-0,md:candles:1m,1786701496799
1786701539999,M&M,1m,3422.40,3428.30,3422.40,3428.30,969180,1786702807132-0,md:candles:1m,1786702808525
1786702859999,M&M,1m,3428.30,3428.30,3428.30,3428.30,131,1786702892335-0,md:candles:1m,1786702895641
1786702919999,M&M,1m,3428.30,3428.30,3428.30,3428.30,1,1786702937389-0,md:candles:1m,1786702947398
1786702979999,M&M,1m,3428.30,3428.30,3428.30,3428.30,45,1786703026685-0,md:candles:1m,1786703033286
1786699799999,M&M,30m,3420.60,3428.50,3419.60,3425.50,74118,1786699865740-0,md:candles:30m,1786699872287
1786701599999,M&M,30m,3425.20,3428.30,3420.20,3428.30,1113583,1786702892338-0,md:candles:30m,1786702894033
1786699199999,M&M,5m,3420.60,3421.00,3419.60,3420.50,5001,1786699266371-0,md:candles:5m,1786699276624
1786699499999,M&M,5m,3420.50,3423.30,3419.80,3422.50,38453,1786699565165-0,md:candles:5m,1786699570970
1786699799999,M&M,5m,3423.40,3428.50,3423.00,3425.50,30664,1786699865737-0,md:candles:5m,1786699868444
1786700099999,M&M,5m,3425.20,3426.80,3425.00,3426.80,27881,1786700166983-0,md:candles:5m,1786700170829
1786700399999,M&M,5m,3426.90,3427.30,3422.60,3423.40,33968,1786700466439-0,md:candles:5m,1786700471362
1786700699999,M&M,5m,3423.50,3428.20,3420.20,3422.40,34823,1786701007885-0,md:candles:5m,1786701013188
1786700999999,M&M,5m,3422.40,3422.40,3422.40,3422.40,177,1786701070102-0,md:candles:5m,1786701080800
1786701299999,M&M,5m,3422.40,3422.40,3422.40,3422.40,30061,1786701375570-0,md:candles:5m,1786701379364
1786701599999,M&M,5m,3422.40,3428.30,3422.40,3428.30,986673,1786702892336-0,md:candles:5m,1786702895643
