ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,MANAPPURAM,10m,350.15,350.40,350.00,350.35,39496,1786699266408-0,md:candles:10m,1786699276624
1786699799999,MANAPPURAM,10m,350.35,350.35,349.80,350.20,157341,1786699870009-0,md:candles:10m,1786699876284
1786700399999,MANAPPURAM,10m,350.15,350.20,349.30,349.50,178725,1786700466717-0,md:candles:10m,1786700471301
1786700999999,MANAPPURAM,10m,349.30,349.45,348.00,348.90,200114,1786701070216-0,md:candles:10m,1786701080910
1786702802000,MANAPPURAM,1d,350.15,350.40,348.00,349.00,4306740,1786702807260-0,md:candles:1d,1786702818543
1786698959999,MANAPPURAM,1m,350.15,350.15,350.10,350.15,126,1786698966315-0,md:candles:1m,1786698974630
1786699019999,MANAPPURAM,1m,350.15,350.25,350.00,350.20,18212,1786699029930-0,md:candles:1m,1786699041361
1786699079999,MANAPPURAM,1m,350.20,350.20,350.00,350.05,3108,1786699087073-0,md:candles:1m,1786699094422
1786699139999,MANAPPURAM,1m,350.10,350.10,350.00,350.10,13244,1786699146341-0,md:candles:1m,1786699146984
1786699199999,MANAPPURAM,1m,350.10,350.40,350.10,350.35,4806,1786699207271-0,md:candles:1m,1786699208603
1786699259999,MANAPPURAM,1m,350.35,350.35,349.90,350.10,19060,1786699266388-0,md:candles:1m,1786699273120
1786699319999,MANAPPURAM,1m,350.10,350.35,349.80,350.35,32000,1786699325902-0,md:candles:1m,1786699326703
1786699379999,MANAPPURAM,1m,350.30,350.35,350.15,350.20,10476,1786699388799-0,md:candles:1m,1786699391745
1786699439999,MANAPPURAM,1m,350.25,350.35,350.20,350.30,5407,1786699447400-0,md:candles:1m,1786699457822
1786699499999,MANAPPURAM,1m,350.20,350.30,350.20,350.30,2215,1786699506050-0,md:candles:1m,1786699511111
1786699559999,MANAPPURAM,1m,350.20,350.25,350.10,350.20,36188,1786699569275-0,md:candles:1m,1786699576085
1786699619999,MANAPPURAM,1m,350.20,350.20,350.00,350.10,9268,1786699628705-0,md:candles:1m,1786699639246
1786699679999,MANAPPURAM,1m,350.15,350.15,349.80,350.15,17845,1786699689811-0,md:candles:1m,1786699701410
1786699739999,MANAPPURAM,1m,350.15,350.15,350.00,350.00,14353,1786699749002-0,md:candles:1m,1786699754023
1786699799999,MANAPPURAM,1m,350.15,350.20,350.05,350.20,10529,1786699807172-0,md:candles:1m,1786699807941
1786699859999,MANAPPURAM,1m,350.15,350.20,350.05,350.05,5563,1786699869994-0,md:candles:1m,1786699871843
1786699919999,MANAPPURAM,1m,350.15,350.15,350.00,350.05,14792,1786699929245-0,md:candles:1m,1786699936026
1786699979999,MANAPPURAM,1m,350.05,350.05,349.55,349.70,21277,1786699987977-0,md:candles:1m,1786699989617
1786700039999,MANAPPURAM,1m,349.75,349.90,349.45,349.75,32836,1786700048319-0,md:candles:1m,1786700051805
1786700099999,MANAPPURAM,1m,349.80,349.80,349.50,349.60,2515,1786700108230-0,md:candles:1m,1786700118244
1786700159999,MANAPPURAM,1m,349.75,349.80,349.35,349.40,24747,1786700167061-0,md:candles:1m,1786700171522
1786700219999,MANAPPURAM,1m,349.30,349.75,349.30,349.70,24905,1786700226251-0,md:candles:1m,1786700233604
1786700279999,MANAPPURAM,1m,349.35,349.60,349.35,349.50,23436,1786700285260-0,md:candles:1m,1786700286220
1786700339999,MANAPPURAM,1m,349.65,349.95,349.50,349.90,17776,1786700346571-0,md:candles:1m,1786700351053
1786700399999,MANAPPURAM,1m,349.95,349.95,349.45,349.50,10878,1786700411518-0,md:candles:1m,1786700412580
1786700459999,MANAPPURAM,1m,349.30,349.45,349.30,349.40,32578,1786700466713-0,md:candles:1m,1786700476026
1786700519999,MANAPPURAM,1m,349.40,349.45,349.30,349.40,24271,1786700528101-0,md:candles:1m,1786700529452
1786700579999,MANAPPURAM,1m,349.45,349.45,348.90,349.05,80178,1786700585653-0,md:candles:1m,1786700591306
1786700639999,MANAPPURAM,1m,349.00,349.00,348.55,349.00,27512,1786700646095-0,md:candles:1m,1786700653590
1786700699999,MANAPPURAM,1m,349.00,349.00,348.00,348.90,35499,1786700708747-0,md:candles:1m,1786700715149
1786700759999,MANAPPURAM,1m,348.90,348.90,348.90,348.90,76,1786701007988-0,md:candles:1m,1786701010481
1786701059999,MANAPPURAM,1m,348.90,348.90,348.90,348.90,25387,1786701070200-0,md:candles:1m,1786701071890
1786701119999,MANAPPURAM,1m,348.90,348.90,348.90,348.90,2401,1786701132986-0,md:candles:1m,1786701137210
1786701179999,MANAPPURAM,1m,348.90,348.90,348.90,348.90,605,1786701187201-0,md:candles:1m,1786701191510
1786701239999,MANAPPURAM,1m,348.90,348.90,348.90,348.90,253,1786701247298-0,md:candles:1m,1786701248276
1786701299999,MANAPPURAM,1m,348.90,348.90,348.90,348.90,958,1786701309475-0,md:candles:1m,1786701313567
1786701359999,MANAPPURAM,1m,348.90,348.90,348.90,348.90,207,1786701369280-0,md:candles:1m,1786701379364
1786701419999,MANAPPURAM,1m,348.90,348.90,348.90,348.90,3824,1786701435084-0,md:candles:1m,1786701443578
1786701479999,MANAPPURAM,1m,348.90,348.90,348.90,348.90,1078,1786701499478-0,md:candles:1m,1786701507390
1786701539999,MANAPPURAM,1m,348.90,349.00,348.90,349.00,3696351,1786702807258-0,md:candles:1m,1786702808525
1786699799999,MANAPPURAM,30m,350.15,350.40,349.80,350.20,196837,1786699870011-0,md:candles:30m,1786699872287
1786699199999,MANAPPURAM,5m,350.15,350.40,350.00,350.35,39496,1786699266407-0,md:candles:5m,1786699276624
1786699499999,MANAPPURAM,5m,350.35,350.35,349.80,350.30,69158,1786699569278-0,md:candles:5m,1786699570970
1786699799999,MANAPPURAM,5m,350.20,350.25,349.80,350.20,88183,1786699870007-0,md:candles:5m,1786699880291
1786700099999,MANAPPURAM,5m,350.15,350.20,349.45,349.60,76983,1786700167063-0,md:candles:5m,1786700170829
1786700399999,MANAPPURAM,5m,349.75,349.95,349.30,349.50,101742,1786700466716-0,md:candles:5m,1786700471362
1786700699999,MANAPPURAM,5m,349.30,349.45,348.00,348.90,200038,1786701007992-0,md:candles:5m,1786701013188
1786700999999,MANAPPURAM,5m,348.90,348.90,348.90,348.90,76,1786701070215-0,md:candles:5m,1786701080800
1786701299999,MANAPPURAM,5m,348.90,348.90,348.90,348.90,29604,1786701369281-0,md:candles:5m,1786701379364
