ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,MANKIND,10m,2420.30,2423.70,2419.80,2420.10,2616,1786699266431-0,md:candles:10m,1786699276624
1786699799999,MANKIND,10m,2419.30,2423.20,2418.80,2421.00,8251,1786699866098-0,md:candles:10m,1786699876284
1786700399999,MANKIND,10m,2420.40,2422.00,2416.40,2419.70,27413,1786700466464-0,md:candles:10m,1786700471301
1786700999999,MANKIND,10m,2419.60,2420.00,2413.10,2415.90,16586,1786701070302-0,md:candles:10m,1786701080910
1786701599999,MANKIND,10m,2415.90,2425.20,2415.90,2425.20,464135,1786703256736-0,md:candles:10m,1786703260731
1786702862000,MANKIND,1d,2420.30,2425.20,2413.10,2425.20,519001,1786702867809-0,md:candles:1d,1786702873817
1786698959999,MANKIND,1m,2420.30,2421.80,2420.30,2421.80,474,1786698965493-0,md:candles:1m,1786698974630
1786699019999,MANKIND,1m,2420.70,2422.00,2420.60,2420.60,200,1786699025322-0,md:candles:1m,1786699028548
1786699079999,MANKIND,1m,2420.40,2423.70,2420.40,2421.20,1183,1786699085599-0,md:candles:1m,1786699094422
1786699139999,MANKIND,1m,2421.10,2421.10,2420.10,2420.30,273,1786699145578-0,md:candles:1m,1786699146984
1786699199999,MANKIND,1m,2420.10,2420.30,2419.80,2420.10,486,1786699205360-0,md:candles:1m,1786699208603
1786699259999,MANKIND,1m,2419.30,2420.20,2419.30,2419.30,223,1786699266407-0,md:candles:1m,1786699273120
1786699319999,MANKIND,1m,2419.20,2420.00,2418.80,2418.80,225,1786699325990-0,md:candles:1m,1786699326703
1786699379999,MANKIND,1m,2418.80,2420.00,2418.80,2419.10,1614,1786699388923-0,md:candles:1m,1786699391745
1786699439999,MANKIND,1m,2419.10,2420.10,2419.10,2419.50,135,1786699447477-0,md:candles:1m,1786699457822
1786699499999,MANKIND,1m,2419.50,2419.50,2419.10,2419.10,755,1786699506148-0,md:candles:1m,1786699511111
1786699559999,MANKIND,1m,2419.10,2422.00,2419.10,2420.60,2567,1786699569392-0,md:candles:1m,1786699576085
