ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,MARICO,10m,865.45,866.10,864.40,864.80,35942,1786699265704-0,md:candles:10m,1786699276624
1786699799999,MARICO,10m,865.00,865.75,864.50,864.70,51934,1786699871340-0,md:candles:10m,1786699876284
1786700399999,MARICO,10m,864.75,865.20,864.30,864.90,47051,1786700467477-0,md:candles:10m,1786700471301
1786700999999,MARICO,10m,864.90,865.15,860.20,861.00,34616,1786701071408-0,md:candles:10m,1786701080910
1786701599999,MARICO,10m,861.00,865.20,861.00,865.20,1045953,1786702867422-0,md:candles:10m,1786702875014
1786702803000,MARICO,1d,865.45,866.10,860.20,865.20,1215496,1786702808330-0,md:candles:1d,1786702818543
1786698959999,MARICO,1m,865.45,865.45,865.35,865.40,238,1786698967327-0,md:candles:1m,1786698974630
1786699019999,MARICO,1m,865.40,866.00,865.30,866.00,11668,1786699031134-0,md:candles:1m,1786699041361
1786699079999,MARICO,1m,866.05,866.05,865.95,866.00,7304,1786699087129-0,md:candles:1m,1786699094422
1786699139999,MARICO,1m,866.05,866.10,865.85,865.85,5018,1786699147934-0,md:candles:1m,1786699158101
1786699199999,MARICO,1m,866.10,866.10,864.40,864.80,11714,1786699208340-0,md:candles:1m,1786699208603
1786699259999,MARICO,1m,865.00,865.05,864.70,865.00,866,1786699265672-0,md:candles:1m,1786699273120
1786699319999,MARICO,1m,865.05,865.65,864.75,865.55,15091,1786699326890-0,md:candles:1m,1786699339124
1786699379999,MARICO,1m,865.55,865.60,865.10,865.50,3316,1786699390481-0,md:candles:1m,1786699391745
1786699439999,MARICO,1m,865.25,865.55,865.25,865.55,2463,1786699448469-0,md:candles:1m,1786699457822
1786699499999,MARICO,1m,865.45,865.75,865.45,865.75,881,1786699507120-0,md:candles:1m,1786699511111
1786699559999,MARICO,1m,865.75,865.75,865.50,865.70,1183,1786699569904-0,md:candles:1m,1786699576085
1786699619999,MARICO,1m,865.60,865.60,865.05,865.20,1865,1786699626005-0,md:candles:1m,1786699627296
1786699679999,MARICO,1m,865.45,865.55,865.20,865.30,3061,1786699691013-0,md:candles:1m,1786699701410
1786699739999,MARICO,1m,865.30,865.35,864.80,864.80,8914,1786699749971-0,md:candles:1m,1786699754023
1786699799999,MARICO,1m,864.60,864.80,864.50,864.70,14294,1786699808455-0,md:candles:1m,1786699821286
1786699859999,MARICO,1m,864.75,864.75,864.30,864.35,4383,1786699871337-0,md:candles:1m,1786699871843
1786699919999,MARICO,1m,864.35,864.35,864.30,864.35,2743,1786699928113-0,md:candles:1m,1786699936026
1786699979999,MARICO,1m,864.65,865.00,864.50,865.00,13292,1786699988831-0,md:candles:1m,1786699989617
1786700039999,MARICO,1m,865.00,865.05,864.90,865.05,1699,1786700049729-0,md:candles:1m,1786700051805
1786700099999,MARICO,1m,865.00,865.10,864.50,865.10,3135,1786700105213-0,md:candles:1m,1786700105816
1786700159999,MARICO,1m,865.10,865.20,864.55,864.85,8619,1786700168100-0,md:candles:1m,1786700171522
1786700219999,MARICO,1m,864.85,864.85,864.50,864.80,5306,1786700228475-0,md:candles:1m,1786700233604
1786700279999,MARICO,1m,864.60,864.90,864.40,864.80,4056,1786700285800-0,md:candles:1m,1786700286220
1786700339999,MARICO,1m,864.80,864.90,864.65,864.90,2216,1786700346419-0,md:candles:1m,1786700351053
1786700399999,MARICO,1m,864.90,864.90,864.80,864.90,1602,1786700406471-0,md:candles:1m,1786700412580
1786700459999,MARICO,1m,864.90,865.15,864.15,864.20,13929,1786700467459-0,md:candles:1m,1786700476026
1786700519999,MARICO,1m,864.25,864.60,864.10,864.35,3288,1786700525444-0,md:candles:1m,1786700529452
1786700579999,MARICO,1m,864.40,864.60,864.35,864.45,5764,1786700586854-0,md:candles:1m,1786700591306
1786700639999,MARICO,1m,864.50,864.50,863.95,864.00,5924,1786700647169-0,md:candles:1m,1786700653590
1786700699999,MARICO,1m,864.40,864.55,860.20,861.90,5685,1786700705467-0,md:candles:1m,1786700715149
1786700759999,MARICO,1m,861.00,861.00,861.00,861.00,26,1786701009434-0,md:candles:1m,1786701010481
1786701059999,MARICO,1m,861.00,861.00,861.00,861.00,4867,1786701071403-0,md:candles:1m,1786701071890
1786701119999,MARICO,1m,861.00,861.00,861.00,861.00,193,1786701128067-0,md:candles:1m,1786701137210
1786701179999,MARICO,1m,861.00,861.00,861.00,861.00,11,1786701194418-0,md:candles:1m,1786701203615
1786701239999,MARICO,1m,861.00,861.00,861.00,861.00,32,1786701261906-0,md:candles:1m,1786701271537
1786701299999,MARICO,1m,861.00,861.00,861.00,861.00,174,1786701332791-0,md:candles:1m,1786701336296
1786701359999,MARICO,1m,861.00,861.00,861.00,861.00,0,1786701370447-0,md:candles:1m,1786701379364
1786701419999,MARICO,1m,861.00,861.00,861.00,861.00,1,1786701436300-0,md:candles:1m,1786701443578
1786701479999,MARICO,1m,861.00,861.00,861.00,861.00,10,1786701492860-0,md:candles:1m,1786701496799
1786701539999,MARICO,1m,861.00,865.20,861.00,865.20,1040665,1786702808328-0,md:candles:1m,1786702808525
1786702859999,MARICO,1m,865.20,865.20,865.20,865.20,25,1786702867414-0,md:candles:1m,1786702874006
1786702919999,MARICO,1m,865.20,865.20,865.20,865.20,1,1786703204786-0,md:candles:1m,1786703206602
