ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,MARUTI,10m,13891.00,13901.00,13890.00,13896.00,1872,1786699266817-0,md:candles:10m,1786699276624
1786699799999,MARUTI,10m,13897.00,13916.00,13894.00,13901.00,15707,1786699870671-0,md:candles:10m,1786699876284
1786700399999,MARUTI,10m,13902.00,13912.00,13890.00,13900.00,10372,1786700467433-0,md:candles:10m,1786700471301
1786700999999,MARUTI,10m,13901.00,13914.00,13870.00,13888.00,7048,1786701070795-0,md:candles:10m,1786701080910
1786701599999,MARUTI,10m,13888.00,13888.00,13834.00,13834.00,213756,1786702977537-0,md:candles:10m,1786702981332
1786702811000,MARUTI,1d,13891.00,13916.00,13834.00,13834.00,248755,1786702816841-0,md:candles:1d,1786702818543
1786698959999,MARUTI,1m,13891.00,13898.00,13891.00,13892.00,84,1786698966961-0,md:candles:1m,1786698974630
1786699019999,MARUTI,1m,13891.00,13893.00,13891.00,13893.00,151,1786699028631-0,md:candles:1m,1786699041361
1786699079999,MARUTI,1m,13890.00,13893.00,13890.00,13890.00,79,1786699087107-0,md:candles:1m,1786699094422
1786699139999,MARUTI,1m,13891.00,13899.00,13890.00,13892.00,1055,1786699146980-0,md:candles:1m,1786699146984
1786699199999,MARUTI,1m,13894.00,13901.00,13891.00,13896.00,503,1786699207844-0,md:candles:1m,1786699208603
1786699259999,MARUTI,1m,13897.00,13901.00,13897.00,13901.00,88,1786699266780-0,md:candles:1m,1786699273120
1786699319999,MARUTI,1m,13900.00,13916.00,13896.00,13906.00,7546,1786699326372-0,md:candles:1m,1786699326703
1786699379999,MARUTI,1m,13910.00,13912.00,13894.00,13907.00,4285,1786699385908-0,md:candles:1m,1786699391745
1786699439999,MARUTI,1m,13907.00,13907.00,13896.00,13896.00,997,1786699445972-0,md:candles:1m,1786699457822
1786699499999,MARUTI,1m,13896.00,13909.00,13896.00,13905.00,469,1786699506475-0,md:candles:1m,1786699511111
1786699559999,MARUTI,1m,13905.00,13906.00,13902.00,13904.00,238,1786699569963-0,md:candles:1m,1786699576085
1786699619999,MARUTI,1m,13904.00,13911.00,13903.00,13909.00,808,1786699625973-0,md:candles:1m,1786699627296
1786699679999,MARUTI,1m,13908.00,13910.00,13904.00,13907.00,898,1786699690409-0,md:candles:1m,1786699701410
1786699739999,MARUTI,1m,13906.00,13907.00,13901.00,13902.00,168,1786699749782-0,md:candles:1m,1786699754023
1786699799999,MARUTI,1m,13905.00,13905.00,13901.00,13901.00,210,1786699807749-0,md:candles:1m,1786699807941
1786699859999,MARUTI,1m,13902.00,13912.00,13901.00,13908.00,1139,1786699870666-0,md:candles:1m,1786699871843
1786699919999,MARUTI,1m,13909.00,13909.00,13907.00,13907.00,431,1786699927343-0,md:candles:1m,1786699936026
1786699979999,MARUTI,1m,13908.00,13909.00,13906.00,13907.00,692,1786699988316-0,md:candles:1m,1786699989617
1786700039999,MARUTI,1m,13908.00,13911.00,13906.00,13910.00,723,1786700046184-0,md:candles:1m,1786700051805
1786700099999,MARUTI,1m,13909.00,13910.00,13907.00,13908.00,568,1786700108273-0,md:candles:1m,1786700118244
1786700159999,MARUTI,1m,13906.00,13907.00,13900.00,13900.00,712,1786700167405-0,md:candles:1m,1786700171522
1786700219999,MARUTI,1m,13901.00,13904.00,13901.00,13903.00,440,1786700230121-0,md:candles:1m,1786700233604
1786700279999,MARUTI,1m,13903.00,13907.00,13891.00,13891.00,2726,1786700286397-0,md:candles:1m,1786700298079
