ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,MAXHEALTH,10m,1008.80,1010.80,1008.60,1009.10,48151,1786699265674-0,md:candles:10m,1786699276624
1786699799999,MAXHEALTH,10m,1008.90,1013.10,1007.90,1011.70,268337,1786699865980-0,md:candles:10m,1786699876284
1786700399999,MAXHEALTH,10m,1011.30,1016.00,1009.50,1012.50,193612,1786700465423-0,md:candles:10m,1786700471301
1786700999999,MAXHEALTH,10m,1012.40,1013.80,1009.10,1011.00,110525,1786701070006-0,md:candles:10m,1786701070102
1786701599999,MAXHEALTH,10m,1011.00,1011.00,1008.60,1008.60,4045267,1786702972225-0,md:candles:10m,1786702981332
1786702801000,MAXHEALTH,1d,1008.80,1016.00,1007.90,1008.60,4665892,1786702807047-0,md:candles:1d,1786702807233
1786698959999,MAXHEALTH,1m,1008.80,1009.80,1008.80,1009.20,11633,1786698966076-0,md:candles:1m,1786698974630
1786699019999,MAXHEALTH,1m,1009.60,1010.20,1009.40,1010.20,11533,1786699026110-0,md:candles:1m,1786699028548
1786699079999,MAXHEALTH,1m,1010.20,1010.80,1009.00,1009.30,11671,1786699085625-0,md:candles:1m,1786699094422
1786699139999,MAXHEALTH,1m,1009.50,1009.70,1009.10,1009.20,2305,1786699145595-0,md:candles:1m,1786699146984
1786699199999,MAXHEALTH,1m,1009.10,1009.40,1008.60,1009.10,11009,1786699205608-0,md:candles:1m,1786699208603
1786699259999,MAXHEALTH,1m,1008.90,1009.70,1007.90,1009.60,17283,1786699265652-0,md:candles:1m,1786699273120
1786699319999,MAXHEALTH,1m,1009.50,1009.70,1009.30,1009.70,1202,1786699325734-0,md:candles:1m,1786699326703
1786699379999,MAXHEALTH,1m,1009.80,1010.30,1009.60,1010.10,5437,1786699388511-0,md:candles:1m,1786699391745
1786699439999,MAXHEALTH,1m,1010.00,1010.40,1008.70,1009.30,27004,1786699445783-0,md:candles:1m,1786699457822
1786699499999,MAXHEALTH,1m,1009.10,1009.50,1009.00,1009.20,3015,1786699506084-0,md:candles:1m,1786699511111
1786699559999,MAXHEALTH,1m,1009.40,1009.90,1008.00,1009.10,53517,1786699568851-0,md:candles:1m,1786699576085
1786699619999,MAXHEALTH,1m,1008.70,1009.60,1008.40,1009.00,8843,1786699625502-0,md:candles:1m,1786699627296
1786699679999,MAXHEALTH,1m,1008.90,1010.50,1008.30,1010.00,45549,1786699685397-0,md:candles:1m,1786699689702
1786699739999,MAXHEALTH,1m,1010.00,1012.80,1009.80,1012.80,49712,1786699745957-0,md:candles:1m,1786699754023
1786699799999,MAXHEALTH,1m,1012.50,1013.10,1011.30,1011.70,56775,1786699805249-0,md:candles:1m,1786699807941
1786699859999,MAXHEALTH,1m,1011.30,1011.40,1010.20,1011.00,16626,1786699865970-0,md:candles:1m,1786699871843
1786699919999,MAXHEALTH,1m,1010.90,1011.10,1010.10,1010.50,7862,1786699926055-0,md:candles:1m,1786699936026
1786699979999,MAXHEALTH,1m,1010.40,1010.40,1009.50,1009.90,7334,1786699985596-0,md:candles:1m,1786699989617
1786700039999,MAXHEALTH,1m,1010.20,1011.10,1009.80,1011.00,8236,1786700046078-0,md:candles:1m,1786700051805
1786700099999,MAXHEALTH,1m,1011.00,1011.70,1010.50,1011.40,16388,1786700105606-0,md:candles:1m,1786700105816
1786700159999,MAXHEALTH,1m,1011.40,1014.40,1011.10,1014.10,44139,1786700165905-0,md:candles:1m,1786700171522
1786700219999,MAXHEALTH,1m,1014.10,1014.10,1012.60,1013.60,23759,1786700225332-0,md:candles:1m,1786700233604
1786700279999,MAXHEALTH,1m,1013.60,1016.00,1013.30,1013.90,37034,1786700291178-0,md:candles:1m,1786700298079
1786700339999,MAXHEALTH,1m,1013.90,1014.10,1013.80,1014.00,6212,1786700345501-0,md:candles:1m,1786700351053
1786700399999,MAXHEALTH,1m,1013.80,1014.00,1012.30,1012.50,26022,1786700405931-0,md:candles:1m,1786700412580
1786700459999,MAXHEALTH,1m,1012.40,1012.50,1011.60,1012.10,19159,1786700465405-0,md:candles:1m,1786700476026
1786700519999,MAXHEALTH,1m,1012.00,1013.80,1011.90,1013.10,11076,1786700527694-0,md:candles:1m,1786700529452
1786700579999,MAXHEALTH,1m,1013.00,1013.00,1009.80,1009.80,47358,1786700585304-0,md:candles:1m,1786700591306
1786700639999,MAXHEALTH,1m,1009.60,1011.60,1009.60,1011.60,22705,1786700645782-0,md:candles:1m,1786700653590
1786700699999,MAXHEALTH,1m,1011.20,1011.50,1009.10,1009.10,10028,1786700708479-0,md:candles:1m,1786700715149
1786700759999,MAXHEALTH,1m,1011.00,1011.00,1011.00,1011.00,199,1786701007688-0,md:candles:1m,1786701010481
1786701059999,MAXHEALTH,1m,1011.00,1011.00,1011.00,1011.00,31094,1786701069997-0,md:candles:1m,1786701071890
1786701119999,MAXHEALTH,1m,1011.00,1011.00,1011.00,1011.00,8,1786701150906-0,md:candles:1m,1786701161014
1786701179999,MAXHEALTH,1m,1011.00,1011.00,1011.00,1011.00,387,1786701204832-0,md:candles:1m,1786701215027
1786701239999,MAXHEALTH,1m,1011.00,1011.00,1011.00,1011.00,173,1786701273310-0,md:candles:1m,1786701281929
1786701299999,MAXHEALTH,1m,1011.00,1011.00,1011.00,1011.00,185,1786701369042-0,md:candles:1m,1786701379364
1786701419999,MAXHEALTH,1m,1011.00,1011.00,1011.00,1011.00,96,1786701428073-0,md:candles:1m,1786701432770
1786701479999,MAXHEALTH,1m,1011.00,1011.00,1011.00,1011.00,413,1786701506935-0,md:candles:1m,1786701507390
1786701539999,MAXHEALTH,1m,1011.00,1011.00,1008.60,1008.60,4012911,1786702807044-0,md:candles:1m,1786702808525
1786702859999,MAXHEALTH,1m,1008.60,1008.60,1008.60,1008.60,156,1786702972222-0,md:candles:1m,1786702979538
1786702979999,MAXHEALTH,1m,1008.60,1008.60,1008.60,1008.60,1,1786702985136-0,md:candles:1m,1786702990427
1786703039999,MAXHEALTH,1m,1008.60,1008.60,1008.60,1008.60,11,1786703093977-0,md:candles:1m,1786703098055
1786703099999,MAXHEALTH,1m,1008.60,1008.60,1008.60,1008.60,20,1786703373691-0,md:candles:1m,1786703380077
1786699799999,MAXHEALTH,30m,1008.80,1013.10,1007.90,1011.70,316488,1786699865983-0,md:candles:30m,1786699872287
1786701599999,MAXHEALTH,30m,1011.30,1016.00,1008.60,1008.60,4349404,1786702972226-0,md:candles:30m,1786702981332
1786699199999,MAXHEALTH,5m,1008.80,1010.80,1008.60,1009.10,48151,1786699265672-0,md:candles:5m,1786699276624
1786699499999,MAXHEALTH,5m,1008.90,1010.40,1007.90,1009.20,53941,1786699568858-0,md:candles:5m,1786699570970
1786699799999,MAXHEALTH,5m,1009.40,1013.10,1008.00,1011.70,214396,1786699865977-0,md:candles:5m,1786699868444
1786700099999,MAXHEALTH,5m,1011.30,1011.70,1009.50,1011.40,56446,1786700165909-0,md:candles:5m,1786700170829
1786700399999,MAXHEALTH,5m,1011.40,1016.00,1011.10,1012.50,137166,1786700465421-0,md:candles:5m,1786700471362
1786700699999,MAXHEALTH,5m,1012.40,1013.80,1009.10,1009.10,110326,1786701007693-0,md:candles:5m,1786701013188
1786700999999,MAXHEALTH,5m,1011.00,1011.00,1011.00,1011.00,199,1786701070004-0,md:candles:5m,1786701080800
1786701299999,MAXHEALTH,5m,1011.00,1011.00,1011.00,1011.00,31847,1786701428075-0,md:candles:5m,1786701434082
1786701599999,MAXHEALTH,5m,1011.00,1011.00,1008.60,1008.60,4013420,1786702972224-0,md:candles:5m,1786702981328
