ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,MAZDOCK,10m,2592.10,2593.40,2589.00,2591.70,12863,1786699266598-0,md:candles:10m,1786699276624
1786699799999,MAZDOCK,10m,2590.50,2591.90,2584.60,2586.10,33364,1786699869711-0,md:candles:10m,1786699876284
1786700399999,MAZDOCK,10m,2585.60,2585.90,2579.00,2584.10,62602,1786700465443-0,md:candles:10m,1786700471301
1786700999999,MAZDOCK,10m,2584.10,2584.10,2579.00,2582.90,53332,1786701069899-0,md:candles:10m,1786701070102
1786701599999,MAZDOCK,10m,2582.90,2582.90,2580.00,2580.00,1101931,1786702890732-0,md:candles:10m,1786702895644
1786702801000,MAZDOCK,1d,2592.10,2593.40,2579.00,2580.00,1264092,1786702806953-0,md:candles:1d,1786702807233
1786698959999,MAZDOCK,1m,2592.10,2593.40,2591.40,2592.90,1473,1786698967037-0,md:candles:1m,1786698974630
1786699019999,MAZDOCK,1m,2592.30,2592.50,2591.00,2591.50,1437,1786699025493-0,md:candles:1m,1786699028548
1786699079999,MAZDOCK,1m,2591.40,2593.00,2591.00,2592.20,2961,1786699087279-0,md:candles:1m,1786699094422
1786699139999,MAZDOCK,1m,2592.20,2593.10,2591.20,2591.90,2993,1786699145911-0,md:candles:1m,1786699146984
1786699199999,MAZDOCK,1m,2592.00,2592.00,2589.00,2591.70,3999,1786699205674-0,md:candles:1m,1786699208603
1786699259999,MAZDOCK,1m,2590.50,2591.90,2589.80,2589.80,2253,1786699266592-0,md:candles:1m,1786699273120
1786699319999,MAZDOCK,1m,2589.10,2590.00,2588.10,2588.90,2594,1786699327276-0,md:candles:1m,1786699339124
1786699379999,MAZDOCK,1m,2588.90,2589.90,2588.00,2589.40,1536,1786699385990-0,md:candles:1m,1786699391745
1786699439999,MAZDOCK,1m,2589.40,2589.40,2587.00,2588.10,2669,1786699447123-0,md:candles:1m,1786699457822
1786699499999,MAZDOCK,1m,2588.00,2588.00,2585.20,2585.20,3099,1786699505386-0,md:candles:1m,1786699511111
1786699559999,MAZDOCK,1m,2586.50,2589.00,2586.00,2587.00,5108,1786699568966-0,md:candles:1m,1786699576085
1786699619999,MAZDOCK,1m,2587.00,2587.00,2586.00,2586.20,7787,1786699627125-0,md:candles:1m,1786699627296
1786699679999,MAZDOCK,1m,2586.20,2587.30,2586.00,2586.90,5214,1786699688005-0,md:candles:1m,1786699689702
1786699739999,MAZDOCK,1m,2586.50,2586.90,2584.60,2585.90,2005,1786699748801-0,md:candles:1m,1786699754023
1786699799999,MAZDOCK,1m,2585.90,2587.00,2585.10,2586.10,1099,1786699806756-0,md:candles:1m,1786699807941
1786699859999,MAZDOCK,1m,2585.60,2585.90,2584.70,2584.70,3009,1786699869707-0,md:candles:1m,1786699871843
1786699919999,MAZDOCK,1m,2584.70,2584.70,2582.20,2583.10,4251,1786699926136-0,md:candles:1m,1786699936026
1786699979999,MAZDOCK,1m,2583.00,2583.00,2580.10,2580.80,3579,1786699985424-0,md:candles:1m,1786699989617
1786700039999,MAZDOCK,1m,2580.90,2585.20,2580.90,2583.30,6325,1786700046095-0,md:candles:1m,1786700051805
1786700099999,MAZDOCK,1m,2583.40,2584.80,2581.30,2584.00,2117,1786700105525-0,md:candles:1m,1786700105816
1786700159999,MAZDOCK,1m,2583.90,2583.90,2579.00,2582.80,9901,1786700165898-0,md:candles:1m,1786700171522
1786700219999,MAZDOCK,1m,2583.80,2583.80,2579.00,2582.20,14444,1786700225352-0,md:candles:1m,1786700233604
1786700279999,MAZDOCK,1m,2582.20,2582.60,2580.20,2582.00,4070,1786700285784-0,md:candles:1m,1786700286220
1786700339999,MAZDOCK,1m,2582.00,2584.60,2580.80,2583.60,6233,1786700345544-0,md:candles:1m,1786700351053
1786700399999,MAZDOCK,1m,2583.00,2584.20,2582.80,2584.10,8673,1786700405273-0,md:candles:1m,1786700412580
1786700459999,MAZDOCK,1m,2584.10,2584.10,2580.30,2581.40,8615,1786700465418-0,md:candles:1m,1786700476026
1786700519999,MAZDOCK,1m,2582.20,2582.90,2581.00,2581.00,12509,1786700525289-0,md:candles:1m,1786700529452
1786700579999,MAZDOCK,1m,2581.00,2582.00,2579.20,2581.10,15886,1786700585290-0,md:candles:1m,1786700591306
1786700639999,MAZDOCK,1m,2582.00,2583.70,2579.00,2582.20,11743,1786700645444-0,md:candles:1m,1786700653590
1786700699999,MAZDOCK,1m,2583.50,2583.50,2581.10,2582.90,4559,1786700708361-0,md:candles:1m,1786700715149
1786700759999,MAZDOCK,1m,2582.90,2582.90,2582.90,2582.90,20,1786701007579-0,md:candles:1m,1786701010481
1786701059999,MAZDOCK,1m,2582.90,2582.90,2582.90,2582.90,3011,1786701069891-0,md:candles:1m,1786701071890
1786701119999,MAZDOCK,1m,2582.90,2582.90,2582.90,2582.90,393,1786701126590-0,md:candles:1m,1786701126761
1786701179999,MAZDOCK,1m,2582.90,2582.90,2582.90,2582.90,221,1786701186893-0,md:candles:1m,1786701191510
1786701239999,MAZDOCK,1m,2582.90,2582.90,2582.90,2582.90,211,1786701246991-0,md:candles:1m,1786701248276
1786701299999,MAZDOCK,1m,2582.90,2582.90,2582.90,2582.90,210,1786701315881-0,md:candles:1m,1786701324284
1786701359999,MAZDOCK,1m,2582.90,2582.90,2582.90,2582.90,123,1786701368944-0,md:candles:1m,1786701379364
1786701419999,MAZDOCK,1m,2582.90,2582.90,2582.90,2582.90,336,1786701427963-0,md:candles:1m,1786701432770
1786701479999,MAZDOCK,1m,2582.90,2582.90,2582.90,2582.90,1613,1786701491162-0,md:candles:1m,1786701496799
1786701539999,MAZDOCK,1m,2582.90,2582.90,2580.00,2580.00,1095813,1786702806951-0,md:candles:1m,1786702808525
1786702859999,MAZDOCK,1m,2580.00,2580.00,2580.00,2580.00,201,1786702890728-0,md:candles:1m,1786702895641
1786702919999,MAZDOCK,1m,2580.00,2580.00,2580.00,2580.00,80,1786702927882-0,md:candles:1m,1786702937190
1786702979999,MAZDOCK,1m,2580.00,2580.00,2580.00,2580.00,9,1786703007753-0,md:candles:1m,1786703011147
1786703039999,MAZDOCK,1m,2580.00,2580.00,2580.00,2580.00,2,1786703046803-0,md:candles:1m,1786703055708
1786703099999,MAZDOCK,1m,2580.00,2580.00,2580.00,2580.00,26,1786703276852-0,md:candles:1m,1786703282156
1786703279999,MAZDOCK,1m,2580.00,2580.00,2580.00,2580.00,2,1786703311909-0,md:candles:1m,1786703314394
1786703339999,MAZDOCK,1m,2580.00,2580.00,2580.00,2580.00,7,1786703369168-0,md:candles:1m,1786703380077
1786699799999,MAZDOCK,30m,2592.10,2593.40,2584.60,2586.10,46227,1786699869712-0,md:candles:30m,1786699872287
1786701599999,MAZDOCK,30m,2585.60,2585.90,2579.00,2580.00,1217865,1786702890733-0,md:candles:30m,1786702894033
1786699199999,MAZDOCK,5m,2592.10,2593.40,2589.00,2591.70,12863,1786699266596-0,md:candles:5m,1786699276624
1786699499999,MAZDOCK,5m,2590.50,2591.90,2585.20,2585.20,12151,1786699568969-0,md:candles:5m,1786699570970
1786699799999,MAZDOCK,5m,2586.50,2589.00,2584.60,2586.10,21213,1786699869709-0,md:candles:5m,1786699880291
1786700099999,MAZDOCK,5m,2585.60,2585.90,2580.10,2584.00,19281,1786700165900-0,md:candles:5m,1786700170829
1786700399999,MAZDOCK,5m,2583.90,2584.60,2579.00,2584.10,43321,1786700465442-0,md:candles:5m,1786700471362
1786700699999,MAZDOCK,5m,2584.10,2584.10,2579.00,2582.90,53312,1786701007580-0,md:candles:5m,1786701013188
1786700999999,MAZDOCK,5m,2582.90,2582.90,2582.90,2582.90,20,1786701069897-0,md:candles:5m,1786701080800
1786701299999,MAZDOCK,5m,2582.90,2582.90,2582.90,2582.90,4046,1786701368946-0,md:candles:5m,1786701379364
1786701599999,MAZDOCK,5m,2582.90,2582.90,2580.00,2580.00,1097885,1786702890730-0,md:candles:5m,1786702895643
1786703099999,MAZDOCK,5m,2580.00,2580.00,2580.00,2580.00,318,1786703311914-0,md:candles:5m,1786703317918
