ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,MCX,10m,2951.40,2952.00,2945.00,2945.70,37357,1786699265221-0,md:candles:10m,1786699265610
1786699799999,MCX,10m,2945.50,2946.70,2931.80,2932.50,58122,1786699868915-0,md:candles:10m,1786699876284
1786700399999,MCX,10m,2932.00,2936.30,2929.90,2932.00,86557,1786700466298-0,md:candles:10m,1786700471301
1786700999999,MCX,10m,2931.90,2932.00,2925.00,2925.70,45780,1786701069108-0,md:candles:10m,1786701070102
1786701599999,MCX,10m,2925.70,2925.70,2911.50,2911.50,1478039,1786702871812-0,md:candles:10m,1786702875014
1786702801000,MCX,1d,2951.40,2952.00,2911.50,2911.50,1705855,1786702806245-0,md:candles:1d,1786702807233
1786698959999,MCX,1m,2951.40,2952.00,2950.50,2951.40,1131,1786698965231-0,md:candles:1m,1786698974630
1786699019999,MCX,1m,2950.70,2951.40,2950.00,2950.60,9924,1786699027854-0,md:candles:1m,1786699028548
1786699079999,MCX,1m,2950.00,2950.70,2950.00,2950.10,10218,1786699087722-0,md:candles:1m,1786699094422
1786699139999,MCX,1m,2950.00,2950.10,2950.00,2950.00,5420,1786699147881-0,md:candles:1m,1786699158101
1786699199999,MCX,1m,2950.10,2950.10,2945.00,2945.70,10664,1786699206182-0,md:candles:1m,1786699208603
1786699259999,MCX,1m,2945.50,2945.70,2943.80,2944.40,4530,1786699265204-0,md:candles:1m,1786699273120
1786699319999,MCX,1m,2944.30,2946.60,2944.30,2946.10,7824,1786699326761-0,md:candles:1m,1786699339124
1786699379999,MCX,1m,2946.60,2946.70,2944.30,2944.30,2352,1786699385702-0,md:candles:1m,1786699391745
1786699439999,MCX,1m,2945.30,2945.30,2936.00,2940.50,11416,1786699446298-0,md:candles:1m,1786699457822
1786699499999,MCX,1m,2939.50,2940.10,2936.60,2936.60,2801,1786699505661-0,md:candles:1m,1786699511111
1786699559999,MCX,1m,2938.00,2940.40,2937.50,2938.00,5094,1786699566060-0,md:candles:1m,1786699576085
1786699619999,MCX,1m,2938.00,2939.10,2936.50,2937.90,4262,1786699625707-0,md:candles:1m,1786699627296
1786699679999,MCX,1m,2937.50,2937.60,2936.00,2936.00,4929,1786699687954-0,md:candles:1m,1786699689702
1786699739999,MCX,1m,2935.50,2936.00,2932.80,2934.10,6599,1786699748123-0,md:candles:1m,1786699754023
1786699799999,MCX,1m,2934.10,2934.30,2931.80,2932.50,8315,1786699805755-0,md:candles:1m,1786699807941
1786699859999,MCX,1m,2932.00,2933.90,2931.60,2933.50,4872,1786699868887-0,md:candles:1m,1786699871843
1786699919999,MCX,1m,2933.50,2935.00,2932.70,2933.70,7167,1786699928062-0,md:candles:1m,1786699936026
1786699979999,MCX,1m,2934.20,2934.90,2932.00,2932.70,5692,1786699986136-0,md:candles:1m,1786699989617
1786700039999,MCX,1m,2932.80,2934.50,2932.00,2932.10,8955,1786700045588-0,md:candles:1m,1786700051805
1786700099999,MCX,1m,2932.10,2934.30,2931.30,2933.30,7118,1786700106164-0,md:candles:1m,1786700118244
1786700159999,MCX,1m,2932.50,2933.70,2931.30,2932.20,8992,1786700165630-0,md:candles:1m,1786700171522
1786700219999,MCX,1m,2932.20,2932.30,2930.00,2931.60,13542,1786700228611-0,md:candles:1m,1786700233604
1786700279999,MCX,1m,2931.00,2931.90,2930.90,2931.00,7745,1786700290376-0,md:candles:1m,1786700298079
1786700339999,MCX,1m,2930.00,2936.30,2929.90,2936.30,13264,1786700350508-0,md:candles:1m,1786700351053
1786700399999,MCX,1m,2935.20,2935.20,2931.00,2932.00,9210,1786700405330-0,md:candles:1m,1786700412580
1786700459999,MCX,1m,2931.90,2932.00,2929.10,2930.00,12488,1786700466295-0,md:candles:1m,1786700476026
1786700519999,MCX,1m,2930.00,2930.60,2928.70,2929.50,6809,1786700525281-0,md:candles:1m,1786700529452
1786700579999,MCX,1m,2929.40,2929.40,2926.80,2928.90,16886,1786700589619-0,md:candles:1m,1786700591306
1786700639999,MCX,1m,2928.70,2929.80,2925.40,2927.50,4807,1786700645436-0,md:candles:1m,1786700653590
1786700699999,MCX,1m,2927.10,2928.40,2925.00,2925.70,4790,1786701006735-0,md:candles:1m,1786701010481
1786701059999,MCX,1m,2925.70,2925.70,2925.70,2925.70,24878,1786701069096-0,md:candles:1m,1786701071890
1786701119999,MCX,1m,2925.70,2925.70,2925.70,2925.70,267,1786701125775-0,md:candles:1m,1786701126761
1786701179999,MCX,1m,2925.70,2925.70,2925.70,2925.70,2715,1786701186100-0,md:candles:1m,1786701191510
1786701239999,MCX,1m,2925.70,2925.70,2925.70,2925.70,1015,1786701246195-0,md:candles:1m,1786701248276
1786701299999,MCX,1m,2925.70,2925.70,2925.70,2925.70,721,1786701308281-0,md:candles:1m,1786701313567
1786701359999,MCX,1m,2925.70,2925.70,2925.70,2925.70,12,1786701368061-0,md:candles:1m,1786701379364
