ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,MFSL,10m,1558.90,1559.70,1554.10,1556.40,19497,1786699266344-0,md:candles:10m,1786699276624
1786699799999,MFSL,10m,1556.60,1560.00,1556.60,1557.80,84151,1786699866047-0,md:candles:10m,1786699876284
1786700399999,MFSL,10m,1558.20,1559.90,1551.10,1552.50,158029,1786700465392-0,md:candles:10m,1786700471301
1786700999999,MFSL,10m,1551.70,1553.30,1544.10,1547.80,60400,1786701082007-0,md:candles:10m,1786701092722
1786701599999,MFSL,10m,1547.80,1547.80,1538.10,1538.10,3967869,1786702917178-0,md:candles:10m,1786702927372
1786702807000,MFSL,1d,1558.90,1560.00,1538.10,1538.10,4289946,1786702812751-0,md:candles:1d,1786702818543
1786698959999,MFSL,1m,1558.90,1559.70,1558.90,1559.40,1224,1786698965454-0,md:candles:1m,1786698974630
1786699019999,MFSL,1m,1558.90,1559.20,1556.00,1556.80,5265,1786699025410-0,md:candles:1m,1786699028548
1786699079999,MFSL,1m,1556.80,1557.60,1555.80,1557.00,3396,1786699085631-0,md:candles:1m,1786699094422
1786699139999,MFSL,1m,1557.20,1557.40,1554.60,1554.60,4203,1786699145894-0,md:candles:1m,1786699146984
1786699199999,MFSL,1m,1554.60,1557.10,1554.10,1556.40,5409,1786699205670-0,md:candles:1m,1786699208603
1786699259999,MFSL,1m,1556.60,1557.80,1556.60,1556.70,6910,1786699266340-0,md:candles:1m,1786699273120
1786699319999,MFSL,1m,1556.70,1557.70,1556.70,1557.30,5693,1786699325753-0,md:candles:1m,1786699326703
1786699379999,MFSL,1m,1557.20,1559.00,1557.20,1558.50,3144,1786699385683-0,md:candles:1m,1786699391745
1786699439999,MFSL,1m,1559.00,1559.80,1558.50,1559.80,11797,1786699446472-0,md:candles:1m,1786699457822
1786699499999,MFSL,1m,1559.80,1560.00,1559.50,1559.50,11892,1786699508084-0,md:candles:1m,1786699511111
1786699559999,MFSL,1m,1559.10,1560.00,1558.30,1559.70,23221,1786699565163-0,md:candles:1m,1786699565357
1786699619999,MFSL,1m,1559.70,1559.70,1558.30,1558.90,4554,1786699625913-0,md:candles:1m,1786699627296
1786699679999,MFSL,1m,1558.10,1558.90,1557.90,1558.70,4918,1786699685688-0,md:candles:1m,1786699689702
1786699739999,MFSL,1m,1558.20,1559.00,1557.60,1557.80,4425,1786699745485-0,md:candles:1m,1786699754023
1786699799999,MFSL,1m,1557.80,1558.80,1557.60,1557.80,7597,1786699805751-0,md:candles:1m,1786699807941
1786699859999,MFSL,1m,1558.20,1559.90,1557.40,1557.40,21918,1786699866030-0,md:candles:1m,1786699871843
1786699919999,MFSL,1m,1557.90,1558.40,1556.10,1557.20,9353,1786699925825-0,md:candles:1m,1786699936026
1786699979999,MFSL,1m,1557.20,1557.50,1556.90,1557.50,5688,1786699985426-0,md:candles:1m,1786699989617
1786700039999,MFSL,1m,1557.20,1558.80,1556.80,1557.40,15049,1786700045210-0,md:candles:1m,1786700051805
1786700099999,MFSL,1m,1558.20,1558.30,1553.50,1555.10,23696,1786700106004-0,md:candles:1m,1786700118244
1786700159999,MFSL,1m,1555.20,1555.50,1552.10,1553.00,12925,1786700165150-0,md:candles:1m,1786700171522
1786700219999,MFSL,1m,1552.70,1554.90,1552.70,1552.90,15841,1786700225186-0,md:candles:1m,1786700233604
1786700279999,MFSL,1m,1553.50,1556.10,1552.40,1554.10,17932,1786700285216-0,md:candles:1m,1786700286220
1786700339999,MFSL,1m,1553.80,1554.80,1552.00,1553.10,15718,1786700345485-0,md:candles:1m,1786700351053
1786700399999,MFSL,1m,1553.50,1555.10,1551.10,1552.50,19909,1786700405266-0,md:candles:1m,1786700412580
1786700459999,MFSL,1m,1551.70,1553.30,1550.10,1550.90,17489,1786700465382-0,md:candles:1m,1786700476026
1786700519999,MFSL,1m,1550.20,1552.10,1549.20,1549.80,10020,1786700525409-0,md:candles:1m,1786700529452
1786700579999,MFSL,1m,1550.00,1550.00,1545.00,1546.40,20735,1786700585500-0,md:candles:1m,1786700591306
1786700639999,MFSL,1m,1546.40,1548.60,1545.30,1546.20,7518,1786700645420-0,md:candles:1m,1786700653590
1786700699999,MFSL,1m,1547.10,1548.90,1544.10,1547.80,4638,1786701006785-0,md:candles:1m,1786701010481
1786701059999,MFSL,1m,1547.80,1547.80,1547.80,1547.80,9929,1786701082002-0,md:candles:1m,1786701082805
1786701119999,MFSL,1m,1547.80,1547.80,1547.80,1547.80,52,1786701131980-0,md:candles:1m,1786701137210
1786701179999,MFSL,1m,1547.80,1547.80,1547.80,1547.80,174,1786701216569-0,md:candles:1m,1786701226748
1786701239999,MFSL,1m,1547.80,1547.80,1547.80,1547.80,100,1786701246290-0,md:candles:1m,1786701248276
1786701299999,MFSL,1m,1547.80,1547.80,1547.80,1547.80,246,1786701518850-0,md:candles:1m,1786701529772
1786701539999,MFSL,1m,1538.10,1538.10,1538.10,1538.10,3957368,1786702812749-0,md:candles:1m,1786702820532
1786702859999,MFSL,1m,1538.10,1538.10,1538.10,1538.10,25,1786702917172-0,md:candles:1m,1786702927073
1786702919999,MFSL,1m,1538.10,1538.10,1538.10,1538.10,15,1786702974925-0,md:candles:1m,1786702979538
1786702979999,MFSL,1m,1538.10,1538.10,1538.10,1538.10,1,1786703133814-0,md:candles:1m,1786703141428
1786699799999,MFSL,30m,1558.90,1560.00,1554.10,1557.80,103648,1786699866049-0,md:candles:30m,1786699872287
1786701599999,MFSL,30m,1558.20,1559.90,1538.10,1538.10,4186298,1786702917180-0,md:candles:30m,1786702927372
1786699199999,MFSL,5m,1558.90,1559.70,1554.10,1556.40,19497,1786699266342-0,md:candles:5m,1786699276624
1786699499999,MFSL,5m,1556.60,1560.00,1556.60,1559.50,39436,1786699565168-0,md:candles:5m,1786699570970
1786699799999,MFSL,5m,1559.10,1560.00,1557.60,1557.80,44715,1786699866045-0,md:candles:5m,1786699868444
1786700099999,MFSL,5m,1558.20,1559.90,1553.50,1555.10,75704,1786700165157-0,md:candles:5m,1786700170829
1786700399999,MFSL,5m,1555.20,1556.10,1551.10,1552.50,82325,1786700465390-0,md:candles:5m,1786700471362
1786700699999,MFSL,5m,1551.70,1553.30,1544.10,1547.80,60400,1786701082005-0,md:candles:5m,1786701092706
1786701299999,MFSL,5m,1547.80,1547.80,1547.80,1547.80,10501,1786702812751-0,md:candles:5m,1786702818753
1786701599999,MFSL,5m,1538.10,1538.10,1538.10,1538.10,3957368,1786702917176-0,md:candles:5m,1786702927372
