ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,MOTHERSON,10m,168.77,168.91,168.55,168.64,262884,1786699265349-0,md:candles:10m,1786699265610
1786699799999,MOTHERSON,10m,168.64,168.93,168.59,168.87,629117,1786699869189-0,md:candles:10m,1786699876284
1786700399999,MOTHERSON,10m,168.80,169.18,168.36,168.80,876798,1786700465322-0,md:candles:10m,1786700471301
1786700999999,MOTHERSON,10m,168.80,169.03,168.56,169.00,443303,1786701075800-0,md:candles:10m,1786701080910
1786701599999,MOTHERSON,10m,169.00,169.00,168.30,168.30,10481172,1786702898753-0,md:candles:10m,1786702906259
1786702801000,MOTHERSON,1d,168.77,169.18,168.30,168.30,12693274,1786702806628-0,md:candles:1d,1786702807233
1786698959999,MOTHERSON,1m,168.77,168.91,168.71,168.79,25420,1786698965649-0,md:candles:1m,1786698974630
1786699019999,MOTHERSON,1m,168.74,168.86,168.71,168.73,49890,1786699027889-0,md:candles:1m,1786699028548
1786699079999,MOTHERSON,1m,168.82,168.82,168.60,168.69,63242,1786699085677-0,md:candles:1m,1786699094422
1786699139999,MOTHERSON,1m,168.60,168.73,168.60,168.69,59556,1786699145409-0,md:candles:1m,1786699146984
1786699199999,MOTHERSON,1m,168.60,168.77,168.55,168.64,64776,1786699206003-0,md:candles:1m,1786699208603
1786699259999,MOTHERSON,1m,168.64,168.82,168.64,168.69,60887,1786699265339-0,md:candles:1m,1786699273120
1786699319999,MOTHERSON,1m,168.69,168.84,168.62,168.63,102318,1786699325771-0,md:candles:1m,1786699326703
1786699379999,MOTHERSON,1m,168.60,168.77,168.60,168.77,53431,1786699385698-0,md:candles:1m,1786699391745
1786699439999,MOTHERSON,1m,168.65,168.83,168.61,168.70,60209,1786699445463-0,md:candles:1m,1786699445600
1786699499999,MOTHERSON,1m,168.61,168.71,168.59,168.64,56546,1786699505375-0,md:candles:1m,1786699511111
1786699559999,MOTHERSON,1m,168.64,168.85,168.63,168.82,45713,1786699568116-0,md:candles:1m,1786699576085
1786699619999,MOTHERSON,1m,168.72,168.87,168.70,168.80,76679,1786699625700-0,md:candles:1m,1786699627296
1786699679999,MOTHERSON,1m,168.72,168.93,168.67,168.87,56562,1786699685494-0,md:candles:1m,1786699689702
1786699739999,MOTHERSON,1m,168.87,168.93,168.74,168.78,67915,1786699745302-0,md:candles:1m,1786699754023
1786699799999,MOTHERSON,1m,168.75,168.87,168.75,168.87,48857,1786699806020-0,md:candles:1m,1786699807941
1786699859999,MOTHERSON,1m,168.80,168.95,168.70,168.90,69225,1786699869185-0,md:candles:1m,1786699871843
1786699919999,MOTHERSON,1m,168.95,168.95,168.81,168.86,72376,1786699926086-0,md:candles:1m,1786699936026
1786699979999,MOTHERSON,1m,168.85,169.09,168.85,169.05,102379,1786699986073-0,md:candles:1m,1786699989617
1786700039999,MOTHERSON,1m,169.08,169.17,169.03,169.14,27824,1786700045586-0,md:candles:1m,1786700051805
